"sample","age","mswd","ci"
"BRc02_grain_03",2030.3008348559,4.67664526136364,421.397430343432
"BRc02_grain_06",1520.53571710165,1.39317252431051,186.193938701125
"BRc02_grain_19",1282.36024758255,1.19838936542637,282.145306040133
"BRc02_grain_47",1057.76919645812,0.0963538047830671,350.817693088272
"BRc02_grain_52",412.127209729523,0.684458260760754,148.397043506851
"BRc02_grain_84",586.479759462941,0.979064361997247,239.265126815458
"BRc02_grain_87",633.08291836079,6.14514622271342,152.576764815842
"BRc_grain_106",1702.47617912124,0.404540067281533,675.589383389555
"BRc_grain_107",558.869020069419,1.32258129955752,276.918495701083
"BRc_grain_108",986.922771668419,0.920406857227977,151.148871261213
"BRc_grain_121",2029.18711170644,1.19898061279842,786.92089841018
"BRc_grain_129",785.57041115136,0.926158573916507,249.272315636007
"BRc_grain_130",1207.91573277945,2.02442571189736,102.179191611239
"BRc_grain_138",1093.60970041593,1.75606515801855,451.509700003577
"BRc_grain_144",1544.06719437047,1.04628161933171,337.838245091713
"BRc_grain_07",1689.99394689609,2.3721011786863,743.793152978046
"BRc_grain_73",1956.7002008535,0.739884604762358,664.436329201607
