,Spot Size ,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
91500-17,35,0.137952178,0.00536115,1.424076666,0.107665341,0.074943678,0.006027868,7.701054044,0.36899658,,0.372054611,0.122692727
91500-18,35,0.14397295,0.005114959,1.487903696,0.105478644,0.074868523,0.005461346,7.262303403,0.291925123,,0.329328147,0.189499721
91500-19,35,0.135389294,0.005026307,1.391323689,0.092193264,0.075030147,0.004668199,7.659346267,0.346337326,,0.482951638,0.170416527
91500-2,35,0.134983703,0.004602536,1.291246718,0.085135459,0.069840364,0.004845029,7.490378781,0.271759877,,0.314994935,0.140399238
91500-20,35,0.13425361,0.005521654,1.320398407,0.105283377,0.070417296,0.005459973,7.831394712,0.349974143,,0.480755074,0.020660887
91500-21,35,0.136064506,0.006027829,1.397635447,0.110921526,0.075664292,0.00642952,7.851571989,0.385023959,,0.359309928,0.288842781
91500-22,35,0.144394127,0.006870166,1.405588673,0.122802383,0.071169444,0.006395506,7.465487744,0.415719555,,0.421108927,0.117430952
91500-3,35,0.141902194,0.008353857,1.391257807,0.12849536,0.069929382,0.006582129,8.015135238,0.588153521,,0.552927456,0.00369667
91500-4,35,0.127508443,0.004766957,1.28294357,0.097375037,0.072067187,0.005549573,8.058773673,0.323449148,,0.367562227,0.233480907
91500-5,35,0.130768903,0.004662996,1.331043978,0.097810069,0.072279324,0.00521705,7.873724815,0.320850775,,0.428145913,0.285026228
91500-6,35,0.143547691,0.005407833,1.485378965,0.116950604,0.073641702,0.005614461,7.304436091,0.333744302,,0.430995382,0.01403289
91500-7,35,0.139570239,0.005988158,1.474050618,0.13417266,0.073251873,0.006486817,7.636139486,0.384832874,,0.367758019,0.076453939
91500 - 25,35,0.125977376,0.004034513,1.303242931,0.088794253,0.074020536,0.004860046,8.013919327,0.259802695,,0.354317445,0.131740236
91500 - 26,35,0.151249614,0.004688222,1.556185789,0.085713775,0.076338822,0.00440909,6.733493348,0.222459432,,0.222188829,0.331746903
91500 - 27,35,0.146577354,0.005483285,1.543380976,0.103834649,0.075654392,0.004937844,6.897047787,0.281911208,,0.402016784,0.21537251
91500 - 28,35,0.148580938,0.005649438,1.491155514,0.117164351,0.071860651,0.006307953,6.803820341,0.320553484,,0.121326515,0.478703348
91500 - 29,35,0.143295424,0.005460434,1.605170543,0.103014554,0.081521684,0.005182954,7.162908359,0.333287333,,0.423914666,0.325760503
91500 - 30,35,0.145780016,0.005280024,1.508137368,0.105096748,0.073422091,0.004942195,7.057995599,0.31250118,,0.394868393,0.134543306
91500 - 31,35,0.130512192,0.005055721,1.369061301,0.093189514,0.074918737,0.005038597,8.074078007,0.342876789,,0.26851988,0.368450379
91500 - 32,35,0.132888172,0.005126731,1.34797038,0.112878915,0.071278899,0.005639533,7.899400037,0.338305446,,0.356027781,0.251425473
91500 - 33,35,0.135361647,0.005617337,1.410244391,0.104336193,0.074770294,0.005869119,7.64703683,0.370578521,,0.313846865,0.233662765
91500 - 34,35,0.136565897,0.005467631,1.429711198,0.116737158,0.073897568,0.006147079,7.661117607,0.360922033,,0.437665221,-0.053375754
91500 - 35,35,0.149122875,0.00492371,1.348591154,0.114173516,0.063775023,0.005112196,6.743546172,0.236691392,,0.346656477,0.09400096
91500 - 36,35,0.14431095,0.00591361,1.592494092,0.113989293,0.079714665,0.006341233,7.110596063,0.336941017,,0.274753012,0.426090385
91500 - 37,35,0.148004482,0.005488158,1.584999384,0.12593629,0.07680192,0.00635151,7.02230979,0.289935518,,0.210612376,0.479264897
91500 - 38,35,0.145589,0.005753731,1.404121951,0.12486757,0.067960105,0.005659058,7.216918493,0.335115465,,0.372890706,0.110793705
91500 - 39,35,0.146498712,0.004772115,1.55571609,0.113284357,0.076490279,0.005617097,6.820304862,0.238195128,,0.407707001,0.041626163
91500 - 40,35,0.147689133,0.006103447,1.536301552,0.120458576,0.074952583,0.005886269,7.012952112,0.356617321,,0.390000925,0.205045867
91500 - 41,35,0.138798667,0.00568631,1.335777048,0.118520515,0.069863669,0.006983941,7.489465991,0.330962109,,0.293331899,0.162569383
91500 - 42,35,0.139783807,0.00421835,1.428051502,0.106008939,0.073555862,0.00542415,7.235436038,0.222268778,,0.307933971,0.152005596
91500 - 43,35,0.127346053,0.004535527,1.248641094,0.094959557,0.072273226,0.00541497,8.035217808,0.297620818,,0.347245302,0.231784951
91500 - 44,35,0.124992343,0.005798513,1.255870095,0.11017022,0.072481444,0.006560616,8.476639971,0.440088486,,0.414259559,0.032737491
91500 - 45,35,0.131214347,0.00471022,1.397618044,0.109714197,0.078565402,0.006443743,7.847684411,0.310483599,,0.202992469,0.162254723
91500 - 46,35,0.129340634,0.006093417,1.233866968,0.125995485,0.067787278,0.007305065,8.24285984,0.479774409,,0.402384006,0.146719088
91500 - 47,35,0.130048041,0.007310755,1.485643965,0.128975167,0.083998346,0.008690624,8.7801011,0.70383728,,0.3998958,0.471072445
91500 - 48,35,0.130218185,0.006108001,1.417119035,0.121387989,0.079600817,0.007414677,8.416814313,0.528769853,,0.307591791,0.61437341
91500 - 23,35,0.140975579,0.005570192,1.555312223,0.13214843,0.076198837,0.006917994,7.233306416,0.30540886,,0.300061703,0.106525484
91500 - 24,35,0.145711528,0.005189587,1.463379006,0.105460877,0.072357235,0.005631511,7.055590128,0.283235497,,0.26085485,0.234735308
NIST 610 -9,60,0.15700778,0.003794852,19.82350506,0.369465952,0.918219284,0.01180313,6.329816395,0.145576536,,0.740208139,0.381741024
NIST 610 -8,60,0.153608077,0.003993579,19.19940876,0.374666314,0.909464707,0.014325905,6.521773812,0.16590664,,0.733354522,0.491747862
NIST 610 -7,60,0.159598884,0.004685292,19.99033061,0.395188651,0.924805688,0.014249532,6.443862269,0.181489657,,0.784413865,0.588127418
NIST 610 -1,60,0.159722162,0.003837422,19.97750861,0.379417014,0.914304668,0.011297652,6.342410738,0.147714271,,0.737529577,0.387725375
NIST 610 -6,60,0.17417279,0.004446198,21.42796288,0.39614646,0.906886787,0.01273495,5.839162995,0.142661778,,0.738923986,0.451119485
NIST 610 -5,60,0.171025882,0.004913156,21.40266529,0.409372716,0.91942861,0.016824262,5.981098961,0.164504127,,0.666740202,0.601034507
NIST 610 -4,60,0.158223916,0.004316386,19.69497096,0.391529558,0.908556189,0.014718267,6.292980291,0.175201669,,0.736489547,0.568749973
NIST 610 -3,60,0.165843096,0.004920298,20.53580159,0.411470261,0.911654701,0.018840092,6.164144141,0.178577352,,0.673984035,0.648191798
NIST 610 -2,60,0.181056823,0.004912193,22.53692989,0.434301648,0.908522347,0.016861592,5.544969926,0.153585473,,0.684154643,0.5883385
NIST 610 -10,60,0.16945477,0.004733015,21.33175253,0.40140227,0.924969863,0.016840115,6.017814006,0.169812822,,0.696939388,0.625937026
NIST 610 - 24,60,0.14813009,0.003961939,18.6429696,0.336226239,0.926230646,0.015994436,6.759117494,0.173662572,,0.667340358,0.579788357
NIST 610 - 21,60,0.173817328,0.004927572,21.81792303,0.443512039,0.903608818,0.014470703,5.711012381,0.161311883,,0.731281993,0.602443343
NIST 610 - 20,60,0.17097674,0.00516503,21.48494033,0.460564716,0.920784613,0.019106699,5.905836289,0.176257116,,0.673064666,0.578184011
NIST 610 - 18,60,0.172432991,0.004367623,21.64592145,0.413433331,0.914358437,0.015376772,5.787549915,0.14761761,,0.699634496,0.505578701
NIST 610 - 19,60,0.160016261,0.00448307,19.78776113,0.382644419,0.911119933,0.014329356,6.413835591,0.168147953,,0.737536953,0.558073565
NIST 610 - 17,60,0.16110123,0.003915893,20.10205477,0.358804422,0.910257996,0.013832176,6.299418815,0.153421674,,0.686907936,0.537447088
NIST 610 - 16,60,0.165113664,0.004661087,20.33801295,0.388502553,0.898215856,0.014506216,6.177861707,0.168864236,,0.758360931,0.584972605
NIST 610 - 15,60,0.176158988,0.004460067,22.13501952,0.419129377,0.902395905,0.015911636,5.667211457,0.144873205,,0.638478519,0.540694857
NIST 610 - 14,60,0.180166218,0.004436951,22.47615537,0.438407003,0.912503761,0.01376852,5.605992812,0.132128172,,0.6948859,0.472701366
NIST 610 - 13,60,0.182615217,0.004943449,22.78109483,0.517339578,0.910263482,0.015243597,5.401350741,0.142327379,,0.696463588,0.475677108
NIST 610 - 12,60,0.168054474,0.004707811,20.79266325,0.393160465,0.918537155,0.017680675,6.055066958,0.163672946,,0.653537535,0.632393876
NIST 610 - 11,60,0.153977336,0.004663427,19.10142161,0.483954738,0.91428005,0.015670973,6.643918902,0.204186584,,0.782673315,0.450744903
NIST 610 - 22,60,0.15650219,0.004828963,19.22113901,0.541543899,0.90001319,0.013885305,6.515195955,0.195994796,,0.783678165,0.237409154
NIST 610 - 23,60,0.173456701,0.005582739,21.85134278,0.610749589,0.906769271,0.014489854,5.882643874,0.185298886,,0.794074286,0.33077998
NIST 610 - 25,60,0.171314391,0.006815812,21.38674179,0.787684293,0.899033243,0.014268663,6.124695918,0.259351031,,0.848798965,0.178979941
