,Spot Size ,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_56_1,60,4.609075944,0.214077661,497.5554682,22.8649397,0.79729532,0.019464137,0.228848534,0.009537945,,0.802133532,0.264408814
BRc_grain_56_2,60,4.801533849,0.253115308,502.6951477,25.52768013,0.765950019,0.019717764,0.223911019,0.012381731,,0.907866231,0.221583693
BRc_grain_56_3,60,6.032896012,0.316575491,642.8259499,33.2739114,0.782233823,0.02064462,0.180978401,0.009701012,,0.872487422,0.184762493
BRc_grain_56_4,60,5.106030085,0.329957958,539.942924,33.54451466,0.775384207,0.022747233,0.218031617,0.012422003,,0.999971674,0.353400282
BRc_grain_56_5,60,15.13236592,4.794313507,1562.388855,470.8478486,0.791660611,0.023011977,0.178884775,0.018849877,,0.998539752,0.218396494
BRc_grain_56_6,60,5.396060841,0.291531268,562.1704868,30.87238223,0.760061765,0.019159587,0.203157637,0.010947998,,0.886368139,0.021324573
BRc_grain_58_1,60,6.492349562,0.215617598,756.2467079,22.87925392,0.847120213,0.010863553,0.154449374,0.005080987,,0.873492946,0.282499297
BRc_grain_58_2,60,5.42676611,0.181804004,634.113555,18.20324491,0.857179662,0.010561718,0.186820174,0.006023511,,0.857847425,0.28075116
BRc_grain_58_3,60,5.485248313,0.177438045,648.0729209,18.85346924,0.864383796,0.010473456,0.182873297,0.00578409,,0.874184205,0.243219702
BRc_grain_58_4,60,6.783242867,0.210694887,797.8543899,23.14246589,0.858547197,0.010665368,0.148364648,0.004632043,,0.859638151,0.21897369
BRc_grain_58_5,60,6.216768986,0.249831658,722.1730965,28.68734642,0.844047014,0.009872008,0.16582716,0.006770406,,0.90893996,0.046116289
BRc_grain_58_6,60,4.373633203,0.149219228,504.8249322,16.68992622,0.843432383,0.011404886,0.231510752,0.007883585,,0.843446183,0.204214686
BRc_grain_58_7,60,7.159942077,0.215622006,852.679731,24.00740291,0.867587469,0.010492822,0.139898907,0.004023741,,0.847922781,0.147276497
BRc_grain_60_1,60,1.336926873,0.043553929,161.2993285,4.780704955,0.877974646,0.01178865,0.750810394,0.023234206,,0.852811674,0.226712251
BRc_grain_60_2,60,1.354958087,0.03812154,160.6843573,4.185530476,0.862889754,0.012702038,0.735770189,0.02087576,,0.788766221,0.250719671
BRc_grain_60_3,60,1.378010386,0.045170138,162.3393009,4.274589984,0.863589958,0.012373018,0.72807017,0.021724902,,0.817023458,0.408130443
BRc_grain_60_4,60,1.294260549,0.034510871,153.5073001,3.518086644,0.864236516,0.012419503,0.76631188,0.021427463,,0.787420809,0.397243089
BRc_grain_60_5,60,1.319077381,0.04057125,157.5131156,4.358035363,0.868632641,0.0126508,0.755470701,0.022513537,,0.853734992,0.276554194
BRc_grain_16_5,60,4.489619297,0.136077364,503.9624812,14.18510876,0.822724398,0.01412059,0.225455156,0.006767039,,0.768916415,0.41033915
BRc_grain_16_6,60,5.886951047,0.162180643,671.0066585,15.70383065,0.835475521,0.010718931,0.171674003,0.004706817,,0.815840086,0.269615349
BRc_grain_16_7,60,5.0003858,0.140784858,570.5422218,14.87362631,0.831623926,0.011884575,0.201770855,0.005709702,,0.752323223,0.419788819
BRc_grain_70_1,60,1.432632112,0.056993406,148.8499728,4.634020638,0.76442202,0.010277121,0.727711684,0.024611225,,0.902821236,0.15170766
BRc_grain_70_2,60,1.196527372,0.041397444,120.4878444,3.322623149,0.738464221,0.010880473,0.855457779,0.025549338,,0.855261515,0.225242138
BRc_grain_70_3,60,1.203274021,0.046939693,120.6627673,3.897127994,0.728758375,0.012466972,0.854953474,0.030301941,,0.873417854,0.371774776
BRc_grain_70_4,60,1.603393048,0.058567118,163.1486747,4.833025699,0.746612947,0.010499074,0.640618532,0.020901157,,0.905212961,0.220009575
BRc_grain_73_1,60,2.927059031,0.084203393,338.0724004,8.490993295,0.835667559,0.009418,0.344183276,0.009349334,,0.827300797,0.278966574
BRc_grain_73_2,60,3.14203945,0.090125578,364.1365053,9.708475177,0.834126147,0.009556198,0.3197054,0.00912851,,0.875195046,0.148900934
BRc_grain_73_3,60,3.163757258,0.09760717,366.2987027,10.1278435,0.837877518,0.008645271,0.320614051,0.009167674,,0.876494842,0.147588176
BRc_grain_73_4,60,3.112479343,0.086404409,361.0437236,9.007307584,0.835819246,0.008414935,0.32361914,0.008961119,,0.864217489,0.254473865
BRc_grain_73_5,60,2.905275215,0.095380306,335.4385736,9.754240715,0.836604975,0.009865058,0.350456678,0.010578584,,0.892943172,0.158802945
BRc_grain_73_6,60,3.948108924,0.134501608,470.2537226,14.25638569,0.8572173,0.008700001,0.257416133,0.007987853,,0.903288277,0.208137872
BRc_grain_73_7,60,3.778109252,0.109166007,447.9803985,11.07625314,0.858394812,0.008671623,0.267454366,0.007206173,,0.850116137,0.273394063
BRc_grain_87_1,60,1.20308059,0.034001913,128.7880181,3.476721602,0.767480067,0.014569845,0.829464545,0.023714155,,0.684346828,0.404850816
BRc_grain_87_2,60,1.160578612,0.032603068,122.154615,3.399486164,0.770101994,0.016713317,0.87039889,0.023752285,,0.63101895,0.341857468
BRc_grain_87_3,60,0.916814989,0.030090343,98.57391436,3.286286045,0.785034839,0.020009934,1.110426166,0.037511495,,0.702384991,0.334439299
BRc_grain_87_4,60,0.94525058,0.026575337,99.62512333,2.753128167,0.767738478,0.013480647,1.076961899,0.030835192,,0.75419222,0.261175152
BRc_grain_87_5,60,1.077635346,0.032157076,114.4524605,3.423180351,0.774464189,0.01373112,0.947861988,0.028795613,,0.78030962,0.259682505
BRc_grain_90_1,60,5.651764949,0.166274084,621.0406308,16.89015357,0.798250566,0.007255964,0.180130534,0.005031363,,0.897601926,0.107570015
BRc_grain_90_2,60,4.918975612,0.131331911,544.2136545,12.25405712,0.803693723,0.007384382,0.205639118,0.005641992,,0.873187439,0.313143828
BRc_grain_90_3,60,4.703349083,0.130763207,523.0695321,13.41127805,0.804187097,0.007599929,0.214624797,0.005884638,,0.870393581,0.178248669
BRc_grain_90_4,60,4.406068413,0.179921384,479.9310395,16.56948224,0.798062229,0.00777733,0.236798098,0.008247319,,0.934126953,0.191181167
BRc_grain_93_1,60,3.069993046,0.093358247,348.6333988,9.497784241,0.826307553,0.011305215,0.321860574,0.009187729,,0.851828992,0.219761613
BRc_grain_93_2,60,2.335626162,0.086672608,265.4359427,9.245814793,0.817014647,0.012920895,0.425168466,0.013983974,,0.891374639,0.216694273
BRc_grain_93_3,60,3.025368929,0.083659426,333.5130406,8.372056022,0.804768175,0.010509273,0.327599656,0.009042381,,0.799102982,0.163808048
BRc_grain_93_4,60,2.17893238,0.084297102,242.3388557,7.851968679,0.815880821,0.011088256,0.461030835,0.015091894,,0.907528922,0.21409232
BRc_grain_93_5,60,2.402569796,0.078513774,268.6306054,8.209223093,0.811593939,0.011474566,0.412338414,0.012411523,,0.85894484,0.143831897
BRc_grain_93_6,60,1.738388725,0.039775777,188.1194844,3.862002711,0.78493792,0.012418838,0.561935763,0.013005757,,0.691047785,0.225614385
BRc_grain_93_7,60,2.756502066,0.139583707,306.954664,12.72456532,0.814932335,0.010019316,0.373846215,0.014942654,,0.938984477,0.244405949
BRc_grain_93_8,60,2.89729194,0.087876584,331.6846135,8.062465207,0.836205538,0.010925919,0.341843075,0.009599287,,0.84931814,0.356228012
BRc_grain_93_9,60,2.759007755,0.092705035,316.6307742,8.891593609,0.834253582,0.011111237,0.359038413,0.010575211,,0.882287128,0.224791185
BRc_grain_98_1,60,3.763378031,0.120302113,433.0856325,11.86672438,0.841834327,0.00912501,0.271047782,0.008119952,,0.87592154,0.316628284
BRc_grain_98_2,60,3.40271449,0.132972154,385.4940599,12.41757746,0.833600838,0.008291276,0.304804727,0.010307418,,0.924350898,0.211575367
BRc_grain_98_3,60,3.801603972,0.123474947,432.8337438,10.99434004,0.836729095,0.008364086,0.269038244,0.007608321,,0.881781922,0.349556958
BRc_grain_98_4,60,3.934670867,0.120004741,442.5488641,10.72651364,0.825676522,0.009065824,0.257596721,0.007511709,,0.899223016,0.323343874
BRc_grain_98_5,60,3.81755184,0.132382964,428.9847605,11.76830339,0.829694969,0.009191992,0.268851919,0.008167914,,0.913772721,0.270801951
BRc_grain_101_1,60,4.125236506,0.235613333,466.9210811,24.30727084,0.829615035,0.020975397,0.263565253,0.015097262,,0.88326713,0.394057113
BRc_grain_101_2,60,2.379747447,0.191981537,267.7692355,18.36774909,0.853615,0.027312896,0.491837355,0.033060377,,0.917648366,0.302915878
BRc_grain_101_3,60,2.390670569,0.17504278,256.5693357,17.47403465,0.808371409,0.030074279,0.482249249,0.032201292,,0.915932633,0.321351057
BRc_grain_101_4,60,2.501352571,0.127271262,279.9989343,14.35488416,0.814922231,0.021654707,0.424963202,0.020503474,,0.828253289,0.188456307
BRc_grain_101_5,60,2.696367301,0.141614447,311.5067416,14.63679466,0.869877984,0.0298526,0.393100716,0.018993989,,0.792253313,0.369959128
BRc_grain_102_1,60,3.137513972,0.107146402,347.0660933,10.68796754,0.804391823,0.010911541,0.323351448,0.009943659,,0.888375772,0.159283397
BRc_grain_102_2,60,3.554666113,0.111499111,391.6401224,10.44923325,0.801564761,0.010370617,0.284498589,0.008607059,,0.866341533,0.314139797
BRc_grain_102_3,60,3.578819839,0.128912111,398.7790086,13.70941836,0.804958087,0.010525537,0.283564756,0.00934639,,0.903649319,0.134575357
BRc_grain_102_4,60,3.792312892,0.132672331,415.7231113,12.43126245,0.804773711,0.011530366,0.27217232,0.009099212,,0.835605425,0.290674696
BRc_grain_102_5,60,3.071894197,0.112430499,330.7364402,9.989470481,0.787874589,0.012446962,0.332595468,0.011267235,,0.883527191,0.222791921
HFO-1,60,0.12213,0.002709771,15.439,0.353344249,0.9175,0.012802414,8.187996397,0.168163854,,0.636192164,0.365771404
