,Spot Size ,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
HFO-31,60,0.918973,0.012383,0.01315,8.19779,0.207027,0.614006,0.845599,0.390204
HFO-32,60,0.909169,0.0126785,0.0134131,8.17136,0.197572,0.599029,0.858697,0.172821
HFO-33,60,0.924504,0.0121214,0.0129131,8.16864,0.180845,0.625808,0.735745,0.519166
91500-21,35,0.0741964,0.00375481,0.00377177,7.54122,0.21249,0.635609,0.482303,-0.0647381
91500-22,35,0.0731895,0.00351449,0.00353211,7.38408,0.158295,0.512992,0.32378,0.0884004
91500-19,35,0.0755342,0.00410133,0.00411743,7.80395,0.182146,0.590867,0.104376,0.448647
91500-20,35,0.0726073,0.00316606,0.00318531,7.76986,0.166947,0.557733,0.337191,0.20694
91500-17,35,0.0781251,0.00352584,0.00354585,6.78842,0.144775,0.51862,0.352023,0.148062
91500-18,35,0.0731017,0.00325563,0.00327461,6.31261,0.123312,0.432269,0.192761,0.353362
91500-15,35,0.0771398,0.00366561,0.00368438,7.29861,0.174545,0.535344,0.202255,0.326419
91500-16,35,0.0761044,0.00444743,0.00446251,7.3113,0.161406,0.541595,0.134314,0.314746
91500-13,35,0.0775752,0.003786,0.00380438,7.94893,0.207678,0.606815,0.213582,0.285289
91500-14,35,0.07366,0.00350007,0.003518,8.14542,0.188663,0.589453,0.299281,0.255497
91500-11,35,0.0760107,0.00333987,0.00335987,6.7728,0.17873,0.546692,0.317497,0.283213
91500-12,35,0.0734276,0.0034382,0.00345633,6.57027,0.130497,0.522124,0.220293,0.164525
91500-1,35,0.0750136,0.00395588,0.00397234,6.46859,0.156107,0.488961,0.15472,0.28628
91500-2,35,0.0715971,0.00390846,0.00392364,6.22404,0.154896,0.466897,0.0566159,0.347868
91500-3,35,0.072182,0.00375941,0.00377544,7.28179,0.155468,0.54626,0.203857,0.186252
91500-4,35,0.0741366,0.00458695,0.00460082,7.46216,0.160099,0.544369,0.118778,0.23371
91500-5,35,0.0748381,0.00370636,0.00372384,6.94347,0.175481,0.563669,0.459273,-0.143013
91500-6,35,0.0788035,0.00363236,0.00365213,7.00607,0.131127,0.501979,0.275006,0.0827583
91500-7,35,0.0725579,0.0041223,0.00413708,7.21138,0.148465,0.51157,0.0865694,0.24763
91500-8,35,0.0722047,0.00448453,0.00449799,7.13707,0.142536,0.508803,0.0600946,0.359437
91500-9,35,0.0727495,0.0039878,0.00400316,6.72533,0.15524,0.517883,0.29736,0.188123
91500-10,35,0.0736826,0.00369484,0.00371184,6.77714,0.142872,0.496524,0.265947,0.0956584
