,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis_1,0.233609,0.00404678,0.019315,3.24579,0.0681596,0.369305,0.101199,0.00144204,0.00144204,4.29651,0.0738954,0.352698,0.705924,0.111951
Acropolis_10,0.29843,0.00400905,0.0218131,4.05268,0.0633717,0.423581,0.0976233,0.00106618,0.00106618,3.41919,0.0486894,0.264918,0.68641,0.166875
Acropolis_12,0.267119,0.00414302,0.0222548,3.68747,0.066727,0.418608,0.0993968,0.00129074,0.00129074,3.73809,0.0579411,0.311239,0.723615,0.0939258
Acropolis_13,0.209656,0.0037938,0.0184037,2.93309,0.0779085,0.349218,0.100824,0.00173364,0.00173364,4.97878,0.0932316,0.452264,0.74073,-0.0482151
Acropolis_15,0.260066,0.0047186,0.0216666,3.47387,0.0672263,0.393324,0.0993314,0.00137519,0.00137519,3.83117,0.0617498,0.283539,0.639033,0.317948
Acropolis_17,0.283493,0.00655079,0.0229806,3.9009,0.137298,0.452545,0.100027,0.00357738,0.00357738,3.64772,0.0858285,0.301091,0.318206,0.29963
Acropolis_18,0.278598,0.00509306,0.0231876,3.89925,0.120661,0.453161,0.102592,0.00340215,0.00340215,3.58921,0.0650059,0.295958,0.169053,0.425762
Acropolis_2,0.224783,0.0043265,0.0185646,3.08257,0.0791246,0.351425,0.0996304,0.00171368,0.00171368,4.48506,0.083145,0.356768,0.766775,-0.0861588
Acropolis_20,0.316561,0.00509487,0.0237091,4.31876,0.0801462,0.455314,0.098546,0.0012746,0.0012746,3.26072,0.055509,0.258313,0.720001,0.188105
Acropolis_21,0.253619,0.00404705,0.0214644,3.47716,0.0805257,0.401147,0.0993968,0.00176125,0.00176125,3.95551,0.0640857,0.339892,0.640988,0.0259931
Acropolis_22,0.210722,0.00328335,0.0187891,2.92145,0.0631427,0.341072,0.10069,0.00192481,0.00192481,5.06437,0.0851469,0.487257,0.426134,0.19367
Acropolis_23,0.22936,0.00336808,0.0187119,3.16387,0.0620772,0.357002,0.100332,0.00150471,0.00150471,4.3248,0.0621601,0.345339,0.638364,0.141763
Acropolis_24,0.233668,0.00328799,0.0192323,3.17367,0.0565254,0.359714,0.0996175,0.00174772,0.00174772,4.28005,0.0578727,0.338512,0.354419,0.42754
Acropolis_25,0.222146,0.00442218,0.0199131,2.99128,0.0882953,0.351358,0.0979592,0.0025363,0.0025363,4.61798,0.0893097,0.402161,0.471611,0.130682
Acropolis_26,0.297066,0.0026586,0.0227541,4.04518,0.0386828,0.431135,0.0986682,0.00057503,0.00057503,3.34083,0.0307316,0.263022,0.758499,0.266149
Acropolis_28,0.262757,0.00606206,0.0221671,3.54593,0.15545,0.425952,0.0974517,0.004033,0.004033,3.84767,0.0876334,0.320449,0.326111,0.210825
Acropolis_29,0.24071,0.00414339,0.0193497,3.2777,0.0641467,0.363108,0.0990317,0.0012215,0.0012215,4.18116,0.0702495,0.328066,0.759362,0.0334917
Acropolis_30,0.219073,0.00344974,0.0195265,2.92279,0.0540411,0.348206,0.0977956,0.00126035,0.00126035,4.80263,0.0808199,0.457463,0.722138,0.102309
Acropolis_4,0.245064,0.0037325,0.0199836,3.51922,0.0605014,0.395477,0.104369,0.00116165,0.00116165,4.09625,0.0632586,0.338683,0.788657,0.223985
Acropolis_5,0.24876,0.00482874,0.0206204,3.42548,0.0827744,0.390234,0.100068,0.00180781,0.00180781,4.06259,0.0789093,0.33697,0.685642,0.120792
Acropolis_6,0.212403,0.003855,0.0176577,2.9478,0.0899159,0.341441,0.0995769,0.00275196,0.00275196,4.70621,0.0858627,0.393291,0.431896,0.208903
Acropolis_8,0.291609,0.00423062,0.0238676,4.00695,0.0931929,0.458872,0.0992815,0.00194493,0.00194493,3.42429,0.0478717,0.270075,0.371544,0.22811
Acropolis_9,0.262738,0.00346866,0.021635,3.66783,0.0768845,0.417491,0.101204,0.00193599,0.00193599,3.8271,0.0502682,0.313536,0.402715,0.217338
BRe_grain_01_1,8.58832,1.01156,1.22997,1004.49,109.371,157.098,0.857604,0.0153922,0.0153922,0.162783,0.0119875,0.0145757,0.133027,0.994759
BRe_grain_01_10,7.52652,1.37833,1.50662,860.685,139.643,169.369,0.857671,0.016741,0.016741,0.194726,0.0130612,0.0142768,0.3877,0.997404
BRe_grain_01_11,10.92,2.44488,2.59997,1315.87,299.679,333.747,0.835188,0.0199686,0.0199686,0.151305,0.0205707,0.0218757,0.241933,0.996072
BRe_grain_01_2,9.8631,2.03751,2.18948,1138.58,219.406,253.768,0.859729,0.0182402,0.0182402,0.166993,0.0160672,0.0172656,0.229738,0.996556
BRe_grain_01_3,7.95834,1.39195,1.53463,867.21,124.49,157.841,0.842367,0.0214942,0.0214942,0.187214,0.0207427,0.0228688,0.229106,0.996077
BRe_grain_01_4,11.2837,0.972645,1.33548,1318.98,108.719,183.148,0.845799,0.0113976,0.0113976,0.114334,0.00770234,0.0105757,0.176359,0.994977
BRe_grain_01_5,5.03836,0.24946,0.478789,599.716,29.5802,73.2598,0.858932,0.0217739,0.0217739,0.226681,0.0107749,0.0206804,0.312493,0.893742
BRe_grain_01_6,13.6654,1.3091,1.71363,1588.62,146.322,229.746,0.843226,0.0133317,0.0133317,0.0989829,0.0071971,0.00942111,0.0743776,0.993938
BRe_grain_01_7,7.61852,1.01,1.18322,858.526,94.0346,134.157,0.856584,0.0189416,0.0189416,0.192427,0.0158923,0.0186179,0.269297,0.99486
BRe_grain_01_8,7.6046,1.07241,1.23623,852.346,107.721,143.608,0.841556,0.0203559,0.0203559,0.186424,0.0145305,0.0167501,0.425956,0.990068
BRe_grain_01_9,8.56394,1.5051,1.65676,970.731,160.959,193.921,0.83702,0.0193215,0.0193215,0.184,0.0148218,0.0163153,0.305269,0.997059
BRe_grain_02_1,11.3099,0.246851,0.945379,1344.92,27.3056,152.092,0.877869,0.00414739,0.00414739,0.0895851,0.0019247,0.00737116,0.173911,0.950618
BRe_grain_02_2,13.1185,0.157939,1.06727,1565.28,19.2697,174.76,0.879431,0.00449109,0.00449109,0.0762816,0.000948516,0.00640955,0.169904,0.888905
BRe_grain_02_3,10.3111,0.273623,0.875963,1228.89,30.7715,140.01,0.875807,0.00443379,0.00443379,0.0985912,0.00236804,0.00758092,0.0977397,0.972524
BRe_grain_02_4,11.962,0.125793,0.974422,1419.31,13.3179,158.705,0.875783,0.00415862,0.00415862,0.0836813,0.000833322,0.0064551,0.271958,0.826835
BRe_grain_02_5,10.5731,0.131234,0.861008,1259.09,12.8427,139.974,0.879795,0.00551544,0.00551544,0.0950817,0.00112008,0.00734868,0.320447,0.825995
BRe_grain_02_6,9.49005,0.176473,0.784078,1127.41,19.8236,126.433,0.876123,0.00466452,0.00466452,0.107057,0.00196272,0.00872044,0.166045,0.945617
BRe_grain_02_7,9.82695,0.267838,0.837309,1167.36,29.9867,133.092,0.875449,0.00441991,0.00441991,0.104937,0.00265489,0.00829963,0.0821333,0.97103
