,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
BRc02_grain_49_1,7.02532,0.322651,0.584273,798.239,37.618,68.5608,0.833751,0.00488994,0.00537684,0.153276,0.0067385,0.0122024,-0.215814,0.99195
BRc02_grain_49_2,9.22242,0.149011,0.653137,1058.96,16.7326,77.3926,0.845584,0.00663895,0.00701552,0.108679,0.00181221,0.00794316,0.250377,0.899183
BRc02_grain_49_3,6.5526,0.235851,0.511447,741.968,26.4475,59.3983,0.833206,0.00433881,0.00488034,0.157037,0.00525447,0.0113944,0.0653067,0.992837
BRc02_grain_50_1,3.97754,0.0289605,0.279194,423.458,2.53581,30.7909,0.78351,0.00401059,0.00452763,0.251203,0.00181421,0.0174899,0.576921,0.733964
BRc02_grain_50_2,4.02007,0.0330916,0.280981,426.314,2.9127,30.7335,0.77938,0.0048575,0.00528805,0.248809,0.00205336,0.0174351,0.493966,0.705394
BRc02_grain_50_3,3.66526,0.0304869,0.255583,388.98,2.36375,28.8345,0.779983,0.00603606,0.0063882,0.273027,0.00223652,0.0187496,0.686871,0.560546
BRc02_grain_50_4,3.89124,0.0416766,0.273777,411.952,2.46922,29.695,0.77997,0.00836367,0.00862124,0.257731,0.00276826,0.018185,0.817506,0.359851
BRc02_grain_50_5,3.59927,0.0328698,0.251928,380.332,3.22393,27.4006,0.773201,0.00322277,0.00383217,0.278362,0.00246037,0.0188573,0.323598,0.929015
BRc02_grain_50_6,4.2524,0.0339868,0.29811,454.248,3.34233,32.8638,0.781067,0.00432975,0.00480976,0.235494,0.00188492,0.0165333,0.434816,0.744006
BRc02_grain_50_7,3.74377,0.043696,0.26523,398.336,3.73599,28.9927,0.778875,0.00622206,0.00656328,0.267857,0.00318024,0.0193037,0.543551,0.764531
