,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
BRc02_grain_78_4,1.08963,0.0196356,0.0786018,120.047,2.1294,8.94125,0.79622,0.00704786,0.00736419,0.927136,0.0161288,0.0645638,0.303038,0.939039
BRc02_grain_78_5,1.12713,0.0258645,0.0827443,122.619,2.61079,9.2357,0.789244,0.00779318,0.00807546,0.900542,0.0205982,0.0658965,0.272713,0.942853
BRc02_grain_78_6,1.17939,0.0224851,0.0851068,126.277,2.52372,9.44771,0.774751,0.00619836,0.00653729,0.858253,0.0162464,0.0614932,0.0808398,0.944909
BRc02_grain_78_7,2.55182,0.0741917,0.192765,289.943,8.40761,22.5437,0.822346,0.00657871,0.00693849,0.404277,0.0120935,0.0314213,0.152234,0.958542
BRc02_grain_78_8,1.10902,0.0290522,0.0821688,120.809,2.66966,9.0665,0.795074,0.00705284,0.00736807,0.920953,0.0217941,0.0616406,0.337262,0.980376
BRc02_grain_79_1,3.19634,0.0679549,0.231832,356.038,8.31209,26.8791,0.80369,0.00619402,0.00655827,0.317258,0.00641232,0.021876,0.272132,0.983873
BRc02_grain_79_2,3.62871,0.0703556,0.260203,405.041,7.59817,29.9234,0.809407,0.00579627,0.00618935,0.277977,0.00553231,0.0204607,0.279041,0.97282
BRc02_grain_79_3,3.83807,0.071883,0.275736,431.187,7.75292,31.893,0.812304,0.00606269,0.00644215,0.265614,0.00478743,0.0183641,0.368166,0.971581
BRc02_grain_79_4,4.14068,0.110461,0.308371,467.155,11.8353,35.6252,0.815349,0.00544898,0.0058713,0.249206,0.00595954,0.016637,0.289504,0.988173
BRc02_grain_79_5,3.65443,0.0842974,0.268075,405.348,8.34663,30.366,0.803109,0.00597185,0.00634833,0.28115,0.00593184,0.0188639,0.231569,0.975254
BRc02_grain_79_6,4.20506,0.0992421,0.309606,476.941,10.6514,36.0226,0.820821,0.00690661,0.00724889,0.243092,0.00629112,0.0196264,0.22301,0.951529
BRc02_grain_79_7,4.5787,0.107133,0.337328,525.068,12.0147,39.7987,0.825901,0.00684868,0.00719789,0.224902,0.00498402,0.0156931,0.295744,0.974027
BRc02_grain_79_8,4.32689,0.115319,0.32377,494.704,13.5162,38.2508,0.82246,0.00622435,0.00660356,0.237545,0.00710596,0.0199508,0.0434581,0.98028
BRc02_grain_80_1,2.50531,0.0960346,0.198458,288.81,11.574,23.7441,0.827867,0.00631124,0.00669032,0.424681,0.0165029,0.0341037,-0.00355642,0.980457
BRc02_grain_80_2,7.34043,0.0847276,0.517654,871.812,9.76388,63.5651,0.854108,0.00465373,0.00518684,0.138002,0.00153247,0.0093628,0.329597,0.89277
BRc02_grain_80_3,5.26141,0.109707,0.384411,620.596,12.4423,46.6924,0.84871,0.00640955,0.00680164,0.194096,0.00412251,0.0144452,0.238081,0.936964
BRc02_grain_82_1,5.95297,0.0945477,0.422714,704.612,11.7623,51.8116,0.850477,0.00489803,0.00540298,0.17075,0.00292993,0.0130995,0.0774992,0.927235
BRc02_grain_82_2,4.97132,0.0953623,0.359844,583.934,11.2213,43.6436,0.844447,0.00447161,0.00501232,0.20507,0.00416476,0.0157155,0.152974,0.965754
BRc02_grain_83_1,5.24741,0.0686831,0.374995,576.703,7.35937,42.6713,0.789849,0.00390642,0.0044437,0.192439,0.00249203,0.013606,0.298881,0.928044
BRc02_grain_83_2,6.03015,0.0663865,0.424262,679.416,6.86935,49.2295,0.810068,0.00382003,0.0043945,0.167208,0.00179787,0.0114898,0.323118,0.907572
BRc02_grain_83_3,1.86762,0.263226,0.293648,198.61,29.9902,33.2376,0.719999,0.0114478,0.0116095,1.02124,0.105598,0.117803,-0.862122,0.999014
BRc02_grain_83_4,5.8721,0.0658322,0.414454,654.811,6.57193,47.661,0.807487,0.0039461,0.00450119,0.171408,0.00192529,0.0121209,0.399575,0.900878
BRc02_grain_83_5,5.5843,0.103211,0.39459,617.461,10.8844,44.8415,0.80491,0.00389367,0.00445194,0.181061,0.00360259,0.0137733,0.238038,0.961225
BRc02_grain_83_6,5.76701,0.0966011,0.400634,638.149,10.7804,45.7189,0.804029,0.00353815,0.00414336,0.175575,0.0029588,0.0122711,0.0972327,0.976144
BRc02_grain_84_1,1.77909,0.0573757,0.134558,190.96,6.26576,14.8965,0.778011,0.00554375,0.00592335,0.588436,0.0216373,0.050744,-0.0659204,0.984849
BRc02_grain_84_2,1.91216,0.0627766,0.145065,204.348,6.48457,15.8235,0.775745,0.00580502,0.00616652,0.553616,0.020583,0.0475635,0.286468,0.981047
BRc02_grain_84_3,1.76471,0.0323077,0.124499,187.697,3.03623,13.5275,0.772791,0.00565652,0.0060242,0.5899,0.00978281,0.0376983,0.224956,0.977188
BRc02_grain_84_4,1.32725,0.0484702,0.103108,138.487,4.7606,10.9013,0.758728,0.00631984,0.0066393,0.809463,0.0274371,0.0583653,0.0672324,0.990388
BRc02_grain_85_1,3.17422,0.108902,0.243587,351.778,13.6838,28.4886,0.789161,0.00562304,0.00600809,0.338479,0.0107916,0.024138,-0.0870131,0.994314
BRc02_grain_85_2,3.32119,0.174299,0.288199,366.589,19.54,32.6831,0.788001,0.00491839,0.00535313,0.333267,0.0149945,0.0247931,0.0986345,0.996402
BRc02_grain_85_3,3.52313,0.12536,0.274328,388.212,12.8566,30.6192,0.793854,0.00501476,0.00544792,0.312258,0.00955425,0.0209077,-0.0482937,0.99432
BRc02_grain_85_4,3.57209,0.121097,0.276649,394.277,12.0795,30.8599,0.794674,0.00473049,0.00518834,0.307807,0.00787678,0.0179947,0.0206176,0.995403
BRc02_grain_85_5,3.37294,0.175515,0.294076,371.401,20.1418,33.5952,0.78426,0.00521545,0.00562352,0.33343,0.0114289,0.0191492,-0.166124,0.997717
BRc02_grain_85_6,3.16474,0.143145,0.264809,346.168,15.7829,29.7634,0.780913,0.00446264,0.00492956,0.349969,0.0131451,0.0243176,-0.0197978,0.997663
BRc02_grain_87_1,8.7187,0.331551,0.701009,1050.13,39.8025,86.7201,0.860853,0.00837861,0.00869082,0.12382,0.00463643,0.00980295,0.0974672,0.978601
BRc02_grain_87_2,2.65688,0.241668,0.305914,300.948,27.2621,35.0405,0.810026,0.0099117,0.0101469,0.44928,0.025098,0.0317702,0.153345,0.996494
BRc02_grain_87_3,7.51356,0.157968,0.569076,902.547,19.4604,70.8436,0.859854,0.00559969,0.00605587,0.137148,0.00295401,0.0106418,0.263727,0.975094
BRc02_grain_87_4,7.29138,0.200717,0.551992,860.379,23.1195,66.9409,0.866103,0.00695464,0.00733222,0.148753,0.00426329,0.0117245,0.152741,0.966659
BRc02_grain_87_5,4.76243,0.306004,0.452916,560.977,35.562,54.0509,0.863415,0.012076,0.0122959,0.242569,0.0127555,0.0188793,0.277256,0.993902
BRc02_grain_87_6,2.53655,0.345644,0.388396,292.34,40.1834,45.3992,0.848429,0.0179441,0.0180878,0.555205,0.0377787,0.0424515,0.177216,0.997
BRc02_grain_87_7,2.29683,0.414944,0.444772,257.579,46.2806,49.8726,0.831426,0.0219501,0.0220631,0.715649,0.0541339,0.0580253,0.270255,0.99608
BRc02_grain_87_8,2.99974,0.364502,0.420158,336.069,41.4174,47.9816,0.816475,0.0138988,0.0140702,0.483977,0.0335162,0.0386338,0.130798,0.996536
BRc02_grain_87_9,2.74001,0.233481,0.301409,315.214,26.7543,35.0779,0.840415,0.0123543,0.0125582,0.482333,0.0289647,0.0373917,0.246077,0.994834
BRc02_grain_88_1,2.80223,0.182539,0.267456,313.635,21.4705,31.2163,0.808752,0.0111617,0.0113704,0.445532,0.0180148,0.0263952,0.207876,0.966461
BRc02_grain_88_10,3.55569,0.0755483,0.261075,388.825,7.95058,29.3981,0.808119,0.00639873,0.00675574,0.289221,0.00650216,0.0224697,0.219885,0.958857
BRc02_grain_88_2,2.456,0.0454454,0.175634,276.458,4.78231,20.3204,0.816409,0.00542588,0.00585093,0.461665,0.00903564,0.0349203,0.265176,0.957617
BRc02_grain_88_3,2.36522,0.0665053,0.176001,263.087,7.2336,20.0883,0.805548,0.00545354,0.0058658,0.484123,0.0156228,0.0413445,0.138497,0.980425
BRc02_grain_88_4,2.67753,0.0327351,0.188069,299.536,3.36126,21.7462,0.808713,0.0052715,0.00570017,0.413834,0.00471626,0.0270958,0.30902,0.946162
BRc02_grain_88_5,2.64048,0.0454735,0.185472,294.824,4.30745,21.0196,0.808207,0.00960397,0.00984549,0.413296,0.00731205,0.0298236,0.502245,0.88983
BRc02_grain_88_6,2.50465,0.054512,0.178838,277.873,5.84584,20.3916,0.799207,0.00480238,0.00525891,0.430406,0.0100291,0.0329024,0.257977,0.976564
BRc02_grain_88_7,2.40279,0.0360513,0.166375,265.409,3.07989,18.6713,0.79889,0.00831299,0.0085846,0.435375,0.00663167,0.0306047,0.48475,0.9264
BRc02_grain_88_8,2.58261,0.047429,0.179966,283.652,3.89333,19.7686,0.797677,0.0096943,0.00992749,0.400803,0.00751831,0.0285277,0.597221,0.842726
BRc02_grain_88_9,2.59389,0.0358294,0.176313,286.716,4.06829,20.2906,0.798859,0.00616215,0.00652391,0.391119,0.0054338,0.0267392,0.109259,0.954017
BRc02_grain_89_1,3.3172,0.0658205,0.242954,363.352,6.28336,27.3521,0.811015,0.0120536,0.0122483,0.308991,0.00563531,0.0208009,0.42255,0.768279
BRc02_grain_89_2,3.82996,0.0607896,0.280314,420.986,6.98539,31.9782,0.809464,0.00624091,0.00660764,0.264288,0.00445043,0.0205219,0.241473,0.954873
BRc02_grain_89_3,3.10846,0.0594351,0.228451,341.678,5.78445,25.7873,0.810991,0.0105942,0.0108151,0.324814,0.00578792,0.022247,0.447293,0.809389
BRc02_grain_89_4,3.31731,0.0433717,0.239606,372.063,4.70544,27.7127,0.822826,0.00756468,0.00787993,0.301783,0.00389295,0.0215065,0.320755,0.863574
BRc02_grain_89_5,2.32848,0.0324303,0.162417,251.273,3.09599,17.8503,0.793405,0.00733633,0.00763863,0.429663,0.0060907,0.0305034,0.357963,0.873421
BRc02_grain_89_6,2.4275,0.0502471,0.180803,266.119,5.1169,20.3902,0.803776,0.00675691,0.00709238,0.415129,0.00889108,0.0319925,0.211558,0.955844
BRc02_grain_89_7,2.15108,0.0348306,0.153042,235.877,3.74456,17.3455,0.800173,0.00832859,0.00860057,0.468524,0.00740132,0.0325207,0.344214,0.905484
BRc02_grain_89_8,3.03414,0.0543726,0.209423,341.588,5.1282,24.4967,0.820911,0.00765937,0.00796945,0.332941,0.00636321,0.0245088,0.561698,0.862432
BRc02_grain_90_1,1.61653,0.0478695,0.123689,180.983,5.16047,14.1966,0.814185,0.00926077,0.00951467,0.641164,0.0171581,0.0443345,0.357679,0.960483
BRc02_grain_90_2,0.965258,0.0185047,0.0704375,109.237,2.29503,8.27629,0.818538,0.00853939,0.00881699,1.06468,0.0200549,0.0763379,0.177243,0.954151
BRc02_grain_90_3,1.15585,0.0511149,0.0954826,130.93,5.68919,11.0322,0.820897,0.00840718,0.00869061,0.922335,0.0398863,0.0745075,0.178873,0.989867
BRc02_grain_90_4,2.25188,0.0537467,0.165082,254.075,6.10265,19.2168,0.817497,0.00702586,0.00735994,0.461572,0.00921631,0.0283077,0.165073,0.984018
BRc02_grain_91_1,4.79834,0.0960579,0.345087,582.013,10.9539,42.9715,0.877478,0.00968577,0.0099675,0.214712,0.00434088,0.0155946,0.267117,0.850029
BRc02_grain_91_2,6.08963,0.0744806,0.425379,767.42,9.38034,55.3732,0.910438,0.0055507,0.00606392,0.166387,0.00207726,0.0118638,0.317647,0.899382
BRc02_grain_91_3,8.12904,0.123504,0.514075,1005.15,15.2982,66.237,0.912333,0.00621355,0.00667787,0.146623,0.00234391,0.00975634,0.405817,0.95976
BRc02_grain_91_4,13.1829,0.173698,0.843136,1599.91,21.0437,108.116,0.905515,0.00591053,0.0063899,0.0976575,0.00136331,0.00661756,0.237327,0.896819
BRc02_grain_92_1,8.44149,0.218006,0.616337,986.3,26.4683,74.59,0.880614,0.00420807,0.00482539,0.173074,0.00467827,0.0132262,-0.114004,0.982112
BRc02_grain_92_2,14.7255,0.441453,1.02444,1708.5,51.6756,123.293,0.886569,0.00470726,0.00527358,0.114306,0.00348568,0.00808891,0.0612842,0.985464
BRc02_grain_92_3,11.6563,0.22043,0.797137,1316.96,25.7162,94.4688,0.880578,0.00376669,0.00444571,0.169612,0.00333507,0.0120606,-0.0329396,0.976041
BRc02_grain_92_4,75.8651,1.60413,4.64024,8579.58,174.754,543.608,0.912252,0.00581232,0.00630616,0.0336329,0.000772273,0.00223394,0.282312,0.946474
BRc02_grain_93_1,1.46304,0.0435663,0.110375,150.326,4.92463,11.8408,0.73156,0.0120719,0.0122302,0.70333,0.0204495,0.0518089,0.0440141,0.94882
BRc02_grain_93_2,2.79496,0.125966,0.231432,299.233,14.2739,25.7909,0.757343,0.00509654,0.00548627,0.377658,0.0126584,0.0232568,-0.298836,0.997041
BRc02_grain_93_3,2.74638,0.16643,0.253374,294.593,19.3301,28.68,0.753102,0.00547427,0.0058349,0.393297,0.0175484,0.0267159,-0.386791,0.99632
BRc02_grain_93_4,1.27994,0.0270317,0.093136,127.705,2.72675,9.59662,0.703273,0.00357197,0.00403931,0.799774,0.0172144,0.0593111,-0.0928095,0.971271
BRc02_grain_93_5,2.31157,0.0891594,0.184214,247.726,10.4596,20.6973,0.751037,0.00526421,0.0056363,0.449639,0.0169288,0.0349768,-0.377551,0.993596
BRc02_grain_95_1,2.99723,0.103853,0.232994,320.703,11.5315,25.83,0.78271,0.00523751,0.00564244,0.345695,0.0125768,0.028216,-0.141637,0.990167
BRc02_grain_95_2,2.41834,0.0545098,0.176573,256.794,5.95518,19.406,0.777378,0.0049101,0.00533432,0.42005,0.00921128,0.0298379,0.0702807,0.987298
BRc02_grain_95_3,2.79243,0.0778776,0.2086,296.787,8.08859,22.7755,0.778665,0.00423836,0.00472482,0.366449,0.0100245,0.0268513,0.0900975,0.987971
BRc02_grain_95_4,2.38154,0.062263,0.175926,251.9,6.5741,19.1724,0.775007,0.004252,0.00473274,0.427284,0.0105495,0.029808,0.0427425,0.990555
BRc02_grain_95_5,2.6406,0.0819831,0.199842,278.743,8.41418,21.6048,0.77736,0.00475781,0.00519445,0.387147,0.0119941,0.0292367,-0.0747825,0.98847
BRc02_grain_96_1,1.73452,0.0711593,0.139448,172.989,7.59336,14.5209,0.72728,0.00609542,0.00639983,0.602746,0.0266059,0.0521387,-0.18847,0.985607
BRc02_grain_96_2,1.526,0.184312,0.21255,160.955,23.0816,25.8111,0.708145,0.0194446,0.0195372,0.857896,0.0790029,0.0911066,-0.255749,0.980341
BRc02_grain_96_3,3.22294,0.196304,0.297893,362.031,22.9644,34.7288,0.797479,0.0118771,0.0120681,0.36278,0.0279719,0.0424477,-0.210539,0.971319
BRc02_grain_96_4,4.4495,0.237968,0.390567,506.025,24.6396,44.007,0.828726,0.0186594,0.0187913,0.246034,0.0127052,0.0208526,0.336819,0.962414
BRc02_grain_97_1,0.399125,0.00800813,0.0289173,29.8739,0.799263,2.29549,0.536974,0.00851024,0.00863121,2.56442,0.0512616,0.185105,-0.158119,0.890128
BRc02_grain_97_10,0.372827,0.0157882,0.0303985,28.2808,1.73191,2.67657,0.534627,0.0103024,0.0104017,2.80112,0.110182,0.212144,-0.617124,0.98278
BRc02_grain_97_2,0.817155,0.0336254,0.0661419,78.3285,3.85181,6.83808,0.679992,0.00695065,0.00718586,1.30065,0.052342,0.102958,-0.65559,0.99164
BRc02_grain_97_3,0.572195,0.0183657,0.0439592,49.272,2.07514,4.1193,0.616181,0.00881874,0.00897221,1.81579,0.049742,0.11906,-0.620913,0.982432
BRc02_grain_97_4,0.651885,0.00959478,0.0465813,57.1846,0.937696,4.24515,0.628138,0.00624856,0.00647162,1.56291,0.0231047,0.11217,-0.00128822,0.912676
BRc02_grain_97_5,0.55341,0.0169244,0.0422135,49.0297,2.03477,4.0878,0.628346,0.00862858,0.00879156,1.85907,0.0546134,0.136219,-0.388991,0.972256
BRc02_grain_97_6,0.488489,0.00909789,0.0353721,41.5815,0.905084,3.14524,0.60677,0.0080738,0.00823613,2.08887,0.0395377,0.15372,0.186691,0.931084
BRc02_grain_97_7,0.497598,0.0118018,0.036705,42.5553,1.26091,3.32364,0.611089,0.00798235,0.00814883,2.05797,0.0499573,0.155374,-0.15264,0.914852
BRc02_grain_97_8,0.445665,0.0137313,0.0340236,36.076,1.4766,2.99761,0.580772,0.0097393,0.00986304,2.31866,0.0701566,0.173835,-0.40597,0.971127
BRc02_grain_97_9,0.461013,0.00915606,0.0334698,37.2973,0.921138,2.85014,0.582672,0.00708267,0.00725298,2.21032,0.0394494,0.144206,-0.100418,0.943178
BRc02_grain_98_1,2.25065,0.0444134,0.159565,254.111,5.52748,18.7863,0.82481,0.00414976,0.00470245,0.456883,0.00975168,0.035035,-0.306358,0.974675
BRc02_grain_98_2,1.74885,0.020178,0.125425,193.557,2.28961,14.2821,0.808113,0.00395375,0.0045087,0.578581,0.00657423,0.0408651,0.0773797,0.94619
BRc02_grain_98_3,1.60495,0.0430237,0.122594,174.811,5.22499,13.9176,0.788348,0.00399285,0.00451797,0.636115,0.0185565,0.0528761,-0.364818,0.989416
BRc02_grain_98_4,1.42033,0.0255532,0.102238,157.613,3.04192,11.7692,0.800628,0.00359619,0.00418834,0.725434,0.0127763,0.0511177,-0.183642,0.967469
BRc02_grain_98_5,1.1492,0.0209889,0.0827663,125.856,2.3444,9.37444,0.79123,0.00432194,0.0048147,0.896626,0.0161137,0.0635416,0.07711,0.959037
BRc02_grain_98_6,1.27607,0.0364875,0.0959506,140.285,4.20681,10.942,0.793094,0.00401278,0.00454155,0.824713,0.0235586,0.0619518,-0.254809,0.986734
BRc02_grain_98_7,1.16989,0.0195889,0.0832184,127.423,2.16427,9.37909,0.7874,0.00394588,0.00447533,0.880468,0.0142308,0.0604561,0.0773576,0.980747
BRc02_grain_98_8,1.50848,0.0475335,0.114856,167.07,5.42558,13.1642,0.80071,0.00381418,0.00437705,0.696999,0.0213268,0.0515323,-0.122424,0.990695
BRc02_grain_99_1,6.97828,0.657061,0.817725,792.026,77.2692,96.1251,0.818528,0.00947388,0.00972484,0.172554,0.0112039,0.0139434,-0.110508,0.986326
BRc02_grain_99_2,5.82471,0.340294,0.529001,656.702,39.1267,61.3279,0.812447,0.0081816,0.00846671,0.191446,0.0094032,0.0146177,-0.0543278,0.942237
BRc02_grain_99_3,5.80301,0.308871,0.506956,659.683,35.9317,59.422,0.821974,0.00565844,0.00607261,0.198004,0.012891,0.0211581,-0.119602,0.992208
HFO_1,0.122222,0.00118415,0.00829393,15.4294,0.147565,1.08535,0.916058,0.00469143,0.00529568,8.1807,0.0795116,0.556907,0.319762,0.859417
HFO_10,0.122179,0.000968073,0.0086838,15.4257,0.118302,1.13569,0.917064,0.00457009,0.00518976,8.18542,0.0644053,0.577728,0.33369,0.781193
HFO_11,0.122145,0.00072779,0.0084105,15.4232,0.0793011,1.1091,0.915316,0.00444954,0.00508166,8.18671,0.0488569,0.5646,0.491057,0.605629
HFO_12,0.12218,0.000829081,0.00858544,15.4264,0.094487,1.11756,0.920155,0.00491794,0.00550227,8.18489,0.0533162,0.552109,0.468776,0.673172
HFO_13,0.12215,0.00070052,0.0085347,15.4229,0.0751166,1.11194,0.915817,0.00478549,0.00537889,8.18661,0.047899,0.583572,0.585296,0.544312
HFO_14,0.12209,0.000941169,0.00797738,15.4347,0.11002,1.04894,0.915171,0.00484841,0.00543416,8.18864,0.0631424,0.535197,0.395073,0.743806
HFO_15,0.12234,0.00150238,0.00977424,15.4488,0.186991,1.3011,0.916592,0.00387227,0.00458652,8.18563,0.100452,0.653524,0.326104,0.93839
HFO_16,0.122153,0.00087234,0.00853095,15.4239,0.0978193,1.11248,0.91835,0.00474984,0.00535031,8.18655,0.0570706,0.558115,0.446092,0.71445
HFO_17,0.122152,0.000791644,0.00823007,15.4344,0.0957235,1.03878,0.917027,0.00513337,0.005692,8.1857,0.0531272,0.55232,0.483841,0.634537
HFO_18,0.122162,0.000894506,0.00842397,15.4242,0.0995831,1.10029,0.914366,0.00507323,0.00563472,8.18538,0.0611171,0.575567,0.487589,0.709155
HFO_19,0.122153,0.000845484,0.00832739,15.4236,0.101608,1.09028,0.916431,0.00420857,0.00487356,8.18576,0.05671,0.558551,0.360814,0.779991
HFO_2,0.122076,0.000832385,0.00767984,15.4124,0.110259,1.00279,0.919837,0.00498242,0.00555958,8.18884,0.0570697,0.526543,0.37431,0.720659
HFO_20,0.122161,0.000849496,0.00855771,15.4241,0.108233,1.12714,0.912399,0.004544,0.00516086,8.18588,0.0574905,0.579152,0.316627,0.744275
HFO_21,0.122158,0.000945188,0.0085739,15.4245,0.115839,1.12751,0.917579,0.00470173,0.00530669,8.18624,0.0651341,0.590838,0.404098,0.782367
HFO_22,0.122154,0.000762456,0.00853777,15.4236,0.0932094,1.10838,0.920994,0.00429391,0.00495354,8.18645,0.0523663,0.586383,0.426124,0.719828
HFO_23,0.122164,0.000837055,0.00856469,15.4239,0.104468,1.11005,0.915738,0.00440388,0.00504228,8.18577,0.0536561,0.549006,0.341667,0.755804
HFO_24,0.122159,0.000983304,0.00880911,15.4241,0.121644,1.15206,0.914207,0.00506331,0.0056256,8.17864,0.064943,0.581804,0.321871,0.771557
HFO_25,0.122173,0.000836776,0.00860202,15.4253,0.108655,1.11616,0.91378,0.00467564,0.00527886,8.18506,0.0577363,0.593527,0.255268,0.734949
HFO_26,0.122158,0.00082465,0.00852452,15.4233,0.101761,1.1148,0.916146,0.00461823,0.00523104,8.18608,0.0557728,0.576531,0.42227,0.71563
HFO_27,0.122161,0.000975253,0.00848833,15.4247,0.12502,1.11324,0.919879,0.00438172,0.00502837,8.18557,0.0659637,0.574129,0.325925,0.822328
HFO_28,0.122154,0.0010676,0.00895263,15.4236,0.12616,1.18608,0.917003,0.00442427,0.00506175,8.1886,0.0712884,0.597805,0.389444,0.829868
HFO_29,0.122174,0.0008518,0.0084119,15.4259,0.114343,1.09782,0.920531,0.00522865,0.00578209,8.18467,0.0581464,0.574221,0.360567,0.693921
HFO_3,0.122154,0.000783795,0.00847826,15.4352,0.0973092,1.13387,0.91576,0.00462599,0.00523742,8.186,0.0526965,0.570014,0.441058,0.653018
HFO_31,0.122168,0.0010566,0.00871301,15.4251,0.122011,1.14309,0.916138,0.00438269,0.00502431,8.18624,0.0710927,0.586248,0.446109,0.837834
HFO_32,0.122144,0.000828619,0.00855902,15.4225,0.0943628,1.11817,0.916515,0.00462712,0.00523936,8.18711,0.0563243,0.581789,0.496855,0.67526
HFO_33,0.122167,0.00105425,0.00845738,15.4246,0.135622,1.10592,0.914798,0.00420075,0.00486461,8.18506,0.0699825,0.561414,0.25406,0.85705
HFO_34,0.122167,0.00104571,0.00930756,15.4243,0.124714,1.22236,0.918271,0.00460515,0.00522218,8.18951,0.0703359,0.62604,0.338613,0.828361
HFO_35,0.122195,0.00097798,0.00831311,15.4284,0.109042,1.0865,0.916378,0.0046815,0.00528728,8.1831,0.0666943,0.56692,0.435462,0.793997
HFO_36,0.122166,0.00102326,0.00841134,15.4246,0.120194,1.09706,0.916698,0.00465242,0.00526195,8.18484,0.0684957,0.563042,0.408943,0.806772
HFO_37,0.12215,0.00128252,0.00842146,15.4231,0.147415,1.09486,0.919133,0.00556863,0.00608973,8.18547,0.0863567,0.567049,0.384723,0.830486
HFO_38,0.122228,0.00154075,0.00897605,15.4322,0.179002,1.18193,0.918782,0.00484822,0.00543836,8.18569,0.101044,0.588662,0.432075,0.908792
HFO_39,0.122147,0.00102357,0.0086844,15.4076,0.121745,1.11453,0.91516,0.00450897,0.00513359,8.18728,0.0687994,0.583722,0.37903,0.824566
HFO_4,0.122372,0.00103135,0.00884828,15.4341,0.132483,1.12994,0.914631,0.00397528,0.00467106,8.173,0.0674224,0.578439,0.248084,0.870815
HFO_40,0.122154,0.0010398,0.00879517,15.4232,0.132839,1.14896,0.914344,0.00445726,0.00508716,8.18794,0.0716601,0.606141,0.333576,0.825701
HFO_41,0.122179,0.00100431,0.00877178,15.4421,0.130455,1.17485,0.914218,0.00472938,0.00532705,8.1854,0.0674113,0.58878,0.255352,0.81934
HFO_42,0.122125,0.00110763,0.00836971,15.4198,0.130088,1.08673,0.918386,0.00529316,0.00583806,8.18714,0.074655,0.564124,0.44301,0.772231
HFO_43,0.12217,0.00096488,0.00841708,15.4062,0.131108,1.06375,0.918186,0.00513467,0.00569451,8.18433,0.0676948,0.590533,0.165132,0.826679
HFO_44,0.12215,0.00103971,0.0083983,15.4209,0.138729,1.07933,0.915604,0.00448864,0.00511632,8.18581,0.0699708,0.56519,0.179664,0.846713
HFO_45,0.122168,0.000918183,0.00848366,15.4258,0.114621,1.10355,0.922854,0.00488954,0.00548015,8.18502,0.0623722,0.576296,0.413909,0.741345
HFO_46,0.122232,0.00139622,0.00891158,15.433,0.179153,1.16816,0.917652,0.0049641,0.00554058,8.1841,0.0928939,0.592909,0.237651,0.872163
HFO_47,0.122147,0.00121342,0.00901284,15.4232,0.159954,1.18313,0.916054,0.00484851,0.00543532,8.18953,0.0805727,0.598462,0.206471,0.861136
HFO_48,0.122191,0.00103776,0.00833908,15.427,0.125075,1.08263,0.915723,0.0046392,0.00524902,8.18231,0.0703794,0.565545,0.321999,0.821566
HFO_49,0.122097,0.0011113,0.00808066,15.4171,0.134568,1.05184,0.915394,0.00453108,0.00515331,8.18782,0.0738334,0.53687,0.398724,0.854558
HFO_5,0.122168,0.00090806,0.00969495,15.4144,0.108562,1.26899,0.916463,0.0044471,0.00508101,8.18994,0.0597432,0.637851,0.431255,0.777966
HFO_50,0.122165,0.000908695,0.00855173,15.4246,0.11993,1.11857,0.911378,0.004729,0.0053232,8.18554,0.0598077,0.562851,0.292256,0.755484
HFO_51,0.122151,0.000856557,0.00856852,15.4231,0.102485,1.12275,0.913658,0.00443905,0.0050703,8.18676,0.0573242,0.573439,0.372041,0.743072
HFO_52,0.12215,0.0011098,0.00853653,15.4227,0.128759,1.1057,0.915687,0.00441071,0.00504821,8.1866,0.0745766,0.57364,0.372558,0.864029
HFO_53,0.122173,0.00100193,0.00855774,15.4256,0.125701,1.11302,0.920095,0.00443535,0.00507545,8.18506,0.0655485,0.559865,0.253373,0.817749
HFO_54,0.122112,0.00095748,0.00819457,15.4187,0.112787,1.05907,0.919098,0.00472538,0.00532949,8.18806,0.0641195,0.548765,0.411119,0.788275
HFO_55,0.122193,0.000832187,0.00857476,15.4268,0.10083,1.10213,0.915389,0.00424853,0.00490663,8.18393,0.0562292,0.579379,0.365591,0.767449
HFO_56,0.122423,0.000829663,0.00841759,15.455,0.0981729,1.10641,0.918384,0.00370028,0.00444493,8.1676,0.0539625,0.547492,0.440199,0.800581
HFO_57,0.122023,0.000989064,0.00839433,15.4083,0.119495,1.08007,0.914412,0.00383509,0.00455198,8.20364,0.0649614,0.551337,0.375592,0.859769
HFO_58,0.122096,0.000874131,0.00876312,15.4176,0.103332,1.1519,0.921326,0.00524203,0.00579509,8.19233,0.0592899,0.594379,0.443335,0.695144
HFO_7,0.122018,0.000793706,0.0078906,15.4309,0.094343,1.08503,0.916088,0.00464713,0.0052565,8.1874,0.0538537,0.535385,0.423062,0.69507
HFO_8,0.122238,0.00168096,0.00785359,15.4313,0.20994,1.01845,0.918012,0.00433646,0.00498651,8.17352,0.110977,0.518491,0.259944,0.936802
