,Spot Size (µm),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_110_6,75,2.443325896,0.094682454,7887.811572,164.7639491,276.734644,10.58999086,5700.0845,35.76284454,0.822317984,0.00790857,4916.385012,12.18287109,0.417035938,0.015015289,,0.985326135,0.106315602
BRc_grain_110_7,75,2.802368494,0.15993151,8510.571943,277.7514878,317.8019237,19.2252339,5804.007924,60.19304497,0.813513924,0.007655963,4911.493039,10.8838133,0.390877091,0.022316189,,0.991725151,-0.079216911
BRc_grain_111_1,75,3.274477799,0.117147288,9288.110083,154.7345655,356.9040852,11.55928023,5963.853053,31.61336361,0.80502173,0.005199845,4916.706287,7.955128715,0.314019936,0.008630737,,0.990636372,-0.178329997
BRc_grain_111_2,75,3.371003975,0.183878674,9401.766789,249.7990156,374.6510615,21.63981486,5984.133456,52.19460722,0.803331555,0.005335592,4917.463812,8.730692345,0.314104954,0.013415243,,0.9934517,-0.246255424
BRc_grain_111_3,75,3.471494011,0.073711747,9607.323367,92.95634209,384.5655574,7.324427642,6040.048376,17.94764517,0.807044827,0.00470319,4925.562667,7.499740179,0.29109649,0.005296699,,0.982239135,0.276324356
BRc_grain_111_4,75,3.322648158,0.070324854,9419.415109,105.9404774,368.215372,6.451020888,5999.288476,18.14558146,0.808516195,0.005715108,4917.60391,8.952364224,0.303187491,0.006526816,,0.940800442,0.390863327
BRc_grain_111_5,75,3.079625162,0.071066496,9026.407498,113.267672,338.2944778,7.473089052,5910.257804,23.50116223,0.799915596,0.00380637,4917.283259,6.441650578,0.329308126,0.008118605,,0.983280202,-0.040459324
BRc_grain_111_6,75,3.454412061,0.107557661,9599.308177,155.6486575,384.9755463,12.22667298,6036.958674,31.77310869,0.807743677,0.003991065,4928.494827,6.365279858,0.295891888,0.009555981,,0.986776617,-0.095481658
BRc_grain_112_1,75,1.378985492,0.069968586,5474.561709,144.1470135,134.6034363,6.970566954,4943.1254,37.08044143,0.714741487,0.007382362,4756.919856,14.7976652,0.765565371,0.024469665,,0.994647211,-0.250373672
BRc_grain_112_2,75,0.983105448,0.053712011,4350.459662,135.5523886,96.28855115,6.104672077,4599.013625,34.90446688,0.70970179,0.007961487,4746.204217,16.09728432,1.074560258,0.028408894,,0.997959227,-0.215568828
BRc_grain_112_3,75,1.424418963,0.152137748,5329.507319,228.728457,138.8632206,17.17584502,4875.426051,64.27400353,0.694528592,0.009434606,4713.449678,19.50949817,0.798714102,0.037483808,,0.998708251,-0.39990865
BRc_grain_112_4,75,1.149594451,0.130651208,4635.180069,217.165987,110.6336789,14.59367684,4645.971224,60.77213936,0.685578854,0.009173587,4694.96222,19.19391386,1.000474426,0.040125671,,0.999058899,-0.515629322
BRc_grain_112_5,75,1.50562102,0.218253796,5379.072001,319.8258498,151.073661,24.82875142,4892.161826,86.84719509,0.707672824,0.008441731,4741.651137,17.01088921,0.826379186,0.050387761,,0.999545933,-0.643708587
BRc_grain_112_6,75,1.80347542,0.283088828,6059.090328,426.9372505,191.3694449,35.17263033,5070.54324,105.9787465,0.71274376,0.008232571,4750.412742,15.99878678,0.73437752,0.046405872,,0.999191513,-0.704130289
BRc_grain_112_7,75,0.997128963,0.068348902,4361.48778,167.165879,94.20741543,7.427565968,4554.534935,45.44513162,0.68065989,0.00677661,4688.613336,14.68995257,1.077248665,0.038479044,,0.998673839,-0.505666114
BRc_grain_112_8,75,1.114235155,0.085106742,4658.469882,160.0367724,109.4718693,9.499930756,4699.383767,45.21012528,0.7066849,0.006951297,4740.961385,13.98677038,0.979668389,0.029633789,,0.998927661,-0.462212115
BRc_grain_113_1,75,4.057633118,0.065439255,10413.56852,73.66426016,463.7473595,6.608824363,6229.363423,12.128735,0.828448053,0.006553149,4932.746428,9.128679442,0.248491166,0.003517123,,0.956443841,0.316489122
BRc_grain_113_2,75,4.192107629,0.067601427,10597.50301,84.07025703,482.456216,6.787761823,6272.25414,14.29797434,0.83271875,0.005842219,4950.458673,6.857629408,0.23964749,0.004053443,,0.91981975,0.34814353
BRc_grain_113_3,75,4.207180543,0.066577723,10617.40457,81.09126715,478.5857176,6.414493801,6264.496147,13.46699437,0.826520469,0.004988894,4948.397327,6.54033073,0.23911251,0.003687853,,0.970338752,0.194057263
BRc_grain_113_4,75,4.887505807,0.080147581,11417.9975,88.71028938,571.3683445,8.385279244,6443.427753,14.67519314,0.844578385,0.006463842,4950.906732,7.252158701,0.205567681,0.003310895,,0.90952591,0.404067764
BRc_grain_113_5,75,4.253850747,0.073480334,10671.03499,88.84640952,486.3529121,7.044670599,6280.233118,14.57301318,0.828347845,0.005957467,4936.717929,8.883003977,0.236341523,0.004117036,,0.949084749,0.407796058
BRc_grain_113_6,75,4.091114729,0.069093866,10469.1601,87.41866764,470.7755439,6.951478622,6247.1366,14.74523454,0.832489706,0.005100226,4952.060673,6.153876973,0.245732283,0.004328528,,0.965861625,0.426073167
BRc_grain_113_7,75,4.105617901,0.093993714,10484.50222,124.7456707,470.8363681,9.974665893,6245.784934,22.61076105,0.829557979,0.005434569,4941.414203,6.923144679,0.246610894,0.006185354,,0.965651026,0.277918868
BRc_grain_114_1,75,13.82727102,0.32134089,17347.15994,144.7812605,1659.302143,36.38741197,7523.104257,23.12897018,0.868809003,0.004460115,4978.09196,7.73925198,0.073366369,0.001765858,,0.987060813,0.274427748
BRc_grain_114_2,75,11.90571251,0.382461554,16412.00358,191.8607756,1421.603895,44.23954484,7354.393482,30.47901027,0.864882952,0.005732319,4964.043411,7.630988239,0.086104544,0.002606318,,0.984674527,0.206334621
BRc_grain_114_3,75,12.05348055,0.27821511,16522.46529,143.3857286,1420.29843,31.52762604,7367.256698,24.01817872,0.855707145,0.003873555,4973.549305,6.342051538,0.083634251,0.001907514,,0.979591126,0.156387886
BRc_grain_114_4,75,13.00530306,0.307410593,16958.02349,138.7069461,1554.452312,34.28272276,7453.504313,22.00735912,0.865484602,0.005272535,4967.870272,7.630973658,0.077745692,0.0019077,,0.981647057,0.245526028
BRc_grain_114_5,75,9.002727144,0.251995905,14772.6677,155.4521806,1068.527422,29.8823419,7068.17897,27.21662881,0.858591192,0.005769114,4962.851313,6.335317811,0.113394146,0.003042007,,0.984910941,0.052494897
BRc_grain_114_6,75,11.04391864,0.329304837,15973.23816,181.7764485,1312.99742,38.05898513,7278.630479,30.06353478,0.860982158,0.005441919,4963.991271,8.696940968,0.092378978,0.002803988,,0.977856779,0.167611929
BRc_grain_114_7,75,11.83323102,0.238500552,16409.91352,119.0074166,1418.423829,28.14001618,7362.192725,20.01990932,0.867085665,0.004825606,4967.905643,8.747642634,0.085311408,0.001755724,,0.978193969,0.08397628
BRc_grain_114_8,75,8.070835143,0.243031756,14187.05479,168.8845996,964.0120427,29.83101072,6971.431674,29.23085581,0.860271108,0.005673049,4961.280609,8.717779964,0.124287289,0.003996057,,0.989992629,0.241931962
BRc_grain_114_9,75,11.69569511,0.323122263,16302.17644,166.1121995,1379.809327,36.65840322,7334.64397,27.37600643,0.860650065,0.005910959,4958.342828,7.58974703,0.087302917,0.002466619,,0.971188989,0.007697043
BRc_grain_114_10,75,13.11792778,0.223767343,17035.31168,103.8741354,1560.026728,24.25788467,7461.518755,15.95666656,0.864799463,0.004933714,4968.830613,7.087223014,0.076968809,0.001364222,,0.934004495,0.296312109
BRc_grain_115_1,75,1.928725109,0.04265254,6913.036856,96.31676813,213.4902058,4.645585782,5444.595734,22.68757297,0.805019599,0.005728349,4916.998778,9.548617395,0.524775055,0.012156898,,0.954071398,0.051259929
BRc_grain_115_2,75,1.574541495,0.018647129,6089.911732,46.13756875,173.5405196,2.141617343,5238.790297,12.1169193,0.799607074,0.006116793,4907.235456,8.950941295,0.637243587,0.007346991,,0.92289401,0.286842461
BRc_grain_115_3,75,2.445120833,0.061798727,7948.15466,122.9771234,271.8933276,7.043348706,5684.625039,28.27936415,0.8070387,0.006469736,4912.637197,9.851562038,0.418296817,0.011960249,,0.955060259,0.579219131
BRc_grain_115_4,75,2.539644266,0.040884113,8133.52485,70.03975202,281.5756907,4.78179445,5722.508351,14.34750842,0.804334176,0.005435981,4915.791493,8.721643969,0.39743736,0.005233023,,0.981692664,0.171917188
BRc_grain_115_5,75,2.48592424,0.06726058,8017.038228,133.9635667,278.3542493,7.992215969,5704.71469,32.10259002,0.811339151,0.006079644,4922.052617,9.248487966,0.413598697,0.013119692,,0.965198093,-0.118294711
BRc_grain_115_6,75,3.161605033,0.081174825,9151.091275,115.020283,354.5687886,9.34634383,5948.57374,21.87901606,0.813576083,0.006449215,4922.349978,9.433540818,0.322224429,0.007001662,,0.985895019,0.150721302
BRc_grain_115_7,75,5.860062288,0.226614672,12295.19645,196.9639373,666.7852308,24.7764145,6585.442467,36.53481155,0.831565839,0.005342402,4944.676814,7.044428724,0.177317452,0.006309523,,0.99073887,-0.004189233
BRc_grain_116_1,75,2.278838614,0.113556656,7538.46769,217.4074784,239.1933147,12.42556291,5523.185361,55.11533483,0.763334254,0.014255271,4792.746063,24.02373753,0.47801646,0.024191826,,0.92892911,-0.11827188
BRc_grain_116_2,75,2.121840221,0.151690947,7108.437892,267.7699971,212.674833,16.42640892,5362.736318,63.85659009,0.725942056,0.011550446,4761.923187,22.0626988,0.532062465,0.03169873,,0.990680129,-0.049763288
BRc_grain_116_3,75,2.747644043,0.268129109,8116.655183,338.0354323,296.439862,32.78521931,5655.245381,82.12239763,0.759369609,0.013102278,4800.000965,21.43429122,0.426756757,0.027730769,,0.995063759,-0.225891225
BRc_grain_116_4,75,2.442230761,0.142804848,7757.739228,270.322762,262.1756557,16.08201026,5580.492871,67.27453754,0.77432234,0.013157545,4815.514882,21.01204366,0.460114774,0.029679279,,0.979731646,-0.121125184
BRc_grain_116_5,75,2.439360954,0.207878575,7687.999027,374.8934968,251.6861376,23.3935136,5492.755841,94.77477296,0.739238327,0.014785833,4767.067554,27.45474629,0.491648482,0.041100554,,0.992284789,-0.358527993
BRc_grain_116_6,75,2.511898152,0.289782338,7615.002291,414.4084761,264.4621974,32.75763315,5518.286121,94.61323807,0.757754106,0.012203964,4810.813218,20.99938832,0.507282628,0.037707529,,0.996492126,-0.029368954
BRc_grain_116_7,75,2.786344283,0.291659203,8155.478702,341.2649015,291.5425106,32.73526599,5638.976107,73.27775248,0.753781921,0.011592633,4799.002224,20.55727988,0.423024134,0.026354751,,0.997818933,-0.06441785
BRc_grain_116_8,75,1.87347152,0.188791453,6345.828848,391.8592723,188.9943158,21.27873295,5145.577118,142.2688732,0.705301721,0.016930984,4707.888432,33.87710684,0.775332705,0.103124039,,0.997351527,-0.680803586
BRc_grain_116_9,75,2.11035652,0.13530858,7147.031355,224.5646326,222.3760937,17.37311374,5419.356872,57.32674378,0.75037409,0.013764318,4776.49663,24.94674651,0.503994294,0.024953367,,0.988518841,-0.048019915
BRc_grain_116_10,75,2.860096408,0.354214925,8100.455301,407.4622868,293.4535758,36.03136841,5634.562489,91.52741137,0.759946,0.012086864,4814.733258,21.26466056,0.444237445,0.031981087,,0.997454841,-0.098975775
BRc_grain_116_11,75,1.439230279,0.17096848,5405.217273,444.2029627,143.3571815,20.01261391,4768.451625,149.227304,0.665009621,0.016461975,4634.133976,35.18568303,1.136542492,0.140301653,,0.985689131,-0.514161589
BRc_grain_117_1,75,5.447218738,0.116859823,11991.37346,123.9862467,632.470435,13.63499213,6541.324157,22.38870156,0.846594029,0.007206309,4941.148196,8.729881292,0.183852947,0.004286693,,0.959041787,0.088887671
BRc_grain_117_2,75,2.124536564,0.195151573,7043.305142,360.5655893,239.0907203,23.16701351,5436.647762,82.50802958,0.802406596,0.007117056,4901.033156,10.64539809,0.579910489,0.036675948,,0.994390392,-0.134018682
BRc_grain_117_3,75,3.026678421,0.079985285,8932.878866,125.4845829,346.3940675,8.385749736,5932.87294,25.17341231,0.836694626,0.008349962,4921.06393,11.85134252,0.338569288,0.008731676,,0.951594277,0.259535003
BRc_grain_117_4,75,1.478324014,0.110452692,5650.705696,250.9920447,162.035961,12.58949371,5081.9091,66.65170264,0.791356293,0.006757107,4886.990084,10.67034008,0.776162912,0.046560475,,0.994368944,-0.208071174
BRc_grain_117_5,75,2.318469689,0.109990357,7616.131013,193.7097644,256.298563,11.99642032,5619.05401,47.63926972,0.809604623,0.006790432,4913.370343,9.75128941,0.453776497,0.019614089,,0.989998311,-0.113451537
BRc_grain_119_1,75,4.010865537,0.069923284,10376.06403,95.2636607,474.0318326,7.689276842,6252.943017,17.00895086,0.859044417,0.004534545,4971.419122,7.044131982,0.251107943,0.004711023,,0.95239903,0.203896101
BRc_grain_119_2,75,3.990296585,0.060574147,10344.39049,79.14055926,472.6157877,6.598250948,6251.37164,14.3555701,0.86117057,0.003587815,4978.080887,6.724427917,0.252189547,0.004044619,,0.958714443,0.191795092
BRc_grain_119_3,75,3.8474162,0.076020718,10159.90789,104.3093743,451.8782899,8.373445015,6203.257514,18.57461234,0.854292704,0.004071872,4970.731528,5.530444252,0.262255758,0.005480825,,0.978278618,0.248210373
BRc_grain_119_4,75,4.043723063,0.066754437,10409.09767,87.79029698,477.7974349,7.185818142,6261.717351,15.71335923,0.859088853,0.004063962,4967.616545,7.484389548,0.249282052,0.004553626,,0.958632964,0.308010431
BRc_grain_119_5,75,4.060999498,0.076683015,10424.98436,98.65316767,482.479664,8.636006705,6269.897257,18.32677197,0.864004212,0.003681293,4977.404963,6.331058833,0.248925565,0.004940593,,0.972931359,0.153237539
BRc_grain_119_6,75,3.851015634,0.081613102,10157.37809,112.9240584,457.6612522,9.194272889,6217.169493,21.28395765,0.864502021,0.004882192,4975.763134,4.876152899,0.263547454,0.005944878,,0.963770273,0.20759306
BRc_grain_119_7,75,4.129710716,0.080090463,10520.66315,106.0091363,488.2642964,8.945482324,6283.73613,19.65449244,0.858803833,0.004026677,4977.356365,5.673975841,0.245219969,0.005241885,,0.96734042,0.203678769
BRc_grain_119_8,75,4.304319627,0.074147587,10731.94791,90.8904071,513.1664545,8.441030092,6333.367546,16.78727925,0.865579664,0.004295107,4973.887655,7.818519352,0.234303917,0.004265042,,0.958453089,0.196922039
BRc_grain_119_9,75,4.323853621,0.071803929,10768.87273,91.13495378,511.75342,8.050376269,6333.139761,16.64916405,0.860122767,0.004819137,4974.955491,4.841302517,0.232719736,0.004238428,,0.948527552,0.173920191
BRc_grain_119_10,75,4.602353134,0.047476099,11099.70059,54.34690095,543.8436627,5.504757538,6395.491662,10.15102549,0.857932839,0.004884102,4968.239565,7.046771105,0.217700695,0.002285615,,0.843887802,0.309199407
BRc_grain_119_11,75,4.730140726,0.061352588,11247.92936,71.01689856,557.6271676,6.417482377,6421.724882,12.11098388,0.857061472,0.003851922,4973.828276,6.951419013,0.211942789,0.002760802,,0.921634111,0.163426957
BRc_grain_120_1,75,4.354180745,0.071048851,10794.55639,86.51127137,494.6375769,7.742423174,6296.556083,16.06369962,0.824503568,0.004837382,4944.692872,6.762983729,0.23187572,0.003903869,,0.921988932,0.145572684
BRc_grain_120_2,75,4.713765107,0.067115806,11218.56904,75.60597725,533.8127613,6.38502016,6377.461446,12.56381091,0.826998194,0.003714815,4953.448588,4.77779011,0.213257888,0.003107859,,0.92911604,0.268036951
BRc_grain_120_3,75,4.036535529,0.076461473,10406.65039,101.8952504,455.4653664,8.082128943,6211.632281,18.14399312,0.819922713,0.004988955,4933.574691,7.567753741,0.249959921,0.005078628,,0.953017653,0.236934945
BRc_grain_120_4,75,4.079045445,0.093505087,10435.46208,117.7413641,455.4018825,9.622637507,6211.972788,21.86596842,0.814411628,0.003839218,4940.728813,6.328163655,0.248365557,0.005975837,,0.979166335,0.214383583
BRc_grain_120_5,75,4.667078025,0.079288148,11171.74965,93.07892881,529.2325685,8.194950008,6367.722452,16.33089822,0.824637816,0.005452995,4938.422605,7.061970131,0.215015549,0.003958885,,0.94347301,0.266762345
BRc_grain_120_6,75,4.245312071,0.113344436,10642.94782,141.5067498,478.0025468,11.31122774,6256.158953,23.65816485,0.821666734,0.009612406,4907.704378,12.21569934,0.241185021,0.006539082,,0.90803218,0.451539726
BRc_grain_120_7,75,3.641630901,0.068632177,9881.437087,98.20779255,409.3011843,7.005558234,6108.253276,18.38156056,0.818793831,0.005490869,4931.035398,7.876635997,0.276974893,0.005475,,0.943197643,0.251378443
BRc_grain_120_8,75,4.229386672,0.090208632,10641.89388,118.3332245,473.8104542,9.101264296,6250.781042,19.27800712,0.81483154,0.010364962,4907.07309,14.80591542,0.237292054,0.005488102,,0.862099376,0.519779683
BRc_grain_120_9,75,3.59068689,0.061186439,9803.178137,85.22263629,397.864721,6.275149618,6078.606002,16.71947326,0.807648466,0.005774986,4918.642482,9.712507189,0.281304629,0.004757107,,0.948091208,0.187528607
BRc_grain_120_10,75,4.28242509,0.066916001,10709.79813,81.69849023,480.2062264,6.527551567,6269.816467,14.37708709,0.817084641,0.005562483,4933.367661,8.100643062,0.235501804,0.003711751,,0.923948739,0.300235588
BRc_grain_120_11,75,4.71991699,0.236290597,11043.36,202.2942738,531.7731505,27.35008321,6334.13318,34.53227399,0.825543368,0.015242566,4893.578062,18.66165286,0.223472172,0.009218658,,0.991347235,0.477375851
BRc_grain_120_12,75,3.644018697,0.075479201,9882.260891,106.8027642,410.1938656,7.544705561,6111.130543,19.55832534,0.821954508,0.00785646,4923.39868,10.27575691,0.277139486,0.005887081,,0.932030697,0.399031814
BRc_grain_121_1,75,3.666535545,0.085709305,9890.585727,115.509145,414.1372432,8.633239778,6116.933092,21.64523566,0.82294503,0.005175693,4938.298694,7.108928027,0.276420797,0.006483796,,0.981486628,0.224876484
BRc_grain_121_2,75,3.729022665,0.066934765,9991.691215,90.88917323,426.7147458,7.055634775,6146.428222,16.79524339,0.829272635,0.005793073,4942.501663,6.451833377,0.270596465,0.004855849,,0.960595669,0.257172101
BRc_grain_121_3,75,3.972240959,0.063689338,10320.01345,80.30552199,453.8189646,6.686284439,6210.16843,14.2231541,0.828068978,0.004656071,4948.66015,6.334406665,0.253268628,0.003844259,,0.978154779,0.307071739
BRc_grain_121_4,75,3.888323351,0.075571376,10215.17075,103.4680027,445.7826539,8.012768616,6189.900875,17.97566754,0.832019167,0.005765344,4950.233103,6.54407599,0.258837082,0.005360526,,0.960016423,0.254071248
BRc_grain_121_5,75,3.858749989,0.126928337,10108.98734,166.2727819,438.6660728,14.14631789,6160.214008,32.26245957,0.823528141,0.004608531,4939.825938,6.759246222,0.266977753,0.009138346,,0.985500414,0.075253367
BRc_grain_121_6,75,3.882293266,0.103653028,10183.85139,143.6671675,444.0737983,12.54790093,6176.919745,28.5717422,0.825047896,0.00506629,4944.219908,6.919103372,0.262590904,0.007720437,,0.982630049,-0.043513048
BRc_grain_121_7,75,4.384939861,0.104399001,10821.69688,131.6483273,503.9002311,11.32292694,6312.824217,24.15442968,0.832259993,0.004931134,4948.669386,6.541686613,0.23139012,0.006157603,,0.973989578,0.195105185
BRc_grain_121_8,75,4.316929681,0.076126636,10746.30216,92.47373608,499.8214248,8.629840599,6306.224629,17.41911656,0.838505991,0.004867258,4954.833192,6.843071872,0.233094522,0.004308726,,0.973346133,0.143398439
BRc_grain_121_9,75,4.181136582,0.086942563,10570.81823,106.928152,480.7802675,9.436618268,6265.383133,19.47530628,0.833506897,0.004969621,4954.740373,7.363647809,0.241615068,0.005091088,,0.97632387,0.260561464
BRc_grain_122_1,75,7.872438384,0.17071295,14026.68388,125.1182062,903.2373304,18.19642833,6903.958435,20.62791005,0.831939101,0.005026164,4947.021173,7.114441405,0.128548335,0.002761838,,0.957796117,0.266463329
BRc_grain_122_2,75,6.359836512,0.083436801,12851.76015,72.73285392,722.926482,9.008399546,6686.553782,11.74329807,0.822853764,0.005231302,4936.696903,6.99727118,0.157764686,0.002058075,,0.881100301,0.33137017
BRc_grain_122_3,75,5.869072758,0.234261127,12293.43548,244.154534,662.2006961,26.95318841,6569.144824,48.93966348,0.818640481,0.004361224,4942.225613,6.458399103,0.182458763,0.009358364,,0.992591229,-0.352445174
BRc_grain_122_4,75,5.811470459,0.206076071,12281.67758,195.050307,652.595778,23.08944235,6563.377708,35.56496193,0.81404808,0.004329736,4933.811135,6.574693899,0.177552716,0.006056426,,0.986582135,0.086694211
BRc_grain_122_5,75,5.343211161,0.251506725,11739.55488,266.4052942,602.7953686,28.40008718,6462.769922,50.49958357,0.817365279,0.004769798,4936.338525,7.329750061,0.20341046,0.010431797,,0.99273981,-0.092656802
BRc_grain_123_1,75,3.396852356,0.09897717,9488.030316,139.627575,384.0059377,10.92605025,6030.197692,27.77527005,0.819461825,0.005616661,4929.838589,8.129930363,0.301206767,0.008427276,,0.981415402,0.115920643
BRc_grain_123_2,75,3.553892811,0.092474745,9723.854139,128.5266561,398.6099347,10.04435376,6071.102222,24.72023501,0.812965218,0.004852122,4930.329631,7.825480537,0.286521086,0.007597081,,0.986383455,0.205839203
BRc_grain_123_3,75,2.772133627,0.085189633,8518.701869,148.5691513,312.9884285,10.08970445,5819.208788,31.24150652,0.81579613,0.00482761,4933.843033,6.545834285,0.36729961,0.012181188,,0.987491832,0.055191341
BRc_grain_123_4,75,3.019523966,0.113391136,8879.517354,170.6083029,342.2073965,12.78342084,5904.523411,34.81415956,0.823731109,0.004517118,4944.628605,6.914849812,0.340346363,0.012630948,,0.993506553,0.068906952
BRc_grain_123_5,75,2.600217979,0.101219875,8199.702249,174.5516735,291.1338219,11.4404796,5745.193701,37.07215586,0.812025544,0.005139681,4929.520585,7.382265962,0.397183869,0.014308188,,0.990686406,0.066551905
BRc_grain_123_6,75,3.157356658,0.098734722,9120.617097,147.0094325,354.3605128,11.19467897,5946.257299,29.86565216,0.815943014,0.005228832,4935.339557,7.659442277,0.323173589,0.010320201,,0.989399373,0.039882752
BRc_grain_123_7,75,3.306332324,0.157861089,9315.421262,214.408483,376.5975284,19.92355352,5985.785074,43.05907631,0.815884917,0.004726225,4935.525034,7.550323358,0.313394101,0.012909105,,0.99668424,-0.046633886
BRc_grain_123_8,75,3.406808809,0.130955495,9471.422253,168.4139665,383.7544675,14.78676543,6021.571005,33.32447259,0.818366427,0.00459991,4938.447993,7.206106944,0.302778379,0.009939809,,0.995805825,0.040727024
BRc_grain_123_9,75,3.648482129,0.173157344,9771.100221,203.7448271,413.3163372,19.37491987,6087.260707,39.31159921,0.823030747,0.005841549,4934.926938,8.140542047,0.28750676,0.01072216,,0.99449392,0.101312412
BRc_grain_123_10,75,3.6721284,0.106810726,9878.530484,140.5029796,414.5643439,12.25265443,6107.463613,27.74513018,0.819338178,0.005409687,4932.137435,7.558579399,0.279587642,0.007527892,,0.989061052,0.072527361
BRc_grain_123_11,75,3.460421842,0.147147415,9498.274224,172.3290518,389.3262219,16.62281117,6031.851161,36.09808327,0.817500932,0.004337229,4938.117501,6.471846425,0.30016398,0.010422473,,0.996664181,0.029305921
BRc_grain_123_12,75,3.568642402,0.129978994,9731.431717,178.7191888,403.4517653,14.6943091,6072.567127,33.75115647,0.821411577,0.004735749,4941.540945,6.971560411,0.288449655,0.009996847,,0.991430916,-0.001968894
BRc_grain_123_13,75,3.427944893,0.162105037,9485.369758,221.6588843,388.8404713,20.07483134,6017.0392,44.45970232,0.815442976,0.004846618,4931.846662,6.879328736,0.304083781,0.013191166,,0.995829376,-0.054266287
BRc_grain_125_1,75,3.185885324,0.077719524,9201.327333,124.7419892,368.1066854,8.269319594,5994.734922,23.49512474,0.841015582,0.007895628,4935.702388,10.62840791,0.318571552,0.008102459,,0.916598335,0.346388984
BRc_grain_125_2,75,7.726972328,0.163959672,13922.29999,122.0400899,903.8449395,18.46294319,6904.416254,20.92274657,0.850181142,0.006845571,4943.43459,9.905709731,0.131342477,0.002852834,,0.919702248,0.176318995
BRc_grain_125_3,75,7.911124892,0.169872627,14057.25101,120.5461117,917.6098969,17.49189985,6923.879114,19.59626557,0.844929243,0.006426695,4945.523985,8.147549984,0.127875101,0.002742263,,0.947088009,0.344784745
BRc_grain_125_4,75,6.019101949,0.134033343,12536.59209,124.98789,694.1266227,15.35340413,6638.946829,22.50808698,0.836510665,0.005176839,4952.825009,7.136935835,0.168254702,0.003660809,,0.977037471,0.203289181
BRc_grain_125_5,75,8.801952724,0.254559489,14653.05967,173.1962269,1020.559683,27.30670793,7032.149263,29.87160193,0.849938117,0.005242347,4960.963421,7.549399449,0.116319077,0.003602286,,0.980988286,0.117418512
BRc_grain_125_6,75,5.833199249,0.156861569,12326.7128,144.5829335,679.1450399,16.94347063,6611.048335,24.87113199,0.851549556,0.006706964,4950.076712,8.941570613,0.174856827,0.004809374,,0.965541069,0.15654864
BRc_grain_125_7,75,5.797671266,0.156131579,12294.24554,142.6459181,672.1067681,18.4656006,6598.585963,26.60668453,0.84363686,0.004953837,4962.176029,6.647971638,0.17589981,0.004689168,,0.981275919,-0.056043295
BRc_grain_125_8,75,4.581999344,0.521607568,9966.825387,624.6419161,522.2981897,61.3566479,6043.461286,135.5542754,0.808478513,0.009003062,4887.753963,13.65268217,0.386353253,0.045322202,,0.995869963,-0.601011429
BRc_grain_125_9,75,7.51744821,0.316277247,13682.75347,232.3450231,865.2836403,33.88005613,6854.571781,41.2567831,0.846893307,0.005636637,4952.359708,7.730424161,0.140125265,0.005518865,,0.990153276,0.043815604
BRc_grain_125_10,75,8.015964508,0.197799666,14154.95292,146.0154366,930.02639,23.01282453,6936.562511,25.62143817,0.843014486,0.004588664,4959.941474,6.594692695,0.126512298,0.003220538,,0.978569672,0.059189792
BRc_grain_126_1,75,6.061590425,0.325128125,12346.10592,294.093354,702.8576432,38.52695915,6600.137858,55.52851255,0.839464187,0.005002886,4955.222168,6.90980941,0.183645118,0.009549075,,0.991945048,-0.22238363
BRc_grain_126_2,75,6.041964717,0.296985985,12357.12043,280.483818,699.7684483,35.0539429,6601.807008,53.33568272,0.841667488,0.00683832,4944.580525,10.0203344,0.182662029,0.009459493,,0.985621079,-0.147737225
BRc_grain_126_3,75,5.425978161,0.202422772,11901.68507,199.0437499,632.3648546,24.33161646,6524.40134,36.57731107,0.843248381,0.005643028,4956.98597,7.179075185,0.192085666,0.006790873,,0.982316303,0.101093785
BRc_grain_127_1,75,10.77681343,0.245008733,15846.2651,131.9836361,1274.066201,25.29328827,7255.792603,20.44949957,0.867493562,0.005668719,4967.248677,8.192216692,0.094568951,0.00209493,,0.944371969,0.272959492
BRc_grain_127_2,75,9.239514144,0.386915062,14816.6579,250.1143158,1092.573764,45.60893081,7070.765328,43.1631149,0.861030992,0.007226516,4950.092738,11.50425522,0.11616345,0.005200072,,0.981621928,0.175035599
BRc_grain_127_3,75,9.533051058,0.255042328,15109.89634,151.3666423,1133.716417,22.3931802,7139.56914,20.09844662,0.875485737,0.015369469,4902.275909,18.29934748,0.107600589,0.002722719,,0.728282919,0.542494096
BRc_grain_127_4,75,4.919662379,0.255277479,11272.5422,276.9619126,567.1789625,24.90012634,6409.603904,44.07271349,0.865055551,0.02657062,4771.064233,28.91060733,0.222085725,0.011157533,,0.831755836,0.564561945
BRc_grain_127_5,75,9.455862964,0.319111939,15034.54824,207.4989754,1121.585899,36.79372436,7113.696567,35.09199892,0.863704472,0.005906882,4959.86555,8.015633483,0.110482795,0.004106765,,0.979983396,0.184560838
