,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
HFO_36,0.122162,0.000891393,0.0103521,15.4241,0.116701,1.3705,0.913737,0.00522736,0.00522736,8.18565,0.0580916,0.674642,0.600738,0.466574
HFO_37,0.122153,0.000828724,0.0103031,15.4229,0.105241,1.36582,0.917459,0.00537961,0.00537961,8.18592,0.055772,0.693387,0.501779,0.507921
HFO_38,0.122162,0.00080674,0.010461,15.4242,0.106947,1.38222,0.913909,0.00531673,0.00531673,8.18574,0.0544801,0.706447,0.504781,0.538184
HFO_39,0.122156,0.00100911,0.0104916,15.4239,0.136505,1.38454,0.917478,0.00615632,0.00615632,8.18616,0.0673508,0.700239,0.62882,0.504325
HFO_40,0.122164,0.000874927,0.0105134,15.4247,0.134286,1.38583,0.919495,0.00539109,0.00539109,8.18601,0.0566018,0.680147,0.638707,0.420389
HFO_41,0.122152,0.00104184,0.0104192,15.4232,0.144179,1.37161,0.917793,0.00655682,0.00655682,8.1862,0.0701912,0.701962,0.653137,0.529978
HFO_42,0.122153,0.00089815,0.0104961,15.4234,0.13738,1.38388,0.918578,0.00455908,0.00455908,8.18641,0.0597255,0.697975,0.738941,0.442637
HFO_43,0.122162,0.00106511,0.0104965,15.4242,0.159805,1.38595,0.913887,0.00552185,0.00552185,8.18587,0.0723534,0.713031,0.769975,0.406824
HFO_44,0.12217,0.00106433,0.0104697,15.4253,0.166701,1.38264,0.916887,0.00513147,0.00513147,8.1851,0.0699197,0.687794,0.775352,0.348588
HFO_45,0.122161,0.00115964,0.0104992,15.4241,0.163534,1.38664,0.915981,0.00457398,0.00457398,8.18572,0.0783913,0.709745,0.830287,0.215903
HFO_46,0.122235,0.00143999,0.0114676,15.4327,0.192944,1.47965,0.916942,0.00490809,0.00490809,8.18926,0.0982168,0.782169,0.878729,0.353315
HFO_47,0.122137,0.00114121,0.0102072,15.4206,0.101477,1.26833,0.917125,0.00617072,0.00617072,8.18654,0.0758077,0.678041,0.555873,0.618757
HFO_48,0.122167,0.0011012,0.0108392,15.4253,0.167305,1.43209,0.915192,0.00681497,0.00681497,8.16833,0.0706648,0.695559,0.667437,0.436514
HFO_49,0.122166,0.00111987,0.0100661,15.4262,0.154896,1.35875,0.914852,0.00526366,0.00526366,8.18502,0.0731473,0.657493,0.756745,0.383062
HFO_50,0.122233,0.0014611,0.0113387,15.4319,0.170995,1.48144,0.914841,0.00556161,0.00556161,8.1883,0.0984848,0.764278,0.808823,0.499785
HFO_51,0.122181,0.000965252,0.0116221,15.4087,0.12681,1.45372,0.919614,0.00514159,0.00514159,8.18854,0.0629156,0.757536,0.695113,0.330498
HFO_52,0.122154,0.000810984,0.0104399,15.4229,0.114085,1.37778,0.916166,0.00528142,0.00528142,8.18626,0.0558916,0.719497,0.59811,0.434243
HFO_53,0.122156,0.00087982,0.010459,15.4238,0.125828,1.38102,0.919262,0.00402029,0.00402029,8.18624,0.05784,0.687579,0.758126,0.349716
HFO_54,0.122155,0.00103397,0.0101863,15.4237,0.134193,1.35406,0.91267,0.00474446,0.00474446,8.185,0.0685387,0.675217,0.756443,0.390185
HFO_55,0.122158,0.000825104,0.0103773,15.4245,0.140983,1.37465,0.91744,0.00519839,0.00519839,8.18576,0.054838,0.689694,0.696128,0.298859
HFO_56,0.122562,0.00111708,0.0102707,15.477,0.165703,1.35214,0.916443,0.00548164,0.00548164,8.15684,0.078225,0.719224,0.7615,0.380105
HFO_57,0.122179,0.000992707,0.00923134,15.4108,0.116762,1.18489,0.915805,0.00535694,0.00535694,8.18824,0.0670637,0.623636,0.641787,0.416052
HFO_58,0.122271,0.0016299,0.013335,15.4402,0.19243,1.79966,0.918915,0.0053722,0.0053722,8.2007,0.105235,0.860975,0.848652,0.307636
HFO_7,0.122275,0.00109192,0.0106944,15.4205,0.112638,1.33524,0.916635,0.00625863,0.00625863,8.18761,0.073004,0.715012,0.497135,0.608516
HFO_8,0.122179,0.00125153,0.0099562,15.4262,0.165151,1.31894,0.918988,0.00616765,0.00616765,8.18233,0.0816687,0.64969,0.670784,0.397698
HFO_9,0.122177,0.00130863,0.010725,15.4261,0.153374,1.40306,0.920016,0.00623696,0.00623696,8.18599,0.0872164,0.714794,0.730945,0.467622
LRa02_grain_82_3,1.69558,0.0255347,0.148654,154.015,2.08732,13.9994,0.665297,0.00548159,0.00548159,0.597702,0.00879814,0.0512196,0.815947,0.296365
LRa02_grain_83_1,2.82019,0.0963998,0.258793,296.464,8.52544,27.6055,0.775494,0.00638725,0.00638725,0.361612,0.0115058,0.0308882,0.946119,-0.00776843
LRa02_grain_100_1,3.30694,0.248382,0.376335,360.818,28.6461,43.067,0.774383,0.0105099,0.0105099,0.385259,0.032036,0.0485392,0.990558,-0.358538
LRa02_grain_100_2,3.89551,0.219216,0.398671,431.063,24.196,45.394,0.794343,0.00753002,0.00753002,0.289888,0.0173896,0.0316251,0.977342,0.103096
LRa02_grain_100_3,1.74912,0.0891305,0.174187,181.439,8.9056,18.4653,0.7583,0.0110039,0.0110039,0.597754,0.0228415,0.0446389,0.969905,-0.0514533
LRa02_grain_100_4,3.45655,0.303013,0.423537,385.869,35.5884,49.5074,0.787094,0.0102535,0.0102535,0.384352,0.0314971,0.0440251,0.994232,-0.520772
LRa02_grain_100_5,4.04269,0.193926,0.396893,458.944,24.05,47.4867,0.802943,0.00739056,0.00739056,0.272343,0.016982,0.0347557,0.982636,-0.299572
LRa02_grain_101_1,2.31271,0.106082,0.224604,245.975,11.4795,24.7633,0.767754,0.0137311,0.0137311,0.463612,0.0216867,0.0459166,0.926735,0.0941728
LRa02_grain_101_2,2.13053,0.124469,0.220919,228.735,14.8765,25.2377,0.766783,0.0133801,0.0133801,0.516419,0.0439125,0.0779401,0.947015,-0.322569
LRa02_grain_101_3,3.09276,0.148644,0.302788,330.611,16.9403,33.942,0.783047,0.00978711,0.00978711,0.354995,0.0203073,0.0413661,0.973846,-0.267535
LRa02_grain_101_4,3.81055,0.136309,0.353797,407.424,15.6283,39.6321,0.778212,0.0105284,0.0105284,0.276543,0.0097022,0.0251825,0.907139,-0.00886852
LRa02_grain_101_5,4.68152,0.190365,0.442415,513.628,22.6113,50.8993,0.796802,0.00930062,0.00930062,0.227319,0.00897506,0.0208583,0.970641,-0.0210438
LRa02_grain_102_1,3.02296,0.0310487,0.255805,305.338,3.25398,26.4632,0.740247,0.00493128,0.00493128,0.34554,0.00360786,0.0297246,0.667017,0.478165
