,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
LRa02_grain_46_1,7.50175,0.0778416,0.590833,797.322,8.81984,65.5543,0.770283,0.00406665,0.00406665,0.155072,0.00162644,0.012345,0.843869,0.111808
LRa02_grain_46_2,5.39124,0.0462199,0.500165,553,4.29953,51.5062,0.744354,0.00355159,0.00355159,0.208345,0.00173031,0.0187243,0.777817,0.290294
LRa02_grain_46_3,7.13735,0.0955058,0.553216,768.478,11.7036,63.1596,0.778524,0.00339102,0.00339102,0.152763,0.00216552,0.0125437,0.930138,-0.212994
LRa02_grain_46_4,5.56587,0.0486569,0.471693,589.179,4.04531,50.5822,0.765929,0.00316602,0.00316602,0.188844,0.00164459,0.0159431,0.764684,0.275332
LRa02_grain_46_5,4.07545,0.0459204,0.39809,419.979,4.24849,43.8291,0.743249,0.00333319,0.00333319,0.251079,0.00266944,0.0231417,0.876004,0.242387
LRa02_grain_46_6,2.95143,0.0277926,0.260444,310.018,2.14182,28.5407,0.763614,0.00341746,0.00341746,0.383798,0.00380937,0.0356976,0.831833,0.358965
LRa02_grain_46_7,2.75007,0.0265005,0.242967,286.23,2.18387,26.5171,0.757481,0.00325624,0.00325624,0.425726,0.00416167,0.0381559,0.797822,0.291672
LRa02_grain_46_8,2.76166,0.0253854,0.241805,289.205,2.34666,26.5567,0.759946,0.00303099,0.00303099,0.435361,0.00403888,0.0384718,0.864301,0.21921
LRa02_grain_47_1,2.04691,0.10295,0.202935,205.813,10.5126,21.1251,0.736274,0.0244715,0.0244715,0.62683,0.0266854,0.0526021,0.725519,0.271822
LRa02_grain_47_2,2.33927,0.0539413,0.207423,242.899,5.10312,22.2608,0.763262,0.0049542,0.0049542,0.537025,0.0109115,0.0419585,0.898636,0.258831
LRa02_grain_47_3,2.15752,0.0259608,0.187888,220.605,2.91935,20.0206,0.7436,0.00361933,0.00361933,0.577645,0.00728927,0.0527553,0.890143,0.209933
LRa02_grain_47_4,1.84124,0.0287779,0.160668,183.495,2.8116,16.6217,0.727432,0.00745719,0.00745719,0.673834,0.00985194,0.0550037,0.78674,0.411845
LRa02_grain_47_5,2.09625,0.0243006,0.183663,210.982,2.32841,19.2817,0.732737,0.0037187,0.0037187,0.581515,0.00687133,0.0519332,0.858037,0.251313
LRa02_grain_47_6,1.75497,0.019147,0.153311,175.95,1.76828,16.0995,0.726597,0.00482669,0.00482669,0.680363,0.00752217,0.0602304,0.707956,0.436127
LRa02_grain_47_7,2.28355,0.0229262,0.189263,236.787,2.35203,20.3907,0.754541,0.00350055,0.00350055,0.508551,0.0049301,0.0406996,0.816481,0.294271
LRa02_grain_47_8,2.26199,0.0202479,0.191007,232.9,2.10112,19.7994,0.747665,0.00428909,0.00428909,0.498157,0.00434726,0.0410094,0.740232,0.364807
LRa02_grain_48_1,6.2662,0.102907,0.551785,719.116,12.9633,65.9492,0.835738,0.00555999,0.00555999,0.174915,0.00283404,0.0151961,0.897221,0.134114
LRa02_grain_48_2,6.20813,0.132846,0.564074,709.053,15.2681,67.1165,0.830376,0.00558156,0.00558156,0.173605,0.00386281,0.0164017,0.932662,0.0766545
LRa02_grain_48_3,5.37085,0.142526,0.495166,614.601,17.0244,58.972,0.827798,0.00836317,0.00836317,0.195926,0.00523018,0.0181708,0.930905,0.201345
LRa02_grain_48_4,6.86661,0.121188,0.602345,790.569,15.5394,74.947,0.835917,0.00978442,0.00978442,0.148309,0.00261257,0.0129854,0.784271,0.263294
LRa02_grain_48_5,7.61075,0.11979,0.662344,883.304,15.1615,80.7921,0.840544,0.00802061,0.00802061,0.138852,0.0021496,0.0118856,0.833157,0.14181
LRa02_grain_48_6,9.02377,0.205033,0.794932,1042.23,22.7559,95.262,0.841825,0.00649977,0.00649977,0.11921,0.0026849,0.0104096,0.928577,0.274179
LRa02_grain_48_7,9.99621,0.238422,0.886734,1153.03,30.0019,106.907,0.842436,0.0057249,0.0057249,0.107887,0.00260596,0.00969206,0.956214,0.060914
LRa02_grain_49_1,6.29525,0.0596164,0.53826,682.174,5.45534,60.2425,0.791024,0.00352936,0.00352936,0.167955,0.00161852,0.0146132,0.822073,0.243566
LRa02_grain_49_2,5.48029,0.0434374,0.486018,585.037,4.36054,54.0226,0.780467,0.00412517,0.00412517,0.191719,0.00150362,0.0168239,0.73993,0.504655
LRa02_grain_49_3,4.79947,0.0989632,0.412434,513.462,11.2807,46.0378,0.781345,0.00380646,0.00380646,0.220231,0.00470219,0.0195966,0.962469,-0.222996
LRa02_grain_49_4,3.80354,0.0503941,0.342374,398.256,4.86805,37.4985,0.765879,0.00381857,0.00381857,0.272052,0.00355297,0.0241386,0.882451,0.197995
LRa02_grain_49_5,3.36214,0.0307691,0.297537,350.202,3.28303,32.2503,0.75837,0.0044048,0.0044048,0.304245,0.0027537,0.0266282,0.754921,0.464048
LRa02_grain_49_6,3.16313,0.0373242,0.285366,327.898,4.27128,30.569,0.759763,0.00437295,0.00437295,0.321067,0.00377153,0.0288356,0.851751,0.246131
LRa02_grain_49_7,3.43898,0.0537859,0.312562,364.615,5.64605,34.4108,0.77698,0.00461889,0.00461889,0.294914,0.00461611,0.0268253,0.89532,0.247749
LRa02_grain_50_1,13.6526,0.231855,1.1945,1559.21,27.4029,141.993,0.836383,0.00466637,0.00466637,0.0740239,0.00125308,0.00645579,0.929768,0.24887
LRa02_grain_50_2,12.508,0.259447,1.12257,1427.67,32.4471,133.335,0.83509,0.00439585,0.00439585,0.0806088,0.00173418,0.00750339,0.956167,0.0416362
LRa02_grain_50_3,15.1437,0.219538,1.29115,1742.84,27.9427,155.816,0.840827,0.00366427,0.00366427,0.0660029,0.000932372,0.00548348,0.940243,0.124368
LRa02_grain_50_4,17.2825,0.202816,1.48428,2003.84,27.722,180.245,0.847852,0.00407679,0.00407679,0.0578851,0.000682739,0.00499651,0.883675,0.220913
LRa02_grain_50_5,14.0577,0.278971,1.21872,1621.49,33.0982,146.655,0.841522,0.00440834,0.00440834,0.071923,0.00144084,0.0062945,0.955909,0.0896415
LRa02_grain_51_1,4.99148,0.163307,0.458022,532.812,21.9537,52.3964,0.787389,0.00583672,0.00583672,0.202382,0.00751252,0.0210701,0.97737,-0.248677
LRa02_grain_51_2,3.5134,0.175755,0.348917,371.519,22.1577,39.9041,0.76412,0.00658417,0.00658417,0.296268,0.015231,0.0302373,0.988211,-0.372585
LRa02_grain_51_3,4.06887,0.177532,0.391823,431.867,22.7788,44.8129,0.767274,0.00757812,0.00757812,0.253874,0.010862,0.0239731,0.976992,-0.331797
LRa02_grain_51_4,2.93324,0.0879474,0.267064,306.728,11.4658,29.7353,0.756638,0.00683806,0.00683806,0.346768,0.00958559,0.0291079,0.956504,-0.313879
LRa02_grain_52_1,3.53027,0.0290387,0.300326,373.275,3.83808,33.3428,0.773904,0.00361674,0.00361674,0.284186,0.00241592,0.0249861,0.801866,0.215532
LRa02_grain_52_2,3.53947,0.0233558,0.305546,374.898,2.39541,33.6187,0.773374,0.00358284,0.00358284,0.283308,0.00187261,0.0244979,0.649805,0.519903
LRa02_grain_52_3,3.61546,0.0302302,0.314237,381.519,2.9204,34.4527,0.771494,0.00339181,0.00339181,0.277455,0.00224734,0.0233608,0.815382,0.268223
LRa02_grain_52_4,3.28307,0.0299597,0.283962,346.349,2.54945,31.1169,0.775512,0.00392646,0.00392646,0.305932,0.00285966,0.0271042,0.748731,0.414387
LRa02_grain_54_1,5.04322,0.0726348,0.439647,564.544,7.24998,51.0079,0.821347,0.00727523,0.00727523,0.19981,0.00269248,0.0162971,0.761752,0.319478
LRa02_grain_54_2,3.83154,0.0463581,0.331504,416.528,4.81274,37.4835,0.801901,0.00690252,0.00690252,0.26319,0.00318108,0.0227477,0.697273,0.331939
LRa02_grain_54_3,4.21557,0.119031,0.380114,470.944,13.3016,44.0717,0.823143,0.00442549,0.00442549,0.245561,0.00715898,0.0228614,0.9738,0.106195
LRa02_grain_54_4,3.41791,0.04208,0.295076,375.763,4.919,33.8401,0.810256,0.00496671,0.00496671,0.294094,0.00349681,0.0245206,0.867854,0.328447
LRa02_grain_54_5,3.00582,0.0439527,0.261463,332.549,4.54722,30.022,0.816075,0.0070134,0.0070134,0.335975,0.00483277,0.0287488,0.779268,0.425501
LRa02_grain_55_1,3.54172,0.0746091,0.314539,374.517,8.04892,34.5193,0.776152,0.00389032,0.00389032,0.287042,0.00635079,0.0267738,0.95428,-0.228377
LRa02_grain_55_2,4.10785,0.0375402,0.35372,443.407,4.81479,39.8069,0.7895,0.00365108,0.00365108,0.243286,0.00228679,0.0215471,0.809747,0.296779
LRa02_grain_55_3,3.33552,0.0477628,0.286404,359.877,5.47772,32.2707,0.771317,0.00333125,0.00333125,0.30181,0.00434408,0.0260488,0.940978,-0.0425647
LRa02_grain_55_4,3.44825,0.0327999,0.294309,374.991,3.65883,33.3086,0.777484,0.00334167,0.00334167,0.290927,0.00279352,0.0250659,0.860886,0.259112
LRa02_grain_56_1,2.28105,0.0312958,0.198957,237.043,2.99227,21.5101,0.744548,0.00402467,0.00402467,0.4416,0.00569213,0.0361866,0.946098,-0.0100081
LRa02_grain_56_2,1.9467,0.0357531,0.171008,199.871,3.77089,18.2987,0.731589,0.00440298,0.00440298,0.518638,0.00942167,0.0450642,0.936246,0.00874086
LRa02_grain_56_3,1.9889,0.0184362,0.17159,205.678,1.62805,18.4793,0.741234,0.00367058,0.00367058,0.505321,0.0045813,0.0426392,0.799251,0.316484
LRa02_grain_56_4,1.60628,0.0254832,0.13985,160.611,2.38964,14.5517,0.716168,0.00423198,0.00423198,0.628566,0.00985957,0.0541087,0.919047,0.335942
LRa02_grain_56_5,1.43867,0.0178661,0.124417,140.721,1.4658,12.6416,0.703614,0.00426367,0.00426367,0.700661,0.00829052,0.0577339,0.927338,0.0146008
LRa02_grain_56_6,1.76848,0.0161979,0.152554,178.989,1.48041,16.0686,0.72722,0.00415456,0.00415456,0.567905,0.00519426,0.0489202,0.775204,0.160652
LRa02_grain_56_7,1.85483,0.0257707,0.159871,188.279,2.61665,16.939,0.731042,0.00380595,0.00380595,0.543452,0.00768766,0.0476911,0.891042,0.207975
LRa02_grain_56_8,1.72264,0.0142901,0.147629,173.185,1.38246,15.4621,0.723378,0.00358486,0.00358486,0.581611,0.00513554,0.0530549,0.828048,0.19547
LRa02_grain_57_1,5.05765,0.263796,0.507622,572.294,36.0346,62.5315,0.827443,0.0103191,0.0103191,0.204586,0.0114352,0.0220048,0.970333,-0.126068
LRa02_grain_57_2,9.60306,0.278557,0.870704,1119.72,38.3877,107.241,0.842073,0.00732624,0.00732624,0.105806,0.00317138,0.00991298,0.940329,0.166281
LRa02_grain_57_3,11.1899,0.293435,1.00837,1310.87,36.6877,123.149,0.848306,0.00479694,0.00479694,0.0917179,0.00267614,0.00919637,0.972746,-0.0866745
LRa02_grain_58_1,1.47428,0.0217447,0.12638,144.682,2.20838,12.9496,0.71381,0.00479712,0.00479712,0.683932,0.0105664,0.0614121,0.885285,0.260766
LRa02_grain_58_2,1.60348,0.0125675,0.138587,157.686,1.42643,14.1918,0.716108,0.00375033,0.00375033,0.624597,0.00489673,0.0539979,0.705757,0.4653
LRa02_grain_58_3,1.67074,0.0225149,0.144297,166.704,2.30445,14.9591,0.721281,0.00396228,0.00396228,0.603198,0.00824101,0.0528162,0.908355,0.147423
LRa02_grain_58_4,1.41749,0.0194684,0.122796,137.334,1.92319,12.3599,0.699061,0.0046762,0.0046762,0.710301,0.00965122,0.0608746,0.858192,0.291613
LRa02_grain_58_5,1.38933,0.0155648,0.120111,135.624,1.52775,12.1724,0.701255,0.00377234,0.00377234,0.724508,0.00831028,0.0641294,0.873823,0.182525
LRa02_grain_58_6,1.63197,0.0248317,0.142342,162.632,2.614,14.747,0.714801,0.00398873,0.00398873,0.619318,0.00971572,0.0556933,0.915445,0.0775224
LRa02_grain_58_7,1.21581,0.0177444,0.106016,117.118,1.72,10.6066,0.691483,0.00448963,0.00448963,0.831822,0.0120146,0.0717822,0.877334,0.344701
LRa02_grain_58_8,1.21529,0.0102418,0.105034,117.473,0.967553,10.5427,0.692915,0.00468802,0.00468802,0.82765,0.00697845,0.0715669,0.614787,0.585833
LRa02_grain_58_9,1.45734,0.025535,0.128033,144.106,2.83945,13.2079,0.7062,0.00425351,0.00425351,0.696496,0.0124739,0.062544,0.935826,-0.113194
LRa02_grain_59_1,1.40582,0.0160701,0.122391,138.616,1.52605,12.5322,0.705182,0.0034617,0.0034617,0.716764,0.0081628,0.0621686,0.885822,0.385416
LRa02_grain_59_2,1.39041,0.0167186,0.121143,136.006,1.65979,12.3303,0.696789,0.00374543,0.00374543,0.722826,0.00915316,0.0663238,0.894136,0.203171
LRa02_grain_59_3,1.30777,0.0171482,0.113851,129.665,1.96377,11.772,0.707888,0.00445605,0.00445605,0.770183,0.0101961,0.0676943,0.872717,0.181058
LRa02_grain_59_4,1.31456,0.0129027,0.113931,135.087,1.41739,12.1963,0.733319,0.00380687,0.00380687,0.7639,0.0076818,0.0678302,0.810736,0.393509
LRa02_grain_59_5,1.4312,0.0225161,0.125082,143.151,2.5909,13.086,0.714776,0.00438648,0.00438648,0.706382,0.011332,0.0629519,0.926673,0.0113477
LRa02_grain_59_6,1.41075,0.0214926,0.123121,139.69,2.33993,12.7394,0.708588,0.00359919,0.00359919,0.715812,0.0110596,0.0633556,0.927752,-0.00837381
LRa02_grain_59_7,1.50326,0.0265302,0.131658,150.67,2.80309,13.7869,0.718145,0.00388319,0.00388319,0.673424,0.0120234,0.0596669,0.942985,0.0366935
LRa02_grain_60_1,3.42455,0.148318,0.328623,359.49,16.5225,36.103,0.751722,0.00814279,0.00814279,0.302776,0.015178,0.0336296,0.97131,-0.306814
LRa02_grain_60_2,2.94078,0.133117,0.284489,301.942,14.0015,30.3337,0.748671,0.0082339,0.0082339,0.370142,0.0190483,0.040709,0.971508,-0.238756
LRa02_grain_60_3,2.94328,0.109386,0.275323,302.497,11.0058,29.1872,0.751377,0.00741887,0.00741887,0.354152,0.0133423,0.0335822,0.961437,0.122452
LRa02_grain_61_1,3.0495,0.0730295,0.270121,334.527,8.64313,31.0128,0.797402,0.00434267,0.00434267,0.333801,0.00865576,0.0320159,0.968143,-0.0975782
LRa02_grain_61_2,4.84259,0.0709444,0.423258,536.712,8.51677,48.7699,0.804681,0.00407913,0.00407913,0.207629,0.00300822,0.0179472,0.919118,0.190495
LRa02_grain_61_3,5.44727,0.0719089,0.473971,607.856,8.21392,54.9548,0.806904,0.00552104,0.00552104,0.184117,0.00241431,0.0159134,0.852074,0.261246
LRa02_grain_61_4,5.59269,0.0608478,0.483892,627.495,7.25862,56.492,0.809714,0.00443084,0.00443084,0.179431,0.00195872,0.0155768,0.827364,0.412477
LRa02_grain_61_5,4.74086,0.0607586,0.409889,535.535,7.4623,48.3306,0.813088,0.00463824,0.00463824,0.212248,0.00276333,0.0186419,0.87557,0.217499
LRa02_grain_61_6,4.92925,0.0466247,0.425069,560.95,6.01558,50.4174,0.817943,0.00429768,0.00429768,0.203714,0.00193081,0.0176029,0.824209,0.370333
LRa02_grain_62_1,4.30146,0.0893493,0.378218,470.942,9.9025,43.1621,0.784279,0.00320436,0.00320436,0.236673,0.00488832,0.0206924,0.970404,0.0251676
LRa02_grain_62_2,3.86877,0.0687545,0.338107,419.167,7.42562,38.1651,0.775459,0.00301459,0.00301459,0.262044,0.00449475,0.0221034,0.958158,0.0319763
LRa02_grain_62_3,3.28034,0.0335605,0.283481,354.141,3.39718,31.8961,0.770836,0.00350196,0.00350196,0.306319,0.00301054,0.0254296,0.832026,0.270416
LRa02_grain_62_4,3.54817,0.0336924,0.306003,387.556,3.46139,34.8463,0.776953,0.00363759,0.00363759,0.283179,0.00268697,0.0244037,0.736865,0.477445
LRa02_grain_62_5,3.6212,0.0361078,0.314641,394.498,4.36469,35.6173,0.778538,0.00315872,0.00315872,0.277782,0.00286602,0.0249743,0.879521,0.290327
LRa02_grain_63_1,6.78806,0.120893,0.590462,788.887,13.7546,71.4975,0.829339,0.00431365,0.00431365,0.14815,0.00269648,0.0131701,0.904092,-0.0401313
LRa02_grain_63_2,6.43907,0.140272,0.564701,740.518,14.2393,67.1973,0.825276,0.00545705,0.00545705,0.156813,0.00328472,0.0132235,0.950657,-0.345726
LRa02_grain_63_3,7.19794,0.237048,0.660103,775.736,29.4318,75.1359,0.803893,0.00648142,0.00648142,0.140637,0.00496506,0.0138261,0.972462,0.422824
LRa02_grain_64_1,6.38985,0.105784,0.554193,696.7,11.6027,62.837,0.809348,0.003549,0.003549,0.157637,0.00271971,0.0142483,0.946507,0.282853
LRa02_grain_64_2,5.91043,0.0592688,0.504287,641.073,6.97731,57.0459,0.805497,0.00402089,0.00402089,0.168905,0.00169485,0.0144206,0.831852,0.297425
LRa02_grain_64_3,5.63416,0.0619395,0.485055,613.497,7.55522,55.1419,0.8085,0.00381313,0.00381313,0.177392,0.0019638,0.0153787,0.890618,0.320513
LRa02_grain_65_1,2.16379,0.0259908,0.185255,210.88,2.60726,18.8364,0.723523,0.00381196,0.00381196,0.461974,0.00559769,0.0398988,0.863545,0.299664
LRa02_grain_65_2,1.91754,0.0158891,0.167002,186.408,1.40111,16.9981,0.720642,0.00318345,0.00318345,0.519479,0.00423745,0.0445378,0.766708,0.195704
LRa02_grain_65_3,1.77419,0.016159,0.153195,167.352,1.37754,15.0972,0.697197,0.00339424,0.00339424,0.560967,0.00496606,0.0470805,0.845636,0.147852
LRa02_grain_65_4,1.76912,0.0191321,0.151655,169.566,1.47411,15.1178,0.708084,0.00378243,0.00378243,0.563287,0.00619197,0.049082,0.835282,0.261096
LRa02_grain_65_5,1.59746,0.0209188,0.138926,149.311,1.92013,13.5564,0.689596,0.0049624,0.0049624,0.624803,0.00794856,0.0527878,0.9072,-0.107674
LRa02_grain_65_6,1.93371,0.0208395,0.163631,189.751,2.22738,16.8238,0.720806,0.00380478,0.00380478,0.515858,0.0056801,0.0446,0.826682,0.235775
LRa02_grain_65_7,1.70084,0.020677,0.145506,161.993,2.12625,14.4643,0.699691,0.00450923,0.00450923,0.588426,0.00720538,0.0507051,0.841978,0.124511
LRa02_grain_66_1,1.61282,0.0475491,0.145296,165.251,5.55909,15.6971,0.745617,0.00515575,0.00515575,0.630816,0.0189647,0.0579504,0.967607,-0.106304
LRa02_grain_66_2,1.57552,0.0207153,0.134834,160.607,2.60512,14.4356,0.74202,0.00398598,0.00398598,0.635479,0.0082168,0.0534822,0.889629,0.218481
LRa02_grain_66_3,1.7415,0.0541389,0.157739,178.522,5.75761,16.8596,0.747528,0.00385984,0.00385984,0.592258,0.0163467,0.0476278,0.98219,-0.270991
LRa02_grain_66_4,1.49621,0.0490996,0.13391,152.856,5.23834,14.5599,0.74353,0.00460283,0.00460283,0.68764,0.018442,0.0502971,0.982614,-0.244314
LRa02_grain_66_5,1.75049,0.0377075,0.155319,180.3,4.1045,16.6792,0.746698,0.00416092,0.00416092,0.576631,0.01219,0.050211,0.962789,-0.0623789
LRa02_grain_66_6,1.8286,0.0484329,0.164717,188.784,5.11633,17.6883,0.748491,0.00406177,0.00406177,0.555443,0.0133145,0.0452818,0.971192,-0.113104
LRa02_grain_66_7,1.78378,0.0316614,0.157147,180.8,3.67598,16.6558,0.731307,0.00349983,0.00349983,0.560254,0.00962078,0.0477516,0.953197,-0.045431
LRa02_grain_66_8,1.74771,0.0179037,0.152777,180.368,1.86705,16.4062,0.744475,0.00345581,0.00345581,0.566036,0.00629437,0.0537116,0.872125,0.406785
LRa02_grain_67_1,2.13413,0.0814833,0.200817,222.623,8.25115,21.5936,0.763922,0.0135008,0.0135008,0.487601,0.0179137,0.0441485,0.869711,0.180039
LRa02_grain_67_2,5.65096,0.267034,0.554257,649.777,31.7115,66.2543,0.832144,0.0077291,0.0077291,0.194057,0.0108585,0.0225379,0.981882,-0.117307
LRa02_grain_67_3,2.94656,0.179418,0.308996,308.683,18.9675,33.368,0.772789,0.0193293,0.0193293,0.36846,0.0203036,0.0349671,0.941408,0.220968
LRa02_grain_67_4,2.27636,0.109466,0.22294,243.02,12.2888,24.8635,0.770245,0.017972,0.017972,0.447063,0.019589,0.0398951,0.950448,0.0967441
LRa02_grain_67_5,6.42114,0.243183,0.603715,736.784,28.015,71.7386,0.830143,0.00580172,0.00580172,0.163317,0.00686088,0.0170325,0.979093,0.0268949
LRa02_grain_67_6,5.66372,0.281186,0.562038,633.832,32.8771,65.5828,0.809979,0.00983628,0.00983628,0.194607,0.0107195,0.0214263,0.969457,-0.153066
LRa02_grain_67_7,7.87295,0.134536,0.688941,910.784,14.5295,82.747,0.838244,0.00524027,0.00524027,0.127252,0.00212058,0.0108592,0.918739,0.208251
LRa02_grain_68_1,3.51909,0.0306329,0.297647,384.508,3.42002,33.8863,0.791341,0.00354775,0.00354775,0.282711,0.00232598,0.0226006,0.798846,0.159976
LRa02_grain_68_2,3.00237,0.0241842,0.253621,325.518,2.28833,28.5572,0.784987,0.00357454,0.00357454,0.331982,0.00272366,0.0285632,0.786717,0.415802
LRa02_grain_68_3,2.92493,0.0260352,0.247436,311.447,2.88426,27.3867,0.770394,0.00339933,0.00339933,0.34088,0.00319251,0.0303413,0.822739,0.187959
LRa02_grain_68_4,3.63868,0.0424963,0.326981,390.724,4.68725,35.6997,0.778956,0.00361815,0.00361815,0.275448,0.00315677,0.0242892,0.888469,-0.0125166
LRa02_grain_69_1,2.84462,0.0502591,0.247321,290.796,5.12059,26.328,0.73987,0.00826215,0.00826215,0.355763,0.00638486,0.0314193,0.821409,0.246052
LRa02_grain_69_2,2.95649,0.0618766,0.259433,302.198,5.62065,27.4566,0.739544,0.0089241,0.0089241,0.343557,0.0070989,0.0297639,0.835555,0.433512
LRa02_grain_69_3,2.87341,0.0594507,0.251219,290.536,6.00724,26.4326,0.73186,0.0103901,0.0103901,0.355442,0.00673958,0.0284792,0.101222,0.052994
LRa02_grain_69_4,2.84768,0.0524633,0.247491,286.715,5.78711,26.0558,0.730094,0.00748592,0.00748592,0.35565,0.00760735,0.0358869,0.925823,0.0418568
LRa02_grain_69_5,2.84568,0.0475042,0.246135,288.632,5.17775,26.076,0.739334,0.00748038,0.00748038,0.357462,0.00617087,0.0319733,0.902825,0.0529416
LRa02_grain_69_6,2.87327,0.0452007,0.248245,294.57,4.86094,26.5497,0.746513,0.0057845,0.0057845,0.353435,0.00628567,0.0345214,0.928221,0.108692
LRa02_grain_70_1,3.98303,0.0409999,0.3468,442.044,5.01595,40.0334,0.809895,0.00340935,0.00340935,0.255854,0.0026375,0.0223094,0.848454,0.378896
LRa02_grain_70_10,1.40843,0.0164633,0.118458,151.113,2.1171,13.1129,0.772387,0.00626864,0.00626864,0.738877,0.00854068,0.0614523,0.659044,0.551046
LRa02_grain_70_2,3.11476,0.0291453,0.26915,340.553,3.15947,30.6465,0.798101,0.00366297,0.00366297,0.32699,0.00294429,0.0271899,0.838464,0.37595
LRa02_grain_70_3,3.85894,0.0408905,0.333084,426.654,4.72722,38.3468,0.807383,0.00343971,0.00343971,0.264626,0.00277636,0.0226155,0.877506,0.271924
LRa02_grain_70_4,2.86789,0.0188964,0.245437,312.23,2.31216,27.8867,0.795023,0.00384326,0.00384326,0.354719,0.00229522,0.0298115,0.621978,0.505773
LRa02_grain_70_5,2.40565,0.0354483,0.207257,260.134,4.38723,23.4405,0.786682,0.00473776,0.00473776,0.424628,0.00623667,0.0364642,0.900875,0.235625
LRa02_grain_70_6,1.98927,0.0213949,0.168507,209.33,2.13856,18.4173,0.769745,0.00434459,0.00434459,0.51141,0.00553984,0.0436321,0.814645,0.328837
LRa02_grain_70_7,2.30902,0.0231671,0.194716,248.654,2.67596,21.8972,0.786163,0.00389267,0.00389267,0.438968,0.00448764,0.0377179,0.841358,0.216772
LRa02_grain_70_8,2.59186,0.0309167,0.222681,281.427,3.43229,24.9331,0.796822,0.00784905,0.00784905,0.389132,0.00456833,0.0329039,0.554031,0.652053
LRa02_grain_70_9,2.82108,0.0341872,0.241503,305.632,3.81225,26.9391,0.794148,0.00611903,0.00611903,0.356171,0.00437293,0.0308909,0.706489,0.662941
LRa02_grain_71_1,3.20226,0.0938612,0.295546,356.387,9.92327,34.0031,0.805753,0.00994682,0.00994682,0.345003,0.0109071,0.0343437,0.898778,0.335589
LRa02_grain_71_2,3.13138,0.0809545,0.28501,341.713,8.11106,32.0895,0.78507,0.0101873,0.0101873,0.35567,0.00896055,0.0315467,0.831427,0.319182
LRa02_grain_71_3,1.89282,0.0484556,0.170942,204.098,4.2811,18.0921,0.781342,0.0123391,0.0123391,0.606427,0.0158227,0.0558197,0.843777,0.226182
LRa02_grain_71_4,1.52472,0.0666564,0.147878,165.185,6.84662,16.41,0.787405,0.0134115,0.0134115,0.797543,0.0320222,0.0710414,0.894379,0.162415
LRa02_grain_71_5,1.90767,0.0450457,0.169128,209.008,4.93318,19.3428,0.786156,0.0102264,0.0102264,0.638184,0.0164424,0.0617345,0.845099,0.23879
LRa02_grain_71_6,1.46104,0.0492183,0.135353,156.956,6.21626,15.4177,0.758137,0.0111323,0.0111323,0.869603,0.0311319,0.0856142,0.91508,0.0797823
LRa02_grain_71_7,1.52825,0.0436582,0.138078,164.026,4.71031,15.3888,0.775738,0.0111083,0.0111083,0.83756,0.0254298,0.080427,0.922679,0.102869
LRa02_grain_72_1,8.3957,0.124477,0.728747,988.133,15.2266,89.3216,0.845518,0.00404563,0.00404563,0.15207,0.0022613,0.0132387,0.946295,0.0883895
LRa02_grain_72_2,4.80589,0.0945975,0.4206,551.587,10.3876,50.0751,0.824709,0.00408528,0.00408528,0.264732,0.00499962,0.0222294,0.958505,-0.0050444
LRa02_grain_72_3,7.16116,0.153117,0.637525,848.379,20.306,78.9933,0.851884,0.00492206,0.00492206,0.174735,0.00387166,0.0161202,0.942994,0.221729
LRa02_grain_73_1,2.60722,0.138154,0.260387,280.551,14.4887,28.6753,0.775623,0.0105089,0.0105089,0.499281,0.0246184,0.0463997,0.965602,0.27695
LRa02_grain_73_2,4.1039,0.136051,0.373181,431.52,15.4582,41.0947,0.758052,0.00929957,0.00929957,0.282241,0.00930628,0.0255267,0.93602,-0.0602482
LRa02_grain_73_3,5.40166,0.206122,0.499936,576.464,24.8174,56.4438,0.769637,0.0112498,0.0112498,0.209562,0.00763822,0.018526,0.934782,-0.126072
LRa02_grain_73_4,5.11274,0.143828,0.460938,532.526,15.7419,49.0202,0.754618,0.00721823,0.00721823,0.209157,0.00565825,0.0181334,0.927437,0.0304642
LRa02_grain_73_5,7.49608,0.202581,0.661802,780.009,23.0113,71.8812,0.756357,0.00963813,0.00963813,0.160174,0.00439516,0.0143583,0.900218,-0.0113953
LRa02_grain_73_6,7.31572,0.280987,0.676343,745.247,31.4722,72.5031,0.736832,0.00914291,0.00914291,0.174016,0.0070984,0.017086,0.95156,-0.0882287
LRa02_grain_73_7,7.43159,0.166353,0.654945,771.642,16.5908,70.5697,0.751843,0.00725878,0.00725878,0.165537,0.00377298,0.0148545,0.9005,0.327137
LRa02_grain_74_1,5.83335,0.183336,0.534434,641.91,19.5036,60.6927,0.799729,0.00871107,0.00871107,0.213351,0.00649692,0.0189389,0.949312,0.195509
LRa02_grain_74_2,5.39544,0.306181,0.558291,608.348,35.3856,65.1996,0.810108,0.00961012,0.00961012,0.242884,0.0114843,0.0209406,0.971435,-0.057591
