,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis,,,,,,,,,,,,,,
LRa01_grain_87_2,5.40449,0.111657,0.494182,582.577,11.9448,111.621,0.799048,0.00311913,0.00355563,0.189892,0.00457095,0.0202305,0.0673636,0.980843
LRa01_grain_87_3,5.88717,0.206383,0.596975,636.116,22.4002,124.02,0.800748,0.00854537,0.00871489,0.177467,0.0047707,0.0137995,0.0921847,0.930011
LRa01_grain_87_4,5.41216,0.109929,0.493879,581.902,12.1116,111.354,0.797523,0.00322766,0.00364969,0.188611,0.00414396,0.0186175,-0.0650172,0.981617
LRa02_grain_21_1,5.06485,0.781387,0.903739,551.113,66.2738,124.673,0.816967,0.0214873,0.0215581,0.228475,0.0165362,0.0191255,0.0583879,0.964735
LRa02_grain_21_2,-19.9731,16.0809,16.1795,-2381.16,1799.54,1856.08,0.818599,0.0281509,0.0282051,0.140479,0.0225989,0.0227375,0.0494322,0.945437
LRa02_grain_21_3,2.5363,0.458785,0.512066,292.033,61.5476,83.1885,0.798996,0.0282542,0.0283057,0.355211,0.0283028,0.0315898,0.0908457,0.996024
LRa02_grain_01_1,2.91812,0.0693871,0.269848,332.423,8.4674,64.0701,0.81323,0.00663779,0.00686135,0.350719,0.00834456,0.0324523,-0.0260323,0.950263
LRa02_grain_01_2,2.59432,0.0910352,0.249262,291.476,10.5251,56.703,0.803492,0.00920315,0.00936184,0.395428,0.0130632,0.0357682,0.128933,0.980252
LRa02_grain_01_3,4.00043,0.136202,0.38197,440.685,15.676,85.5929,0.789195,0.00835873,0.00852705,0.259115,0.00788391,0.0221099,0.0745662,0.986657
LRa02_grain_01_4,5.90961,0.125874,0.543226,673.246,14.3855,129.428,0.818703,0.00612329,0.00636815,0.173114,0.00342352,0.0147747,0.21888,0.975392
LRa02_grain_01_5,4.4717,0.177672,0.43741,502.675,20.6133,98.3666,0.805142,0.00844863,0.00862192,0.235455,0.00916716,0.0225686,0.169984,0.975055
LRa02_grain_01_6,3.07669,0.106422,0.294983,337.543,10.2866,65.3933,0.800554,0.0124399,0.0125569,0.338566,0.010776,0.0298691,0.388482,0.912841
LRa02_grain_03_1,3.70795,0.161203,0.369625,411.604,18.2371,81.0733,0.82376,0.0108829,0.0110242,0.287712,0.0143013,0.0327916,0.104265,0.978744
LRa02_grain_03_2,2.0594,0.205894,0.276465,221.722,23.8995,48.7351,0.769831,0.0139137,0.0140106,0.726607,0.067126,0.0901336,-0.467795,0.991383
LRa02_grain_03_3,1.15562,0.0710086,0.125755,119.457,8.26842,24.3964,0.756652,0.00989726,0.0100284,0.970961,0.0513034,0.0908575,-0.277737,0.985153
LRa02_grain_03_4,2.96772,0.0966425,0.283601,332.385,11.465,64.9643,0.820968,0.00802068,0.00821017,0.350933,0.012855,0.0377236,-0.0373963,0.118036
LRa02_grain_03_5,3.64513,0.126235,0.350555,422.245,16.0111,82.5636,0.819248,0.00828594,0.00846874,0.281294,0.0098752,0.0274235,0.106043,0.964469
LRa02_grain_03_6,4.21008,0.200852,0.425989,489.696,25.8824,96.9804,0.822125,0.0121551,0.0122813,0.248668,0.0131121,0.0278095,-0.0206181,0.96387
LRa02_grain_04_1,13.3307,0.238071,1.21924,1532.08,26.825,295.83,0.831639,0.00295646,0.00344916,0.0765457,0.00149439,0.00765323,0.124192,0.977723
LRa02_grain_04_2,8.23385,0.249107,0.779856,941.891,29.2567,183.394,0.827353,0.00330316,0.00374627,0.126219,0.00379171,0.0118704,-0.0221757,0.99043
LRa02_grain_04_3,8.00998,0.161775,0.738335,912.437,18.1365,176.719,0.829014,0.00383408,0.00422331,0.126431,0.0024398,0.0111352,0.129114,0.975837
LRa02_grain_04_4,8.58297,0.19671,0.795495,973.863,22.4602,188.444,0.826624,0.00352999,0.00394702,0.119291,0.00264656,0.0107027,0.00407919,0.982205
LRa02_grain_04_5,8.4142,0.160906,0.777592,954.06,18.0091,185.489,0.827254,0.00327753,0.00372358,0.120867,0.00233809,0.011299,0.167363,0.97933
LRa02_grain_05_1,2.28265,0.0546449,0.213671,230.772,5.6289,44.9842,0.739786,0.00376294,0.00408131,0.446647,0.0100457,0.0392804,-0.116172,0.979456
LRa02_grain_06_1,2.4251,0.074667,0.231395,257.818,8.17977,50.4007,0.775625,0.00426069,0.00457151,0.427206,0.0127547,0.039527,-0.0610474,0.983315
LRa02_grain_06_2,2.59751,0.136941,0.269573,286.919,17.4479,57.539,0.796479,0.0248446,0.0249028,0.4122,0.0203618,0.0400828,0.0562792,0.890821
LRa02_grain_06_4,2.12075,0.0607504,0.198929,224.058,6.76845,43.307,0.759371,0.00367414,0.00401631,0.482772,0.0135459,0.0443565,-0.256844,0.987727
LRa02_grain_06_5,2.4097,0.104608,0.23936,263.463,11.9806,51.7469,0.784338,0.0257637,0.0258181,0.431285,0.0218685,0.0500386,0.353295,0.732155
LRa02_grain_07_1,2.85166,1.29492,1.31982,324.389,127.276,141.594,0.729992,0.0163438,0.016418,0.265496,0.0240744,0.0245374,-0.194825,0.961589
LRa02_grain_08_1,1.30781,0.0816252,0.142755,126.165,7.64863,25.3338,0.692057,0.0100696,0.0101775,0.829296,0.0350301,0.0612644,0.0487316,0.963405
LRa02_grain_08_2,1.31327,0.0144533,0.11819,131.463,1.73048,25.2681,0.719218,0.00495965,0.00519215,0.752981,0.00813915,0.0665567,0.0440691,0.8953
LRa02_grain_08_3,1.48701,0.0901928,0.160777,154.7,8.31173,30.7513,0.748634,0.0240596,0.0241127,0.71224,0.0309804,0.0552253,0.418194,0.959993
LRa02_grain_08_4,1.45075,0.335411,0.359669,150.323,22.9361,36.7904,0.700699,0.0330581,0.033092,0.696414,0.0468905,0.0502817,0.522244,0.956956
LRa02_grain_08_5,1.1529,0.033306,0.108539,109.973,3.28072,21.3107,0.686232,0.0085466,0.0086714,0.875003,0.0219557,0.0715499,0.242014,0.816443
LRa02_grain_10_1,2.52622,0.0492338,0.232825,273.982,6.36632,53.0581,0.780985,0.00473774,0.00502288,0.396119,0.00748383,0.0353907,-0.461039,0.972024
LRa02_grain_10_2,1.7684,0.0342209,0.160683,182.132,3.58909,34.7875,0.741732,0.00375497,0.00407557,0.560758,0.0112877,0.0530009,0.144855,0.973421
LRa02_grain_10_3,1.545,0.0517738,0.147515,157.643,5.29338,30.6026,0.737895,0.0184514,0.0185186,0.650393,0.01866,0.0531665,0.416823,0.81807
LRa02_grain_10_4,1.55475,0.0818709,0.161418,156.354,9.08215,31.2547,0.72541,0.0250514,0.0250993,0.679751,0.0320255,0.0631423,0.263535,0.800872
LRa02_grain_10_5,1.66402,0.0754846,0.166682,170.442,8.21823,33.5684,0.738009,0.014076,0.014164,0.633534,0.0296613,0.0654968,0.131373,0.898623
LRa02_grain_10_6,2.0075,0.0257864,0.181123,209.618,2.40333,40.1037,0.758101,0.00340025,0.00376619,0.49552,0.00667271,0.046869,0.275674,0.95346
LRa02_grain_11_1,1.78493,0.0592776,0.169794,173.053,5.11676,33.3734,0.708591,0.00805026,0.00819133,0.582447,0.0138348,0.0396282,0.184746,0.916234
LRa02_grain_11_2,1.61606,0.029791,0.147814,160.817,2.60294,30.8915,0.717238,0.00569155,0.00589417,0.631456,0.011722,0.0581609,0.383563,0.911435
LRa02_grain_11_3,1.75228,0.0397506,0.162113,177.2,3.717,34.1996,0.732512,0.00533637,0.00556106,0.588761,0.0130467,0.0532078,0.422204,0.9376
LRa02_grain_11_4,1.58056,0.0164128,0.142969,156.544,1.52674,30.1041,0.717336,0.0044421,0.00469897,0.646284,0.00693423,0.0604028,0.49571,0.836757
LRa02_grain_13_1,4.10467,0.0561509,0.372404,450.527,5.92557,86.6506,0.795793,0.00304525,0.00348761,0.250941,0.00334996,0.0222176,0.130236,0.956829
LRa02_grain_13_2,3.54296,0.059619,0.322586,384.475,6.55732,73.8775,0.785561,0.00312037,0.00354298,0.292019,0.00450973,0.0244012,0.0264207,0.97688
LRa02_grain_13_3,3.57976,0.0523157,0.323844,389.047,5.28148,74.4831,0.787919,0.00317937,0.0035974,0.287953,0.00409745,0.025364,0.325673,0.972951
LRa02_grain_13_4,3.66108,0.0782105,0.335532,394.713,8.62068,75.7407,0.784038,0.00301432,0.00344836,0.283442,0.00627668,0.0269277,0.143127,0.98474
LRa02_grain_13_5,3.58485,0.0411743,0.320502,386.965,4.21154,73.5127,0.783199,0.00371865,0.00407768,0.286517,0.00313142,0.0243751,0.20067,0.925206
LRa02_grain_13_6,3.7495,0.0553247,0.336055,411.604,5.649,78.0026,0.797146,0.00377775,0.00414379,0.273611,0.00402119,0.0244257,0.348361,0.949234
LRa02_grain_14_1,3.41255,0.0420077,0.304384,361.301,4.62518,68.5204,0.766746,0.00615676,0.0063709,0.298166,0.00376168,0.0272568,0.264876,0.80397
LRa02_grain_14_2,2.6248,0.0425991,0.240034,270.072,4.61641,52.2989,0.746387,0.00798332,0.00814097,0.387131,0.00588289,0.0331484,0.19586,0.837133
LRa02_grain_14_3,2.05572,0.0290883,0.185457,206.837,3.11708,39.6676,0.732515,0.00707953,0.0072504,0.488053,0.00658302,0.041971,0.292615,0.708999
LRa02_grain_14_4,2.33507,0.0214739,0.211948,233.667,2.29325,45.6423,0.726244,0.0038654,0.00416509,0.427768,0.00384156,0.0379162,0.209355,0.872645
LRa02_grain_14_5,2.24073,0.0290768,0.195588,222.059,3.1159,41.2697,0.719359,0.00345971,0.00378562,0.443922,0.00525717,0.035363,0.0302146,0.964532
LRa02_grain_14_6,2.96823,0.0450563,0.266634,297.03,4.50991,56.5393,0.73438,0.00333059,0.00368156,0.334585,0.00466209,0.0275892,0.116105,0.955133
LRa02_grain_16_1,1.6292,0.0489182,0.153394,157.931,4.58434,31.6941,0.721234,0.0114476,0.0115508,0.623652,0.0185704,0.0582317,0.24224,0.857711
LRa02_grain_16_2,1.34503,0.0370776,0.125982,131.193,3.90406,25.4289,0.720634,0.0117921,0.0118921,0.758925,0.0216721,0.0736376,0.122905,0.837535
LRa02_grain_16_3,1.40882,0.0541746,0.137521,135.146,5.56234,26.5274,0.709961,0.0126463,0.0127369,0.735419,0.0288637,0.0732699,0.0373394,0.934426
LRa02_grain_16_4,1.30271,0.0432141,0.124677,127.636,4.85982,24.9766,0.721425,0.012188,0.012285,0.761663,0.0268616,0.077498,0.0317673,0.932304
LRa02_grain_16_5,1.39207,0.0355228,0.130547,135.347,3.46212,26.3401,0.724366,0.00916962,0.00929926,0.723693,0.0169192,0.0621784,0.146214,0.950997
LRa02_grain_16_6,1.17368,0.0245241,0.108683,112.098,2.20601,21.7187,0.710986,0.00838527,0.00852171,0.854009,0.0175653,0.0778436,0.265477,0.914803
LRa02_grain_16_7,1.57428,0.0415825,0.148387,153.488,3.56751,29.8974,0.732831,0.0086044,0.00874565,0.642787,0.015126,0.0539769,0.141992,0.947054
LRa02_grain_16_8,1.16549,0.0356377,0.111314,112.02,3.41364,21.9335,0.714871,0.0105991,0.0107085,0.876132,0.0218364,0.0682056,0.242453,0.950472
LRa02_grain_16_9,1.56681,0.0366517,0.147131,154.535,4.02654,30.2663,0.73058,0.00920985,0.00934115,0.639955,0.015216,0.061082,0.0695746,0.929274
LRa02_grain_18_1,1.56011,0.120231,0.183599,151.98,10.6135,30.8071,0.72951,0.0213535,0.0214103,0.71369,0.0403133,0.0615605,0.0969902,0.953609
LRa02_grain_18_2,1.45672,0.0531375,0.142036,141.351,5.09526,27.804,0.718794,0.0130021,0.0130925,0.719352,0.0272962,0.0729622,0.252192,0.850284
LRa02_grain_18_3,1.20184,0.00979313,0.108776,113.208,0.859741,21.9647,0.694589,0.00434951,0.00459563,0.82966,0.00681763,0.0757257,0.359557,0.749297
LRa02_grain_18_4,1.07873,0.0451527,0.107077,104,4.58337,20.4762,0.708089,0.0175093,0.0175745,0.962576,0.0408601,0.0968969,0.21572,0.893428
LRa02_grain_19_1,3.77284,0.485091,0.589897,401.676,60.9659,97.7783,0.785201,0.017132,0.017214,0.283633,0.0150487,0.0183,0.0604467,0.999939
LRa02_grain_19_2,3.77798,0.247029,0.418982,406.6,25.3175,81.8893,0.774162,0.0107444,0.010871,0.284576,0.0105955,0.0179709,0.182373,0.954648
LRa02_grain_19_3,3.4493,0.120157,0.330385,375.8,12.9215,72.8072,0.781709,0.00746126,0.00764584,0.292776,0.0115039,0.0316313,0.0660194,0.921952
LRa02_grain_19_4,4.39529,0.326599,0.511244,475.945,33.3227,96.967,0.784352,0.0272792,0.0273306,0.249239,0.0157627,0.0246742,0.236358,0.929006
LRa02_grain_20_1,5.71981,0.977412,1.10362,696.334,149.665,200.442,0.801796,0.021786,0.0218533,0.179742,0.0141998,0.0160334,0.458005,0.945289
LRa02_grain_20_2,4.15629,0.157428,0.403836,464.385,17.8175,90.6259,0.795715,0.0126233,0.0127372,0.240306,0.00741842,0.0190298,0.464425,0.999501
LRa02_grain_22_1,2.94842,0.0490918,0.269368,298.761,5.37469,57.63,0.72998,0.0041231,0.00440812,0.335472,0.00536993,0.0294649,-0.087401,0.943043
LRa02_grain_22_2,2.8414,0.0657408,0.260853,287.188,7.33291,55.099,0.727006,0.00627695,0.00646622,0.349373,0.00875124,0.034724,-0.0450791,0.952309
LRa02_grain_22_3,2.77331,0.0705499,0.256295,281.959,7.52185,54.1674,0.734703,0.00534181,0.0055676,0.361046,0.00998124,0.03626,-0.0548543,0.973021
LRa02_grain_22_4,2.86152,0.0481675,0.259655,296.453,4.68375,56.797,0.751085,0.0052121,0.00545346,0.348403,0.00589551,0.0317807,0.34595,0.945847
LRa02_grain_22_5,2.08244,0.0383317,0.190653,204.907,3.73263,39.5156,0.716982,0.0056772,0.00588017,0.480297,0.00836323,0.0415969,0.028292,0.961964
LRa02_grain_22_6,2.18163,0.0365277,0.200432,217.025,3.83923,42.106,0.722214,0.00524068,0.00546305,0.456932,0.00692776,0.0380135,-0.00124589,0.957492
LRa02_grain_22_7,2.27502,0.0394181,0.210701,222.526,3.8959,43.4991,0.711432,0.0045444,0.00479179,0.438407,0.0083136,0.0444386,0.0527074,0.962864
LRa02_grain_22_8,2.04931,0.0762353,0.19861,206.325,7.82338,40.2356,0.732017,0.0059591,0.00616085,0.509927,0.0176518,0.0459868,-0.144951,0.982243
LRa02_grain_23_1,2.19395,0.0663928,0.206721,222.191,6.66719,42.9039,0.734964,0.00348747,0.00382458,0.475379,0.0144727,0.0450624,0.0376343,0.988512
LRa02_grain_23_2,2.68803,0.0336012,0.241633,272.319,3.5519,51.9833,0.731259,0.00348439,0.00381852,0.37526,0.00477822,0.0343612,0.127946,0.931929
LRa02_grain_23_3,2.43072,0.0538797,0.222144,245.016,5.51819,46.7761,0.728604,0.0038535,0.00415595,0.418724,0.00902739,0.0372196,-0.0373074,0.972557
LRa02_grain_24_1,1.48296,0.0143172,0.132924,148.586,1.64545,28.6314,0.724544,0.0048165,0.00505907,0.675295,0.00618184,0.0573936,0.12553,0.904403
LRa02_grain_24_2,1.34165,0.013724,0.119824,130.548,1.53157,25.0273,0.702174,0.00448923,0.00473318,0.743242,0.00777964,0.0679237,0.132262,0.897936
LRa02_grain_24_3,1.82401,0.019217,0.16171,182.244,1.9985,34.4463,0.721339,0.00344614,0.00377494,0.545015,0.00570466,0.0480043,0.224713,0.945129
LRa02_grain_24_4,1.67963,0.0396463,0.153296,165.135,3.53953,31.3,0.713693,0.00480908,0.00504495,0.59782,0.0139299,0.0538613,0.365218,0.971936
LRa02_grain_25_1,2.68879,0.100341,0.258493,280.192,10.2906,54.0694,0.754743,0.0038736,0.00419573,0.387909,0.0145968,0.0376033,0.183754,0.98859
LRa02_grain_25_2,2.95736,0.0842267,0.274786,312.127,8.62857,59.6543,0.765683,0.00379088,0.00412868,0.344434,0.0104418,0.0340659,0.198802,0.985744
LRa02_grain_25_3,3.03901,0.123101,0.296583,320.548,12.7148,62.1722,0.766062,0.00317424,0.00357123,0.346563,0.0144597,0.0348374,0.216011,0.994686
LRa02_grain_25_4,3.46114,0.045525,0.308019,363.512,4.59642,68.5683,0.762292,0.00315178,0.00354759,0.286424,0.0037023,0.0250495,0.22591,0.94905
LRa02_grain_25_5,3.52867,0.0792948,0.323248,374.226,8.02749,71.5214,0.771332,0.00345436,0.00382721,0.284504,0.00617528,0.0251738,0.299144,0.979214
LRa02_grain_26_1,1.60246,0.0766107,0.162401,162.671,8.25876,32.1601,0.732388,0.0159028,0.0159796,0.666552,0.0322956,0.0684609,0.0319455,0.800342
LRa02_grain_26_2,1.82947,0.030948,0.166691,184.038,2.96139,35.3782,0.733383,0.00396875,0.00426677,0.54469,0.0093171,0.0501833,0.193729,0.957557
LRa02_grain_26_3,1.79699,0.0391508,0.169016,180.712,3.82623,35.5806,0.734709,0.00336656,0.00371443,0.567794,0.0118771,0.0512742,0.01366,0.980886
LRa02_grain_26_4,1.74397,0.0201219,0.16098,177.319,2.0284,34.7068,0.741157,0.00313351,0.00351077,0.584378,0.00694417,0.0555549,0.170303,0.939689
LRa02_grain_27_1,3.86549,0.0704662,0.362557,427.413,7.63141,84.4841,0.80556,0.00349906,0.00389931,0.269128,0.00481386,0.0247679,0.16435,0.970416
LRa02_grain_27_2,2.56514,0.0496706,0.240373,273.51,5.32002,53.8585,0.7757,0.00306388,0.00348327,0.41008,0.00801433,0.0387841,0.0211133,0.978387
LRa02_grain_27_4,3.23987,0.0552656,0.302151,353.916,6.04944,69.6709,0.793937,0.00355995,0.0039433,0.327742,0.00577461,0.0315713,0.142004,0.96545
LRa02_grain_27_5,2.67234,0.0647186,0.25088,288.031,7.26919,56.2862,0.783512,0.00391672,0.00425936,0.405922,0.0106533,0.0412973,-0.203316,0.98159
LRa02_grain_27_6,3.11042,0.0757863,0.291633,340.644,8.34723,66.4427,0.797377,0.00339614,0.00379936,0.352721,0.00842903,0.0324357,-0.0183168,0.985047
LRa02_grain_28_2,4.9484,0.0663212,0.446567,540.947,7.50632,103.532,0.795257,0.00364151,0.00401828,0.22086,0.0030312,0.0204103,0.0367405,0.953999
LRa02_grain_28_3,4.73697,0.0553567,0.426469,518.558,5.64836,99.0668,0.796665,0.00409304,0.00443273,0.231121,0.00261043,0.0201108,0.391686,0.898657
LRa02_grain_28_4,4.6537,0.124367,0.433805,515.328,13.8671,99.3385,0.805938,0.00384158,0.00420971,0.23815,0.00683321,0.0238349,-0.0873082,0.983646
LRa02_grain_28_5,5.01414,0.12872,0.464029,558.646,14.6659,107.204,0.809914,0.00462378,0.00493687,0.222436,0.00666913,0.0240418,-0.0728598,0.975943
LRa02_grain_29_1,1.5151,0.034617,0.137876,156.344,3.73876,29.6777,0.749091,0.00364473,0.00398054,0.723101,0.0157064,0.0625571,-0.12714,0.980541
LRa02_grain_29_2,1.55325,0.0394673,0.14149,160.152,4.17986,30.2376,0.7482,0.00303204,0.00342752,0.69684,0.0159477,0.0571722,-0.111414,0.987602
LRa02_grain_29_3,1.68701,0.0277487,0.147069,175.075,2.98251,32.1852,0.751535,0.00325075,0.00362557,0.619064,0.00989222,0.0524292,0.0828557,0.973388
LRa02_grain_29_4,2.47363,0.0427033,0.214019,262.018,4.55854,47.6642,0.768101,0.00321679,0.00361109,0.415943,0.00747961,0.0374861,0.0262676,0.971782
LRa02_grain_29_5,2.10838,0.0185235,0.183507,219.695,1.9889,40.7093,0.744903,0.00339676,0.003751,0.484468,0.0046288,0.0458561,0.197118,0.905396
LRa02_grain_29_6,1.25551,0.0174773,0.111148,123.954,1.62077,23.0997,0.706984,0.00510071,0.0053196,0.825634,0.0116042,0.0737972,0.334307,0.857155
LRa02_grain_29_7,1.30003,0.0211308,0.117455,127.869,2.0651,24.3314,0.703995,0.00605301,0.00623703,0.803346,0.0134813,0.0749352,0.265478,0.839226
LRa02_grain_30_1,4.37242,0.116175,0.408553,503.272,13.6014,97.222,0.819365,0.00797844,0.00816817,0.241288,0.00591225,0.0207916,0.123143,0.941126
LRa02_grain_30_2,4.33578,0.0873161,0.40038,496.104,9.82954,96.0072,0.814256,0.00709093,0.00730115,0.240677,0.00484191,0.0222021,0.236964,0.934624
LRa02_grain_30_3,3.15326,0.108821,0.305083,351.546,12.3976,69.0135,0.792512,0.00758594,0.00777255,0.342147,0.0125908,0.0352989,0.0792209,0.961975
LRa02_grain_30_4,2.37058,0.0739556,0.227488,258.142,7.47809,50.6352,0.778513,0.00709162,0.007284,0.444002,0.0139682,0.0429664,0.187946,0.96833
LRa02_grain_30_5,2.15419,0.0801324,0.211289,236.658,9.04244,46.7891,0.780582,0.00879307,0.00894978,0.49636,0.0197438,0.0520592,0.0684744,0.955755
LRa02_grain_30_6,3.25353,0.099752,0.313076,369.867,11.2595,73.0005,0.8113,0.00840859,0.00858533,0.319221,0.0093484,0.0293403,0.10178,0.949349
LRa02_grain_30_7,3.9062,0.0969677,0.370844,449.404,11.6434,88.8892,0.815446,0.0069176,0.00713355,0.261815,0.00652632,0.0249593,0.116855,0.944095
LRa02_grain_31_1,2.03109,0.0672977,0.19154,209.604,8.66945,40.4819,0.724127,0.0133343,0.0134237,0.497159,0.0157448,0.0448122,0.0394931,0.781639
LRa02_grain_31_2,1.47901,0.0174346,0.133799,144.004,1.75512,26.1239,0.696133,0.00472991,0.00495816,0.675328,0.00767347,0.058889,0.137916,0.905056
LRa02_grain_32_1,2.10867,0.0522423,0.19932,216.47,5.13982,42.6528,0.735151,0.00537433,0.00559907,0.478215,0.0115298,0.0439898,0.267335,0.942904
LRa02_grain_32_2,1.86065,0.0190997,0.169933,188.946,1.96452,36.1917,0.72793,0.00472125,0.00497073,0.533714,0.00525131,0.0467219,0.276643,0.871997
LRa02_grain_32_3,1.79078,0.0328978,0.165631,181.398,3.45524,36.3598,0.726787,0.00885838,0.0089934,0.558338,0.0111175,0.0559733,0.205999,0.779182
LRa02_grain_32_4,1.73315,0.0266937,0.157383,168.486,3.02172,32.4543,0.718804,0.00493059,0.00516414,0.575551,0.00865548,0.0510316,-0.119897,0.920037
LRa02_grain_32_5,2.00538,0.0502292,0.184612,197.514,5.186,37.8716,0.729351,0.00527748,0.00550265,0.50102,0.0124415,0.0457273,-0.0333349,0.965593
LRa02_grain_32_6,1.75783,0.0490013,0.163451,170.592,4.3603,32.6735,0.722313,0.0113516,0.011456,0.570003,0.0179183,0.0597692,0.458616,0.805472
LRa02_grain_32_7,1.87065,0.0358588,0.168367,177.64,3.59432,33.6748,0.711244,0.00407135,0.00434562,0.532256,0.00914393,0.0429333,-0.273855,0.978281
LRa02_grain_33_1,4.29381,0.0742344,0.386314,452.832,7.57894,85.8817,0.788859,0.00402995,0.00436809,0.231895,0.00407635,0.0212132,0.201169,0.952852
LRa02_grain_33_2,5.17411,0.0683425,0.462522,548.228,7.68323,104.196,0.792116,0.00450198,0.00480947,0.191767,0.00261233,0.0176795,0.150135,0.908368
LRa02_grain_36_1,4.37781,0.151426,0.41602,462.546,16.0139,89.0031,0.793386,0.00603762,0.00627098,0.23649,0.00875745,0.0240598,0.100304,0.981842
LRa02_grain_36_2,4.73743,0.0856614,0.427881,515.316,8.97493,98.0816,0.814863,0.00717202,0.00738023,0.209266,0.00391019,0.0195315,0.340321,0.887205
LRa02_grain_36_3,4.86049,0.0909892,0.44186,525.485,8.66258,100.242,0.808328,0.0055271,0.00579054,0.204093,0.00393122,0.0190907,0.294412,0.9436
LRa02_grain_36_4,6.04851,0.120952,0.553911,638.129,12.9425,122.634,0.790274,0.00558682,0.0058363,0.166636,0.00318709,0.0145955,0.100919,0.967011
91500-1,0.133942,0.00182917,0.0120327,1.39841,0.0323035,0.268999,0.0773314,0.00161537,0.00162379,7.43559,0.0985636,0.648375,0.0437714,0.553388
91500-10,0.135338,0.00160154,0.0119696,1.44185,0.0280394,0.274002,0.0762914,0.00122985,0.0012406,7.40905,0.0870742,0.650773,-0.0446685,0.548788
91500-11,0.119721,0.00168999,0.0110104,1.23068,0.0283569,0.238635,0.0748939,0.00146436,0.00147307,8.4612,0.112734,0.734468,0.113407,0.531607
91500-12,0.125735,0.00155537,0.0112447,1.30407,0.0254679,0.249725,0.0755839,0.00120266,0.00121345,7.91324,0.0961236,0.69494,0.0390581,0.598342
91500-13,0.125537,0.0017128,0.0113803,1.30817,0.0316817,0.25208,0.0751032,0.00138769,0.00139693,7.96346,0.103856,0.690045,-0.148848,0.608165
91500-14,0.127186,0.00155227,0.0114938,1.29033,0.0270352,0.248615,0.0749027,0.00130361,0.00131339,7.82858,0.0932637,0.690574,0.0181605,0.559645
91500-15,0.130146,0.00172651,0.0117402,1.35145,0.0275318,0.259217,0.0755084,0.00143375,0.0014428,7.72813,0.103119,0.701206,0.0697175,0.543445
91500-16,0.132141,0.00181851,0.0119402,1.38152,0.0291572,0.265711,0.0763959,0.0012273,0.0012381,7.51792,0.0993837,0.652544,0.00471221,0.610635
91500-17,0.138397,0.00200249,0.0129379,1.4372,0.0319885,0.28065,0.0748598,0.00120412,0.0012147,7.304,0.102699,0.66353,-0.0896666,0.651326
91500-18,0.142602,0.00177648,0.0125882,1.46717,0.0270974,0.279737,0.0764617,0.00136092,0.00137069,7.01408,0.0850333,0.60255,0.109907,0.504092
91500-19,0.128692,0.00180822,0.0117431,1.35047,0.0262446,0.260143,0.0759874,0.0012871,0.0012973,7.83454,0.1066,0.692287,0.12482,0.520348
91500-2,0.155799,0.00199231,0.0141496,1.56358,0.0373797,0.301152,0.0748115,0.00146386,0.00147256,6.41508,0.0787963,0.55962,-0.0665901,0.602889
91500-20,0.139943,0.0017704,0.0123832,1.43058,0.0286925,0.272233,0.0747696,0.00120812,0.00121863,7.14115,0.0891233,0.623382,-0.0172463,0.62487
91500-21,0.130149,0.00165691,0.0118808,1.32769,0.0279198,0.25653,0.0741977,0.00139833,0.00140728,7.73268,0.0962319,0.690027,0.0718727,0.505821
91500-22,0.134532,0.00152898,0.0120662,1.40787,0.0258282,0.269802,0.0761765,0.00129948,0.00130963,7.42382,0.0843298,0.665504,0.0769567,0.498714
91500-23,0.130737,0.00136129,0.0118794,1.34896,0.0237638,0.259855,0.0753238,0.0012071,0.00121778,7.72316,0.0787367,0.6871,0.0834447,0.501771
91500-24,0.159989,0.0016646,0.0143244,1.66093,0.0305214,0.318286,0.0754503,0.00116958,0.00118063,6.13882,0.0644208,0.55436,-0.124099,0.612554
91500-25,0.126207,0.0012444,0.0121447,1.30903,0.0200038,0.254847,0.0750525,0.00106759,0.00107956,8.29041,0.083906,0.81888,-0.10208,0.474587
91500-26,0.145518,0.00136202,0.0125747,1.49414,0.0222125,0.282594,0.075073,0.00105642,0.00106852,6.86144,0.0633631,0.58499,0.0452908,0.310969
91500-27,0.144444,0.00139209,0.0133627,1.49536,0.0238992,0.289685,0.0756154,0.00114513,0.00115647,6.6976,0.0628799,0.603585,0.141607,0.240025
91500-28,0.176786,0.00166421,0.0153708,1.81219,0.0325329,0.343878,0.0751642,0.00108362,0.00109545,5.79664,0.0557197,0.514632,-0.257291,0.545253
91500-29,0.181213,0.00188956,0.0158968,1.86908,0.0298811,0.354862,0.0758323,0.000987395,0.00100059,5.67949,0.0587121,0.493943,-0.111402,0.548654
91500-3,0.172857,0.00201809,0.0145569,1.82674,0.0396418,0.342018,0.0760227,0.00141637,0.00142565,5.82883,0.0695303,0.501538,-0.0128957,0.578463
91500-4,0.133893,0.0016916,0.0124836,1.40312,0.0319581,0.274029,0.0762511,0.00135762,0.00136736,7.50672,0.0914216,0.674665,-0.0610913,0.614683
