,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis,,,,,,,,,,,,,,
LRa01_grain_51_2,10.6171,0.212665,0.957704,1240.81,24.8968,234.907,0.866847,0.00306968,0.00358495,0.0940813,0.00181256,0.00816262,0.080296,0.978762
LRa01_grain_52_1,3.84829,0.147217,0.370139,414.04,16.3312,79.8577,0.797925,0.00375744,0.00412595,0.269616,0.00988869,0.0248626,-0.190597,0.992605
LRa01_grain_52_2,3.12008,0.0553812,0.279062,334.338,5.38738,62.8652,0.797031,0.00407419,0.00441566,0.317627,0.00592022,0.0298316,0.431898,0.955958
LRa01_grain_52_3,2.26787,0.0468744,0.197575,236.657,4.44743,44.4582,0.776934,0.00380806,0.00415403,0.437287,0.00945253,0.0398423,0.433224,0.979997
LRa01_grain_52_4,2.19316,0.0776232,0.208655,232.326,8.45418,44.6598,0.787151,0.00363808,0.00400786,0.466514,0.0157185,0.0422522,-0.164192,0.992175
LRa01_grain_52_5,1.8663,0.0348044,0.167866,194.797,3.39821,35.7728,0.777813,0.0039299,0.00426672,0.531341,0.00997005,0.0480868,0.261077,0.959033
LRa01_grain_52_6,2.05604,0.0272821,0.184562,217.509,2.9656,41.4652,0.784584,0.00408778,0.00441803,0.47976,0.00653308,0.0441959,0.114469,0.936508
LRa01_grain_52_7,2.38054,0.0688254,0.222426,244.544,7.0058,46.8843,0.760499,0.00428556,0.00458314,0.422108,0.0127852,0.0413185,0.109802,0.986686
LRa01_grain_53_1,2.76386,0.0933694,0.263774,301.012,10.3843,58.2737,0.804213,0.00830054,0.00847645,0.365226,0.0126428,0.0357166,0.159819,0.971835
LRa01_grain_53_2,2.96611,0.107665,0.286733,322.103,11.9799,62.7291,0.799401,0.00625077,0.00647983,0.34542,0.0127852,0.0340493,-0.035755,0.984844
LRa01_grain_53_3,3.52547,0.0792355,0.327281,391.75,8.97138,75.7752,0.81578,0.00644812,0.00667945,0.282814,0.00549808,0.0227097,0.0391951,0.97851
LRa01_grain_53_4,2.63235,0.0687861,0.247972,288.58,7.49827,56.207,0.803161,0.00730036,0.00749926,0.37841,0.0097728,0.0352306,0.217974,0.976711
LRa01_grain_53_5,5.16636,0.103795,0.483407,586.402,11.8589,114.859,0.826007,0.00481473,0.00512787,0.191603,0.00371692,0.0173109,0.124571,0.96176
LRa01_grain_53_6,3.61034,0.0907505,0.338927,413.02,10.6316,80.4855,0.820094,0.00378564,0.00417134,0.286892,0.0073796,0.0275606,-0.0650904,0.98357
LRa01_grain_55_1,1.53184,0.0234619,0.141449,153.285,2.44,29.9152,0.718997,0.00389738,0.00418908,0.671449,0.0102191,0.06161,-0.205655,0.972079
LRa01_grain_55_2,1.63815,0.0172616,0.15011,169.582,1.86472,33.0566,0.740569,0.0036639,0.00399084,0.628133,0.00668746,0.0581552,0.0998405,0.952167
LRa01_grain_55_3,1.24277,0.019884,0.114009,122.105,1.86283,23.6753,0.706409,0.00344937,0.00376501,0.835446,0.0128521,0.0736902,0.0387028,0.97511
LRa01_grain_55_4,2.03398,0.0590218,0.191936,214.486,6.25373,41.6565,0.757628,0.00380037,0.00413062,0.522219,0.0151132,0.0491474,-0.164671,0.986324
LRa01_grain_55_5,1.55341,0.0331775,0.143272,159.031,3.38748,30.7119,0.734072,0.00370702,0.00402504,0.674025,0.0143791,0.0620938,0.0631748,0.974587
LRa01_grain_56_1,1.66037,0.0149014,0.149764,171.879,1.53232,33.0773,0.743106,0.0019387,0.00250566,0.623045,0.00555483,0.0558276,0.00699542,0.955388
LRa01_grain_56_2,1.4207,0.0113473,0.127521,147.829,1.18762,28.3211,0.745972,0.00389033,0.00420403,0.724956,0.0056515,0.0635114,0.313849,0.7748
LRa01_grain_56_3,1.72361,0.028816,0.156574,178.997,2.92032,34.341,0.747603,0.00289333,0.00330481,0.59956,0.00977954,0.0531381,0.0485582,0.97589
LRa01_grain_56_4,1.66825,0.0186594,0.150029,173.534,1.95603,33.1957,0.747345,0.00290551,0.00331521,0.614403,0.00703667,0.0565777,0.227017,0.969806
LRa01_grain_56_5,1.77359,0.0124468,0.158391,183.918,1.16841,35.0723,0.747371,0.00260921,0.00305888,0.575945,0.0038906,0.0495098,0.399107,0.912051
LRa01_grain_56_6,1.6027,0.0168851,0.143588,165.656,1.73743,31.6145,0.747222,0.00265703,0.0030996,0.636037,0.0062127,0.0528319,-0.0443469,0.966083
