Grain,Al,Al_se,Ba,Ba_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
BRc02_grain_45,0.017377480754078682,3.885944331424927e-06,,,0.00021668062896887212,1.3454563649557498e-06,,,,,0.2920907862806692,1.2304890937424049e-05,,,,,0.0015823956534258517,1.9135034377577837e-06,,,0.6206322250874071,1.526666110900293e-05,,,,,0.0008290205452652278,1.8985059557654074e-06,0.061929734664229595,3.82594136546872e-06,0.005341676385955476,2.1028235801466684e-06,,,,
BRc02_grain_46,0.0015032952131884768,4.1924443435740185e-06,,,,,,,,,0.38919356662002647,1.281591888832426e-05,,,,,,,,,0.6011315306167494,1.326890939358218e-05,,,,,0.007651842468496399,4.005263698612259e-06,0.0005197650815392114,1.1855943407094737e-06,,,,,,
BRc02_grain_47,0.0010474240592599994,2.1262922210135745e-06,,,,,,,,,0.39925766124970874,1.1785939199210777e-05,,,,,,,,,0.5959485372684488,1.2042810850003798e-05,,,,,0.0033530455403565267,2.02134276568289e-06,0.000393331882225902,1.2052439146946947e-06,,,,,,
BRc02_grain_48,0.013426888434538162,4.0125104839548375e-06,,,0.00044864362450638696,1.3931905019515448e-06,,,,,0.35204306112409844,1.1651234518968744e-05,0.0009955288183504732,1.3925611877724571e-06,,,0.0009252742651068709,1.980595111594585e-06,,,0.6074553546225988,1.2729517696135587e-05,,,,,0.021103561904029827,3.8735029122374435e-06,0.0031904156721916208,2.271110591900606e-06,0.00041127153457940445,1.07831361079503e-06,,,,
BRc02_grain_49,0.007322582138675523,4.153360640733763e-06,,,0.0009859549333203568,1.3725091523909158e-06,,,,,0.3637598039009022,1.2094175178972034e-05,0.00046460580349783976,1.4073236114687813e-06,,,0.0023237739494583365,1.9956486860451793e-06,,,0.6047517820883096,1.2896909703680781e-05,,,,,0.014613153084410005,3.945156346596272e-06,0.005778344101426114,2.310770141332105e-06,,,,,,
BRc02_grain_50,0.007344160309078612,4.227554700429492e-06,,,0.0009864754212108688,1.3686015975052724e-06,,,,,0.36449411601209974,1.21255418510177e-05,,,,,0.002328854036671685,2.000568179560817e-06,,,0.6043152995396825,1.3154136653154782e-05,,,,,0.01474055576054122,3.939005606028119e-06,0.0057905389207152476,2.2721173828301905e-06,,,,,,
BRc02_grain_51,0.005218846093007699,3.6446645364806197e-06,,,0.0003428782838930203,1.260030271271012e-06,,,,,0.26403787495713854,1.2760254540523045e-05,,,,,0.003666318282374133,1.854888201594923e-06,,,0.6386022256072138,1.6571195684007814e-05,,,,,0.0025555218325944594,1.7639967774924167e-06,0.0815202981326001,5.234164762078286e-06,0.003090340168406499,1.9780044743872303e-06,,,0.0009656966427717328,3.0795275286950886e-06
BRc02_grain_52,0.015819800768032122,4.1905660275413505e-06,,,0.0004649757545749075,1.4168352717622048e-06,,,,,0.3663930274461088,1.3686127792752216e-05,,,,,,,,,0.5947579821678523,1.4792319512316978e-05,,,,,0.000884074214752293,2.0460265720707063e-06,0.015689308527927673,2.3695182699278873e-06,0.00599083112075198,2.2282237539127756e-06,,,,
BRc02_grain_53,0.0015944161307413895,4.182260650660811e-06,,,,,,,,,0.38609892198892865,1.2671529923360636e-05,,,,,,,,,0.6031274477443246,1.3085588695046293e-05,,,,,0.0046950757609192945,1.983939255908649e-06,0.004484138375086114,2.3486157821407846e-06,,,,,,
BRc02_grain_54,0.009961901895268375,4.089941737449663e-06,,,0.0005256691733317511,1.3893001035654428e-06,,,,,0.3470636400503708,1.2647845386127652e-05,0.0003040540428363998,1.4159328898284487e-06,,,0.0017043902411129623,2.0096210405558415e-06,,,0.6047650907203422,1.4202651668073766e-05,,,,,0.0074207261466357425,3.908913720216777e-06,0.024992209358889808,2.364072860515649e-06,0.003262318371211849,2.185136088007321e-06,,,,
BRc02_grain_55,0.0034745840706299274,4.042083993051894e-06,,,0.0003785365567855068,1.356018657370027e-06,,,,,0.37685507378313493,1.241562968539932e-05,0.000385868138796774,1.4233099204733626e-06,,,,,,,0.6079347818535464,1.2980124824633168e-05,,,,,0.00689403352504646,3.931794423812066e-06,0.003542210181827442,2.3165107359420873e-06,0.000534911890232613,1.10835360216451e-06,,,,
BRc02_grain_56,0.003790849590250562,3.623089619266859e-06,,,0.0008078394317332108,1.2477551092073353e-06,,,,,0.2586702384968961,1.1915549191231053e-05,0.00027678828790468147,1.2450329753634955e-06,,,0.002843443200550869,1.752758384009174e-06,,,0.6483758862221809,1.5433237762778574e-05,,,,,0.0036435750650024266,1.7757135886267935e-06,0.07799412827694165,4.83641793871955e-06,0.0035972514285396782,1.9365454502859383e-06,,,,
BRc02_grain_57,0.005135289583483553,4.591718731789849e-06,,,0.0007576832097940347,1.574265730402997e-06,0.0012377866157686442,1.7453882496777971e-06,,,0.4005680299428702,1.4418878986606938e-05,,,,,,,,,0.5798361462284485,1.5010665778116427e-05,,,,,0.008543992147528446,4.311273833942828e-06,0.0023301737140660923,1.3053405384764369e-06,0.0015908985580405251,2.4275378466908883e-06,,,,
BRc02_grain_58,0.006081442822316127,3.9917962223288314e-06,,,0.0008952593727955817,1.3719131474803404e-06,,,,,0.36385176811764874,1.2124607489791425e-05,0.0006127781914426043,1.3795166560487537e-06,,,0.0016853047000019489,1.9616059122927518e-06,,,0.6124314987623349,1.299481446974764e-05,,,,,0.011484042784258094,3.7133990553303487e-06,0.002371716293727697,1.1680104130139107e-06,0.0005861889554742681,1.0674907289311643e-06,,,,
BRc02_grain_59,,,,,,,,,,,0.15597130800118944,9.951109670193412e-06,,,,,0.0065639404172565,1.7714023394187932e-06,,,0.64830049958057,1.930701964388166e-05,,,,,,,0.1891642520009841,1.1221287853131173e-05,,,,,,
BRc02_grain_60,0.004661805672309572,4.079756419752202e-06,,,0.0005975681926616348,1.3602117939263235e-06,,,,,0.36525071077882315,1.1891080329426853e-05,,,,,0.0014779725343113247,2.0111635563903075e-06,,,0.6128328731061293,1.2575808683525823e-05,,,,,0.010998363712128232,3.885945710224067e-06,0.0038850669033244517,2.2708191420619043e-06,0.00029563910031238843,1.0797529950833784e-06,,,,
