Grain,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Fe,Fe_se,Mn,Mn_se,O,O_se,P,P_se,Si,Si_se,Ti,Ti_se,V,V_se
Hematite Elba,0.007206581807461389,4.46014479829295e-06,,,,,0.4136376973536279,1.875808196327041e-05,,,0.5784005364840423,1.914736556390406e-05,,,0.0007026821720121353,4.355916646892386e-06,5.25021828563416e-05,1.4247698785387728e-06,,
Hematite Elba,0.007179617356699626,4.5269662842904325e-06,,,,,0.4130783060251967,1.8364144258155123e-05,,,0.5789455347980407,1.8654630724572777e-05,,,0.0007018388494414945,4.218758942290072e-06,9.470297062166329e-05,1.8556498595352414e-06,,
Illmenite,0.002072986575956148,3.941017172687704e-06,,,,,0.19171843563733357,1.573737844242774e-05,0.02035934760326171,4.985600677282002e-06,0.6054668216826868,2.8007475684336313e-05,,,0.0006269985245282088,3.7979573153488723e-06,0.1797554099762336,1.397782837863788e-05,,
mag_mg,0.006504202053689763,4.625258704777387e-06,,,0.001257886407110631,2.3957183626832724e-06,0.4443748284308325,2.0307491970740575e-05,,,0.5463390973491202,2.0498756335269675e-05,,,0.0007326229070221455,4.461805913435778e-06,0.0007913628522248099,2.6295424781763244e-06,,
BRc_grain_46,0.004994770619306915,3.887446467001007e-06,,,,,0.2855582078733653,1.720877012152479e-05,0.006023137884301202,2.9316695018343173e-06,0.6270319604764345,2.120103761332125e-05,,,0.0024028867862748798,3.706321003628153e-06,0.07398903636031721,6.346134128044278e-06,,
BRc_grain_47,0.003183966368803231,3.5513747721728896e-06,,,,,0.12958041133790177,1.2096546957418033e-05,,,0.6692827516217603,2.5359763158065458e-05,,,0.0010140120097751233,3.4002367878180663e-06,0.19693885866175953,1.572168534958468e-05,,
BRc_grain_48,0.013229754785192156,6.113507564942724e-06,,,,,0.3135017975311505,1.5309130488714145e-05,,,0.6528270205623449,1.6631355388480072e-05,,,0.01590431369625362,4.069753908382497e-06,0.004537113425058851,2.3815344010658976e-06,,
BRc_grain_49,0.005283991486694483,4.4714700988283025e-06,,,,,0.2744915051563176,1.825730413700985e-05,0.013870940989532642,4.324928920840846e-06,0.5902192733536131,2.4827060550849797e-05,,,0.0030067059851217864,4.23361736406297e-06,0.11312758302872038,9.209593522746354e-06,,
BRc_grain_50,0.010512965337024914,6.408497056078289e-06,,,,,0.3660627570056633,1.6636971522197287e-05,0.0030817066676865176,3.1585114863824988e-06,0.6016483819596441,1.7752054038020588e-05,,,0.013169998529384292,4.046098691983614e-06,0.00552419050059684,2.447425614859921e-06,,
BRc_grain_51,0.00808739037187317,6.620301607466448e-06,,,,,0.40022703596447007,1.8439845834681634e-05,,,0.5792837490004269,1.9355360679625235e-05,,,0.006947644050037003,4.322947914544874e-06,0.005454180613192945,2.5170786465401786e-06,,
BRc_grain_53,0.011275757331928505,6.152967188972553e-06,,,,,0.3726956923047366,1.5917975611627e-05,,,0.6012440951025012,1.7283886315726043e-05,,,0.013488344777603667,6.025841404626245e-06,0.0012961104832299388,2.378510549128401e-06,,
BRc_grain_55,0.014430681990601888,6.544774643933852e-06,,,,,0.3713340896437271,1.6954312851442625e-05,,,0.5936659452701274,1.8245316204117634e-05,,,0.016977545164432187,6.141827448692274e-06,0.0035917379311113727,2.4319683453734844e-06,,
BRc_grain_56,0.007830980945032862,4.50856131811246e-06,,,,,0.34750608960888624,1.6534791210909413e-05,0.001922819137070106,3.3207632857014057e-06,0.631421315779661,1.7514464776266476e-05,,,0.011170362643208174,4.22670143384087e-06,0.00014843188614160001,2.1975286624170305e-06,,
BRc_grain_57,0.01454457760300132,6.10038750931754e-06,,,,,0.30508427787814085,1.4894410705502244e-05,0.002254318564278057,2.9414025441883456e-06,0.6565672942275126,1.6598626036091727e-05,,,0.021287719608141537,5.820034325201051e-06,0.0002618121189255986,2.28490327261661e-06,,
BRc_grain_58,0.007281008861250618,4.513236029497775e-06,,,,,0.4011259920868299,1.7777489179459397e-05,,,0.5803616228735256,1.8462683197746867e-05,,,0.006508791086133193,4.2758494293682605e-06,0.004722585092260635,2.529107057465071e-06,,
BRc_grain_59,0.010457922996142812,5.969684638830448e-06,,,,,0.26785977506641345,1.7042446039633065e-05,0.0054084010571091926,2.9127178026957135e-06,0.6194273911237448,2.243376230505633e-05,,,0.005709111665955245,3.8044835816605224e-06,0.0911373980906345,7.870370253191275e-06,,
BRc_grain_60,0.003914745618535722,4.403528695402812e-06,,,,,0.4084170944938116,1.8411637224088078e-05,,,0.5799799848435891,1.888925641420209e-05,,,0.0014150021657044194,4.147488783992587e-06,0.0062731728783592105,2.547950121326619e-06,,
BRc_grain_61,0.0101707925459151,4.192107444797062e-06,,,,,0.26493914251501666,1.765173486798078e-05,0.0033316134538925023,3.0585698631079593e-06,0.6177702701484046,2.328245488719523e-05,,,0.002606470043784568,3.987759852121668e-06,0.10118171129298655,8.573059849230864e-06,,
BRc_grain_62,0.00853991939102823,4.042834838566202e-06,,,,,0.2579197426238292,1.6939464446630865e-05,0.0053189167749663245,2.975391822637621e-06,0.6233701703538232,2.2557506342667445e-05,,,0.006418733093919568,3.795010301709491e-06,0.09843251776243339,8.285785744576227e-06,,
BRc_grain_65,0.0061264410868007045,4.333901883889561e-06,,,,,0.27988497955012437,1.796190576245674e-05,0.005317822137682728,3.179539248514303e-06,0.595647877809519,2.348624870130698e-05,,,0.007240437784277809,4.149135973677412e-06,0.10578244163159538,8.741239268251257e-06,,
BRc_grain_67,0.011196473114084168,6.134315981077113e-06,,,,,0.31275432007155535,1.8204069914969183e-05,0.0035720871708049677,3.192560561048654e-06,0.6028238861699978,2.1837843622911154e-05,,,0.002439296510496708,4.112643614131056e-06,0.06721393696306095,6.593830204527776e-06,,
BRc_grain_68,0.003700359720743697,3.753340101225854e-06,,,,,0.13166594597198775,1.3394752533742656e-05,0.01137125086809578,3.7266654467143622e-06,0.6480147107753876,3.0371835100435605e-05,,,0.0011819014116521511,3.6103942692609374e-06,0.2024357865913339,1.831165135428028e-05,0.001630044660799066,3.920819206497767e-06
BRc_grain_69,0.022692261931143216,6.213149657378191e-06,,,,,0.329071751218729,1.8219956155707368e-05,,,0.5999726702146425,2.1249552651529008e-05,,,0.002099893514156939,3.943538897106727e-06,0.039817783602937265,5.027110768496341e-06,0.006345639518391048,3.432781427783995e-06
BRc_grain_70,0.013290007322188534,6.5920085724314895e-06,,,,,0.3834544232110372,1.763914873927271e-05,0.0011864595144289857,3.371598087120296e-06,0.5813556548003632,1.8824233788453384e-05,,,0.017345189710309312,6.351561606027144e-06,0.0033682654416728303,2.5128785263431245e-06,,
BRc_grain_71,0.0065784974526788345,3.9141155304212826e-06,,,,,0.26073418709811724,1.787790210823039e-05,,,0.6240171709713844,2.3582983324176197e-05,,,0.005264818306341624,3.840351818476972e-06,0.0999789548491889,8.445385045245598e-06,0.003426371322288962,3.1274668714145764e-06
BRc_grain_72,0.006670934348182297,4.06746900033872e-06,,,,,0.31642888084361515,1.7474115582312295e-05,0.004164328031057416,3.0164312164814482e-06,0.6104516202242233,1.991822080914612e-05,,,0.0026064278279382892,4.00315327094472e-06,0.05967780872498351,6.032935564303552e-06,,
BRc_grain_73,0.004917870937389599,4.294892166838016e-06,,,,,0.3892753304542178,1.7355440503900628e-05,0.0022353549700883384,3.0848619300261336e-06,0.5910654514963094,1.8135845314131425e-05,,,0.009329353164871252,4.223965515212936e-06,0.0031766389771236336,2.4221637124911224e-06,,
BRc_grain_74,0.007608515698314754,4.193771476669533e-06,0.0008971839177703575,4.285052696441076e-06,,,0.27172894633608524,1.8174878136341382e-05,0.006077561428730518,3.0309861030775276e-06,0.6169024680402181,2.3950799511179385e-05,,,0.01702083012057425,4.095561727666126e-06,0.07621853104895224,7.94737745131434e-06,0.00354596340935458,3.304871619975048e-06
BRc_grain_75,0.0075305777690450465,4.094025047815648e-06,,,,,0.2693225066578635,1.7211112469810244e-05,0.006016193758194615,2.97747297973072e-06,0.6209674350954864,2.2034789574859382e-05,,,0.01674941543551198,4.012235897439116e-06,0.07619957221536257,6.804813183897978e-06,0.00321429906853598,3.2186635681071177e-06
BRc_grain_76,0.01615053945454315,5.9900648716577505e-06,,,,,0.3155234423433221,1.8005169139252816e-05,0.0025187063945279736,3.032992504194385e-06,0.6087537568553292,2.1346606396419337e-05,,,0.0009644142693797943,3.828421494479746e-06,0.05219759431494167,6.067595431044238e-06,0.003891546367956122,3.1719638875889003e-06
BRc_grain_77,0.007809517715006796,3.945407945837276e-06,,,,,0.30971569925351267,1.7107275093557828e-05,0.0009133645308674578,2.921368342622028e-06,0.6242499028828932,1.996428243905756e-05,,,0.0011490022994644841,3.848254467734754e-06,0.05616251331825536,5.9901148602271824e-06,,
BRc_grain_79,0.00438166580985037,4.677069998772603e-06,,,,,0.18666762342823026,1.8701502431900893e-05,0.006339830056692559,3.5365650121865064e-06,0.578229112972425,3.834691344078424e-05,,,0.001117253210842106,2.2545793244196052e-06,0.22141612981479747,2.132931380209199e-05,0.0018483847071622938,4.9750223613129456e-06
BRc_grain_80,0.008980812604439,4.459271618922668e-06,,,,,0.360467928981964,1.9266485613834546e-05,0.003935497759259508,3.265751449531213e-06,0.5815091848723427,2.1467198873640134e-05,,,0.009914259878825165,4.240848654532944e-06,0.03319649762610271,5.000123782105453e-06,0.001995818277066825,3.537604168569699e-06
BRc_grain_81,0.001793902726075473,3.84407710897152e-06,,,,,0.12364466743630764,1.1922568438422764e-05,0.03736090674213286,5.983256754063265e-06,0.6307861233231067,2.6876045834032704e-05,,,0.0007053697562491058,3.6297455006121643e-06,0.20570903001612836,1.580957021780148e-05,,
BRc_grain_82,0.0036334031525327836,4.005054902498082e-06,,,,,0.24995659471472853,1.873789711961414e-05,0.001081674742997667,2.9495380010636973e-06,0.6271448750450095,2.6046676969231968e-05,,,0.0028583346395595617,3.862568660828562e-06,0.11386540646238329,9.578180052268578e-06,0.0014597112427887015,3.197646233283401e-06
BRc_grain_83,0.00745506197488726,4.117471006604572e-06,,,,,0.32404833089696866,1.5176199638502846e-05,0.00247874736676373,3.070579671682572e-06,0.6553848299895525,1.6067151009140624e-05,,,0.00927283083691365,4.084543857545796e-06,0.0013601989349141762,2.371045717527215e-06,,
BRc_grain_84,0.012363466532602469,3.961295256456968e-06,,,,,0.23200761122994246,1.305657507864721e-05,,,0.6018652797058961,1.876453094522901e-05,,,0.15009305046077426,1.0364992656290853e-05,0.0036705920707847685,2.182807438048706e-06,,
BRc_grain_85,0.008406961396994289,4.482726500495529e-06,,,,,0.3643482868155368,1.827261583868999e-05,0.005947458301815222,3.357060075766218e-06,0.5832715850373806,1.980751472984286e-05,,,0.007598258136528417,4.3807663926505735e-06,0.030427450311744566,3.958007456313326e-06,,
BRc_grain_86,0.006883554584374084,3.961936275647118e-06,,,,,0.2250013557079413,1.5702256921110712e-05,0.03257899838581509,4.9608888015064805e-06,0.6258914919675017,2.341645616913203e-05,,,0.005466118234087437,3.814954577230967e-06,0.10139092619107966,8.435467101550477e-06,0.0027875549292007166,3.0614044498684645e-06
BRc_grain_87,0.004327066756279034,4.397027556152707e-06,,,,,0.39272820860869895,1.74228174710146e-05,,,0.5894921755512869,1.8045178209024805e-05,,,0.00508137439919277,4.219478676931398e-06,0.007798221940945089,2.4556996636784723e-06,0.0005729527435973188,2.3965474071975158e-06
BRc_grain_88,0.005167667841640651,4.28718329413816e-06,,,,,0.3791306166999947,1.802816778253159e-05,,,0.5983946616327215,1.899527679800047e-05,,,0.006871531792313104,4.232033111535151e-06,0.010435522033330024,3.541359817563554e-06,,
BRc_grain_89,0.005942634022935202,4.81978335233888e-06,,,,,0.4328652381500677,1.884958756765912e-05,,,0.5547790837820495,1.917249885942822e-05,,,0.00418037593840693,4.561746302650735e-06,0.0022326681065406874,2.7022202431128104e-06,,
BRc_grain_90,0.013229597741574641,6.714075870432066e-06,,,,,0.3727210863320444,1.7103070200758105e-05,0.0026862510202304898,3.2416303498396594e-06,0.5845298599439581,1.8830698081079265e-05,,,0.021121066646787156,6.277430831120745e-06,0.005201316055503218,2.5622156510814697e-06,0.0005108222599019927,2.2831872462374874e-06
BRc_grain_91,0.00501681758827724,3.3926510035497675e-06,,,,,0.15909457934437238,1.3525279180269941e-05,0.0009129714945907245,2.541545891132833e-06,0.6757385519656768,2.4397161512334598e-05,,,0.0008984239861141843,3.239246758103654e-06,0.15661183850091367,1.2702993907461317e-05,0.0017268171200550662,3.643527618564423e-06
BRc_grain_92,0.0018701733892536308,3.4225885075960846e-06,,,,,0.1292354147322972,1.1643541245306395e-05,0.0008716652710005345,2.458433177347237e-06,0.6751648388683829,2.397718832688331e-05,,,0.0006316114404949795,3.238179478841626e-06,0.19222629629857085,1.458779056200612e-05,,
BRc_grain_93,0.016122929375314878,7.181601895461797e-06,,,,,0.4107960452598237,1.8194040330989886e-05,,,0.5499871144457328,1.972488621906018e-05,,,0.022991406763840986,6.879301497659374e-06,0.00010250415528764206,2.0202153875535184e-06,,
BRc_grain_94,0.011634069929788984,6.177164263730809e-06,,,,,0.33389087685618807,1.683554290037547e-05,0.00218765567540074,2.9981394697342307e-06,0.6074150192575611,1.913491414613682e-05,,,0.01293538398759792,3.929204660351726e-06,0.030675449039491005,4.823838903970555e-06,0.0012615452539721484,2.163948474347652e-06
BRc_grain_95,0.003562505589871004,3.806394166297326e-06,,,,,0.1551106491411139,1.4971043424007652e-05,0.007774165697691335,3.863660872601273e-06,0.631502485541578,3.109406573217982e-05,,,0.0005039501820982964,3.7216356556197473e-06,0.19927554815157836,1.757534713857243e-05,0.0022706956960691026,4.14889214874528e-06
BRc_grain_98,0.008008593425129216,6.566379713561838e-06,,,,,0.37604670688770286,1.69030229475323e-05,0.0013466040864703577,3.2289148683382845e-06,0.595437286242979,1.813556587551178e-05,,,0.011946772889668522,4.117508214870829e-06,0.0072140364680501135,2.5095943867900825e-06,,
BRc_grain_99,0.00892767627151482,6.245982477758756e-06,,,,,0.3198060110277853,1.8709644715587954e-05,0.005380685992503778,3.025449140161732e-06,0.604776992710965,2.233997222879919e-05,,,0.001295781939736316,3.926508975071137e-06,0.056400531221793455,6.117287846437502e-06,0.0034123208357013605,3.2673292210314284e-06
BRc_grain_100,0.007938278953621031,4.039411624757093e-06,,,,,0.2871332005691891,1.7292921771901653e-05,0.0022234063641556885,2.9387809665920387e-06,0.6175790144724373,2.1628862654076987e-05,,,0.004974083313102904,3.813037490482915e-06,0.07758628876465654,6.521566107360409e-06,0.00256572756283742,3.1572814350964986e-06
BRc_grain_101,0.0036739494422388733,4.424118975530407e-06,,,,,0.40959770933428946,1.8048562311383966e-05,,,0.5822008180056373,1.8438679116730664e-05,,,0.003287884553681367,4.1827271753287434e-06,0.0012396386641530441,2.5581667432707563e-06,,
BRc_grain_102,0.011592565991910988,6.937747474012226e-06,,,,,0.40214023703774227,1.9167233217187832e-05,,,0.5635677962206729,2.04201930552906e-05,,,0.018321584354100754,6.681346795903527e-06,0.0035604478367627147,2.6228890023701577e-06,0.0008173685588104093,2.4840640796056988e-06
BRc_grain_103,0.007846118529727797,6.107182594577283e-06,,,,,0.325378777801952,1.8506589851951657e-05,,,0.6105949202460417,2.147377766675379e-05,,,0.0018253367287976582,3.859070057281975e-06,0.0506137014394089,5.112146184194359e-06,0.0037411452540719895,3.2223222048916006e-06
BRc_grain_104,0.02670189735571654,6.6094265661617695e-06,,,0.0029652193401471035,2.257210552709341e-06,0.3610625804816615,1.7946566396092602e-05,0.001050578392910252,3.2501377296054206e-06,0.5881474785342681,1.9956924313798362e-05,,,0.0016019009842217068,4.253493643415559e-06,0.015254170398252095,3.713830961664043e-06,0.003216174512822743,2.279009922553597e-06
BRc_grain_105,0.0026502277588899463,3.6617650119269412e-06,,,,,0.12563276735705214,1.1470593175792912e-05,0.012138819057696487,3.6020219509958645e-06,0.6642182256244675,2.4732567872431736e-05,,,0.0006570056901063538,3.4726728222673262e-06,0.19470295451178762,1.5036102522071405e-05,,
BRc_grain_106,0.00526292714293601,4.384094853222403e-06,,,,,0.4097030953943316,1.853201263260075e-05,,,0.5797025249513486,1.8700265472577908e-05,,,0.002709870175968606,4.271064890169087e-06,0.0026215823354153013,2.488920205863078e-06,,
BRc_grain_107,0.0060209382408913685,4.605479071702385e-06,,,,,0.3979030571472229,1.7914922459381485e-05,,,0.5813786860424262,1.905871448604221e-05,0.0008570778869889164,3.905679327689645e-06,0.004009682378585398,4.3880405796255526e-06,0.00846109586717145,3.846559961082133e-06,0.0013694624367137126,2.412929102176078e-06
BRc_grain_108,0.008253205450954202,6.80844205558695e-06,,,,,0.39967985805623085,1.808831140244426e-05,,,0.5778776638390668,1.8992351539272566e-05,,,0.010301406386192691,4.170015100164705e-06,0.003887866267555489,2.540939451271129e-06,,
BRc_grain_109,0.006832425035898931,4.567227810820796e-06,,,,,0.39515736876072455,1.773426886028068e-05,0.0015257594696281593,3.280105586660935e-06,0.5778492903896845,1.887875995787841e-05,,,0.011941605290102504,4.350883792900486e-06,0.006099311299464666,2.539927104189483e-06,0.0005942397544966607,2.3878128211460552e-06
BRc_grain_110,0.002742072221666214,4.123455946984494e-06,,,,,0.3060893984787027,1.8875608803712675e-05,0.004268938884104201,3.0570267116943956e-06,0.5981785569309209,2.3594927059499373e-05,,,0.00043380834128463265,3.906176528519636e-06,0.08580342480628413,7.099389630322991e-06,0.0024838003370371608,3.3287555592646098e-06
BRc_grain_111,0.018668668779133563,6.518954934663281e-06,,,,,0.3652555122937146,1.9479226918604445e-05,,,0.5814922018248556,2.1519801521703333e-05,,,0.003513726081350903,4.210244038411383e-06,0.02344737693454046,3.834730637442627e-06,0.007622514086404846,3.591041868542978e-06
BRc_grain_112,0.004102730208280042,4.106442460292706e-06,,,,,0.3307254860038259,1.5141690248658962e-05,0.0018526536705390025,3.092423467020943e-06,0.6572003850394473,1.5716140188897427e-05,,,0.005154068359143758,4.023396390600679e-06,0.0009646767187640458,2.319941218776085e-06,,
BRc_grain_113,0.011544295497340418,6.240511747952876e-06,,,,,0.3035853110045002,1.7654831302057106e-05,0.0031145800332538086,3.031502419870531e-06,0.608375923120595,2.179672498690699e-05,,,0.0016333556371171997,4.038822863546634e-06,0.06838687544700231,6.513257214849145e-06,0.0033596592601910866,3.3081234981912906e-06
BRc_grain_114,0.003130815040761886,4.405552194694969e-06,,,,,0.4057508296644881,1.7843140048651073e-05,,,0.5881278050188121,1.8305203281873585e-05,,,0.0027800054427239975,4.257442057546402e-06,0.0002105448332139186,2.3265460166807266e-06,,
BRc_grain_115,0.006046687543533871,4.480885973108387e-06,,,,,0.4099980453660695,1.8080584085888626e-05,,,0.5766450035351304,1.861353807231813e-05,,,0.004265175537821311,4.29058936631311e-06,0.0018060168849587323,2.5345244305149566e-06,0.0012390711324862286,2.3735972752288306e-06
BRc_grain_116,0.006119975116517665,4.0706776102368894e-06,,,,,0.30180698330899797,1.823110030284264e-05,0.0045107673095621656,2.9871796793165663e-06,0.6068253152477455,2.2150823274082705e-05,,,0.004458561929631862,3.968167076232479e-06,0.07178201662078422,6.602922033591253e-06,0.004496380466760572,3.343917994488303e-06
