Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
BRe_grain_63,0.00798774796484002,3.992440958438586e-06,,,,,,,0.35367013378465556,1.180665162834136e-05,,,,,0.0017377718459247926,1.9681800122696576e-06,,,0.6122489227299505,1.2732432803002094e-05,,,,,0.01683751755167668,3.768279382160449e-06,0.006753437366461012,2.2569299441622417e-06,0.0007644687564913832,2.156264469838011e-06
BRe_grain_64,0.006523337814271115,4.290110461813541e-06,,,,,,,0.38586442445271046,1.3377489438190039e-05,,,,,0.001283354236053933,2.1099776815849274e-06,,,0.5875830524741005,1.4146777555889983e-05,,,,,0.013367419718496847,4.182115269827399e-06,0.004624527276569442,2.4433418066998307e-06,0.000753884027797743,2.306236027610931e-06
BRe_grain_65,0.0012628735815472703,1.9216167355213172e-06,0.0014140388332611765,1.2928185862815514e-06,,,,,0.28823950307105456,1.3084016648279686e-05,,,,,0.004184113677490743,1.9082858869679243e-06,,,0.6261085387935911,1.5905862844547494e-05,,,,,0.0015181442547968391,1.8304414067112901e-06,0.07387366325127029,4.918398730313761e-06,0.0033991245369880663,2.011939990515878e-06
BRe_grain_66,0.009391642093649037,3.826208551696162e-06,,,,,,,0.2629803330325314,1.2157917792733454e-05,,,,,0.005899250593613882,1.911504209601162e-06,,,0.6342125833015151,1.580955837359292e-05,,,,,0.002810496854807049,1.8130068402645221e-06,0.08166446192371331,5.0519622322499496e-06,0.003041232200170325,2.066726556549276e-06
BRe_grain_67,0.007775390571059821,4.167957023865432e-06,,,,,,,0.3789211144072475,1.281082104803066e-05,,,,,,,,,0.5977204784849782,1.3667157051396744e-05,,,,,0.012140236742100243,3.957551236999495e-06,0.0031364951435444263,2.357958854381784e-06,0.00030628465106974264,1.1185997686385127e-06
BRe_grain_68,0.0008060320106948741,2.060772554495623e-06,,,,,,,0.388625056883957,1.286811955142074e-05,,,,,,,,,0.6036665344587316,1.3119861823007332e-05,,,,,0.0057375734292156,1.998140414587913e-06,0.0011648032174009228,1.1879817089925384e-06,,
BRe_grain_69,,,,,,,,,0.3907002129378584,1.2658711557201468e-05,,,,,,,,,0.604744808118676,1.286156836570985e-05,,,,,0.004554978943465551,1.9527527968213857e-06,,,,
BRe_grain_70,0.00579318491180928,4.0977297764843175e-06,,,,,,,0.3746579179509911,1.2324560973608341e-05,,,,,,,,,0.6081278176686112,1.2996509757937287e-05,,,,,0.010057935523306739,3.923299273737454e-06,0.0010687951643399887,1.1546013962319732e-06,0.0002943487809415841,1.060029251451021e-06
BRe_grain_71,,,,,,,,,0.3878333213279076,1.2743515466987853e-05,,,,,,,,,0.6092746871166551,1.2815141122576299e-05,,,,,0.0028919915554372062,1.953561758008153e-06,,,,
BRe_grain_72,0.0005759378454460782,4.115970534738306e-06,,,,,,,0.392803353016238,1.3259260861751521e-05,,,,,,,,,0.601216654489058,1.3618196503770445e-05,,,,,0.004699673429577643,4.027385212682145e-06,0.000704381219680292,1.1750387953800402e-06,,
