Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_70,0.3834806612858507,1.7381363761118678e-05,0.581330502657974,1.8825020566382717e-05,0.0033693419410527254,2.492774289986545e-06,0.013297180023513806,6.62529921637481e-06,,,,,0.0011947192361349231,3.2513285118647015e-06,,,0.017327594855473923,6.336070746141282e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_72,0.31645674380118277,1.753664769401677e-05,0.6104210320719583,2.0418386901004663e-05,0.059673551656645486,6.161246574343129e-06,0.006670811741558213,4.202408263937385e-06,,,,,0.004166603315888059,3.007630733886134e-06,,,0.0026112574127670892,3.997885672638526e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_73,0.3892168497875317,1.7444349088008626e-05,0.5911271908786075,1.7810243288812362e-05,0.003178046103985763,2.457058805417094e-06,0.004912704771282292,4.344587291129944e-06,,,,,0.0022356112290954013,3.1615505343162375e-06,,,0.009329597229497359,4.187020318977567e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_76,0.3155405339334359,1.7940158227636808e-05,0.6087544332764139,2.1105772288609635e-05,0.05218296904813252,5.9261482431228245e-06,0.01614821623634354,5.895061275077418e-06,,,,,0.002514668269492216,2.9464768201656456e-06,,,0.0009660301055044626,3.896028511088602e-06,0.0038931491306774153,3.2193762365706523e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_77,0.30973220553524894,1.763366426507899e-05,0.6242550267279584,2.0076662602162407e-05,0.05616581507366745,6.038280223006007e-06,0.007802084114420325,3.899161212958102e-06,,,,,0.0009016032968609554,2.9354845724177016e-06,,,0.0011432652518439113,3.832894808318946e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_80,0.36044690783192784,1.8565227548576894e-05,0.581539435181921,2.088990526839736e-05,0.03319415240202744,5.105549741549179e-06,0.00897906633003536,4.477477212371988e-06,,,,,0.003939325215547452,3.2146335077133667e-06,,,0.009915287591389411,4.341607752483436e-06,0.001985825447151539,3.5884628210254145e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_83,0.32405802037447173,1.5171120138204619e-05,0.6553872433512358,1.5944172481749873e-05,0.0013567333482367623,2.4055653997570834e-06,0.007458324072477372,4.216518493565153e-06,,,,,0.0024812560856696067,3.126285402770262e-06,,,0.009258422767908768,4.012836428442086e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_85,0.3643742627502289,1.830698852441679e-05,0.5832776500992474,2.0456438515511113e-05,0.0304254303613531,3.9119092415764234e-06,0.008399993131861568,4.507598236317524e-06,,,,,0.005930807980077958,3.323469064571466e-06,,,0.0075918556772311034,4.315571419919893e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_87,0.39276342510180484,1.7299547339636696e-05,0.589454231323789,1.7897205569159424e-05,0.007802803113630193,2.4715815692640152e-06,0.004325648341810271,4.427262773733337e-06,,,,,,,,,0.005083242137874625,4.228107055688181e-06,0.0005706499810910009,2.344560871296382e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_88,0.37913996543208595,1.7778985385824777e-05,0.5983809475820696,1.872631102584775e-05,0.010439614074020729,3.6209826782057826e-06,0.005169334396417524,4.29181254287803e-06,,,,,,,,,0.006870138515406277,4.10378621469889e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_90,0.37271247307577543,1.7279566241405637e-05,0.58453357685978,1.8752340174896192e-05,0.005205945868993036,2.4944786488956717e-06,0.013241937386631113,6.522235947545062e-06,,,,,0.00267966777058172,3.2401824421525358e-06,,,0.02111249168343479,6.321346345975575e-06,0.0005139073548039412,2.3679447783066702e-06,,,,,,,,,,,,,hematite,,,,,,,,
