grain,texture
LRa02_grain_21,IF
LRa02_grain_01,IF
LRa02_grain_03,IF
LRa02_grain_04,IF
LRa02_grain_05,MH
LRa02_grain_06,MH
LRa02_grain_07,MH
LRa02_grain_08,MH
LRa02_grain_10,MH
LRa02_grain_11,MH
LRa02_grain_13,MH
LRa02_grain_14,MH
LRa02_grain_16,M
LRa02_grain_18,M
LRa02_grain_19,MH
LRa02_grain_20,MH
LRa02_grain_22,IF
LRa02_grain_23,MH
LRa02_grain_24,MH
LRa02_grain_25,M
LRa02_grain_26,M
LRa02_grain_27,MH
LRa02_grain_28,MH
LRa02_grain_29,M
LRa02_grain_30,IF
LRa02_grain_31,MH
LRa02_grain_32,MH
LRa02_grain_33,IF
LRa02_grain_36,IF
LRa02_grain_100,IF
LRa02_grain_101,M
LRa02_grain_102,MH
LRa02_grain_103,MH
LRa02_grain_104,EH
LRa02_grain_105,MH
LRa02_grain_106,IF
LRa02_grain_35,MH
LRa02_grain_37,MH
LRa02_grain_39,IF
LRa02_grain_42,MH
LRa02_grain_43,IF
LRa02_grain_44,IF
LRa02_grain_45,M
LRa02_grain_46,M
LRa02_grain_47,MH
LRa02_grain_48,IF
LRa02_grain_49,MH
LRa02_grain_50,IF
LRa02_grain_51,MH
LRa02_grain_52,FH
LRa02_grain_54,IF
LRa02_grain_55,MH
LRa02_grain_56,MH
LRa02_grain_57,IF
LRa02_grain_58,M
LRa02_grain_59,M
LRa02_grain_60,M
LRa02_grain_61,IF
LRa02_grain_62,M
LRa02_grain_63,M
LRa02_grain_64,M
LRa02_grain_65,FH
LRa02_grain_66,M
LRa02_grain_67,IF
LRa02_grain_68,MH
LRa02_grain_69,IF
LRa02_grain_70,IF
LRa02_grain_71,IF
LRa02_grain_72,IF
LRa02_grain_73,M
LRa02_grain_74,IF
LRa02_grain_75,EH
LRa02_grain_76,EH
LRa02_grain_77,IF
LRa02_grain_78,EH
LRa02_grain_79,M
LRa02_grain_80,IF
LRa02_grain_81,M
LRa02_grain_82,IF
LRa02_grain_83,EH
LRa02_grain_84,EH
LRa02_grain_85,EH
LRa02_grain_86,EH
LRa02_grain_87,EH
LRa02_grain_88,EH
LRa02_grain_89,IF
LRa02_grain_90,MH
LRa02_grain_91,IF
LRa02_grain_92,MH
LRa02_grain_93,IF
LRa02_grain_94,IF
LRa02_grain_95,MH
LRa02_grain_96,IF
LRa02_grain_97,MH
LRa02_grain_98,IF
LRa02_grain_99,M
