grain,spots
LRa01_grain_04,"3,4"
LRa02_grain_14,"4,5,6"
LRa01_grain_74,5
LRa01_grain_63,"2,3,4"
LRa01_grain_58,"2,3,4"
LRa01_grain_56,1
LRa01_grain_55,1
LRa01_grain_52,"3,7"
LRa01_grain_53,2
LRa01_grain_39,"4,8,13"
LRa01_grain_21,1
LRa01_grain_69,1
LRa02_grain_12,"1,2,3,4"
LRa02_grain_24,1
LRa02_grain_22,"4,7,8"
LRa02_grain_08,4
LRa01_grain_11,"2,5,9"
LRa01_grain_12,"1,2,3,4"
LRa01_grain_21,1
LRa02_grain_01,2
LRa02_grain_25,4
LRa02_grain_27,5
LRa02_grain_29,"5,6,7"
