grain,spots
LRa02_grain_90`,5
LRa02_grain_93,"5,7"
LRa02_grain_71,"2,6"
LRa02_grain_70,"1,3,6"
LRa02_grain_67,6
LRa02_grain_106,"3,4"
LRa02_grain_98,2
LRa02_grain_65,"1,3"
LRa02_grain_61,"5,6"
LRa02_grain_49,7
LRa02_grain_47,"2,5"
LRa02_grain_102,6
LRa02_grain_103,3
