grain,spots
BRc_grain_142,"2,14,6,19"
BRc_grain_137,"3,6,10,12,14"
BRc_grain_131,"6,8,5"
BRc_grain_130,5
BRc_grain_117,5
BRc_grain_116,"2,4,5"
BRc_grain_115,4
BRc_grain_110,"1,6,7"
BRc_grain_125,"4,8"
BRc_grain_109,"8,10"
