grain,spots
BRc02_grain_92,2
BRc02_grain_87,8
BRc02_grain_83,1
BRc02_grain_78,"1,3,6"
BRc02_grain_59,"2,4"
BRc02_grain_52,3
BRc02_grain_47,"2,4,7"
BRc02_grain_45,"2,6"
BRc02_grain_43,7
BRc02_grain_98,"3,5"
BRc02_grain_97,4
BRc02_grain_96,1
BRc02_grain_20,"2,6"
BRc02_grain_18,5
BRc02_grain_93,1
BRc02_grain_06,2
BRc02_grain_04,10
BRc02_grain_89,
