Hematite_370_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,32.45,0.14901,28.6449,0.0696,58.998,,,,Fayalite,No,12/18/24 21:31
Al,EDS,K series,0.06,0.00033,0.094,0.0153,0.1147,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.08,0.00042,0.0855,0.0135,0.1004,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,71.17,0.64697,69.1252,0.1025,40.7868,,,,Fayalite,No,12/18/24 21:31
Total,,,,,97.9496,,100,,,,,,
,,,,,,,,,,,,,
Hematite_370_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,32.62,0.1498,28.7501,0.0696,59.0915,,,,Fayalite,No,12/18/24 21:31
Al,EDS,K series,0.03,0.00017,0.0491,0.0151,0.0599,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.03,0.00018,0.0369,0.0134,0.0432,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,71.36,0.64864,69.3009,0.1026,40.8054,,,,Fayalite,No,12/18/24 21:31
Total,,,,,98.1369,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_370_03,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,32.65,0.14994,28.9078,0.07,59.1597,,,,Fayalite,No,12/18/24 21:31
Al,EDS,K series,0.1,0.00059,0.1704,0.0155,0.2068,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.06,0.00033,0.0673,0.0133,0.0785,,,,Forsterite,No,12/9/24 20:00
