Illmenite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,12.09,0.05551,32.27,0.16,60.84,,,,Fayalite,No,12/18/24 21:31
Si,EDS,K series,0.06,0.00032,0.06,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,28.28,0.26015,27.28,0.05,17.18,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.22,0.00221,0.23,0.03,0.14,,,,V,Yes,
Mn,EDS,K series,3.17,0.02998,3.49,0.03,1.92,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,35.44,0.32218,36.37,0.08,19.64,,,,Fayalite,No,12/18/24 21:31
Nb,EDS,L series,0.52,0.00516,0.69,0.04,0.22,,,,Nb,Yes,
Total,,,,,100.4,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Illmenite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,12.34,0.05669,33.07,0.14,61.43,,,,Fayalite,No,12/18/24 21:31
Ti,EDS,K series,28.88,0.2656,27.89,0.05,17.3,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,3.25,0.03076,3.59,0.03,1.94,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,34.92,0.31746,35.89,0.08,19.1,,,,Fayalite,No,12/18/24 21:31
Nb,EDS,L series,0.53,0.00526,0.7,0.04,0.22,,,,Nb,Yes,
Total,,,,,101.14,,100,,,,,,
,,,,,,,,,,,,,
Illmenite_03,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,12.18,0.05592,33.11,0.16,61.48,,,,Fayalite,No,12/18/24 21:31
Ti,EDS,K series,29.18,0.26836,28.19,0.05,17.48,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.19,0.00186,0.19,0.03,0.11,,,,V,Yes,
Mn,EDS,K series,3.31,0.03128,3.66,0.03,1.98,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,34.2,0.31089,35.18,0.08,18.72,,,,Fayalite,No,12/18/24 21:31
Nb,EDS,L series,0.53,0.0053,0.7,0.04,0.22,,,,Nb,Yes,
Total,,,,,101.05,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_01,,,,,,,,,,,,,
