Hematite_Elba_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,31.77,0.14587,29.37,0.06,59.21,,,,Fayalite,No,12/18/2024 21:31
Fe,EDS,K series,69.23,0.62933,70.63,0.06,40.79,,,,Fayalite,No,12/18/2024 21:31
Total,,,,,100,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,31.77,0.14591,29.39,0.06,59.22,,,,Fayalite,No,12/18/2024 21:31
Si,EDS,K series,0.05,0.00025,0.05,0.01,0.06,,,,Forsterite,No,12/9/2024 20:00
Fe,EDS,K series,69.16,0.62869,70.56,0.06,40.72,,,,Fayalite,No,12/18/2024 21:31
Total,,,,,100,,100,,,,,,
,,,,,,,,,,,,,
Illmentite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,12.02,0.05518,32.01,0.14,61.41,,,,Fayalite,No,12/18/2024 21:31
Ti,EDS,K series,27.78,0.25551,26.82,0.05,17.19,,,,TiO2,No,12/9/2024 20:22
Mn,EDS,K series,3.11,0.0294,3.43,0.03,1.92,,,,MnO,No,12/9/2024 20:20
Fe,EDS,K series,34.12,0.31019,35.05,0.08,19.27,,,,Fayalite,No,12/18/2024 21:31
Nb,EDS,L series,0.5,0.00496,0.66,0.04,0.22,,,,Nb,Yes,
Total,,,,,97.97,,100,,,,,,
,,,,,,,,,,,,,
Illmentite_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.98,0.055,32.15,0.14,61.44,,,,Fayalite,No,12/18/2024 21:31
Ti,EDS,K series,28.13,0.25876,27.17,0.05,17.34,,,,TiO2,No,12/9/2024 20:22
Mn,EDS,K series,3.14,0.02968,3.47,0.03,1.93,,,,MnO,No,12/9/2024 20:20
Fe,EDS,K series,33.87,0.30792,34.82,0.08,19.06,,,,Fayalite,No,12/18/2024 21:31
Nb,EDS,L series,0.51,0.00506,0.67,0.04,0.22,,,,Nb,Yes,
Total,,,,,98.28,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.79,0.1322,25.85,0.07,56.5,,,,Fayalite,No,12/18/2024 21:31
Al,EDS,K series,0.11,0.00063,0.18,0.02,0.24,,,,Nepheline,No,12/9/2024 21:18
Si,EDS,K series,0.06,0.00033,0.07,0.01,0.08,,,,Forsterite,No,12/9/2024 20:00
Ti,EDS,K series,0.07,0.00066,0.07,0.01,0.05,,,,TiO2,No,12/9/2024 20:22
Fe,EDS,K series,71.24,0.64758,68.89,0.1,43.13,,,,Fayalite,No,12/18/2024 21:31
Total,,,,,95.06,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_02,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.01,0.13324,26,0.07,56.66,,,,Fayalite,No,12/18/2024 21:31
Al,EDS,K series,0.11,0.00061,0.18,0.02,0.23,,,,Nepheline,No,12/9/2024 21:18
Si,EDS,K series,0.06,0.00033,0.07,0.01,0.08,,,,Forsterite,No,12/9/2024 20:00
Ti,EDS,K series,0.05,0.00042,0.04,0.01,0.03,,,,TiO2,No,12/9/2024 20:22
Fe,EDS,K series,71.2,0.64718,68.87,0.1,43,,,,Fayalite,No,12/18/2024 21:31
Total,,,,,95.15,,100,,,,,,
,,,,,,,,,,,,,
Goethite_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,41.3,0.18967,35.95,0.07,68.26,,,,Fayalite,No,12/18/2024 21:31
Al,EDS,K series,0.11,0.0006,0.16,0.01,0.19,,,,Nepheline,No,12/9/2024 21:18
Si,EDS,K series,0.38,0.00196,0.39,0.01,0.42,,,,Forsterite,No,12/9/2024 20:00
P,EDS,K series,1.07,0.00851,1.4,0.02,1.38,,,,Chlorapatite,No,12/9/2024 20:13
Ca,EDS,K series,0.14,0.0012,0.12,0.01,0.09,,,,Diopside,No,12/9/2024 20:18
