Hematite Elba,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
Total,,,,,,105.56,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_48,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,50,1.49,0.16826,33.66,0.11,65.29,,,,,SiO2,Yes,
Al,EDS,K series,0.58,0.51,0.00419,1.15,0.03,1.32,,,,,Al2O3,Yes,
Si,EDS,K series,1.39,0.96,0.0072,1.44,0.02,1.6,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.68,0.97,0.00683,0.7,0.02,0.45,,,,,Ti,Yes,
Fe,EDS,K series,56.91,1.01,0.51731,56.42,0.13,31.35,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,93.37,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_49,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,20.51,0.7,0.06902,29.12,0.15,59.02,,,,,SiO2,Yes,
Al,EDS,K series,0.23,0.53,0.00166,0.44,0.02,0.53,,,,,Al2O3,Yes,
Si,EDS,K series,0.26,1,0.00135,0.26,0.02,0.3,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,16.16,0.97,0.16164,16.7,0.06,11.31,,,,,Ti,Yes,
Mn,EDS,K series,2.06,0.88,0.02065,2.35,0.04,1.39,,,,,Mn,Yes,
Fe,EDS,K series,47.05,1,0.4277,47.28,0.12,27.45,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,96.15,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_50,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,43.74,1.45,0.14718,30.2,0.1,60.17,,,,,SiO2,Yes,
Al,EDS,K series,0.44,0.5,0.00318,0.89,0.03,1.05,,,,,Al2O3,Yes,
Si,EDS,K series,1.1,0.95,0.00568,1.16,0.02,1.31,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.82,0.99,0.00821,0.83,0.02,0.55,,,,,Ti,Yes,
Mn,EDS,K series,0.48,0.91,0.0048,0.53,0.03,0.31,,,,,Mn,Yes,
Fe,EDS,K series,65.5,1.02,0.59541,64.14,0.14,36.61,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,97.75,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_51,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,40.63,1.45,0.13672,28.02,0.1,57.93,,,,,SiO2,Yes,
Al,EDS,K series,0.32,0.49,0.00232,0.66,0.03,0.81,,,,,Al2O3,Yes,
Si,EDS,K series,0.55,0.94,0.00288,0.59,0.02,0.7,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.78,1,0.00782,0.79,0.02,0.54,,,,,Ti,Yes,
Fe,EDS,K series,69.43,1.03,0.63109,67.57,0.14,40.02,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,97.63,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_53,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,46.5,1.5,0.15648,30.99,0.1,60.13,,,,,SiO2,Yes,
Al,EDS,K series,0.48,0.5,0.00347,0.98,0.03,1.12,,,,,Al2O3,Yes,
Si,EDS,K series,1.15,0.94,0.00597,1.22,0.03,1.35,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.19,0.99,0.00193,0.2,0.02,0.13,,,,,Ti,Yes,
Fe,EDS,K series,68.54,1.02,0.62307,67.05,0.14,37.27,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,100.43,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_55,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,42.59,1.45,0.14332,29.28,0.1,59.36,,,,,SiO2,Yes,
Al,EDS,K series,0.6,0.5,0.0043,1.2,0.03,1.45,,,,,Al2O3,Yes,
Si,EDS,K series,1.38,0.95,0.00718,1.47,0.03,1.69,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.52,0.99,0.00522,0.53,0.02,0.36,,,,,Ti,Yes,
Fe,EDS,K series,65.32,1.02,0.59381,63.93,0.14,37.14,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,96.41,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_56,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,47.4,1.55,0.1595,30.59,0.1,63.14,,,,,SiO2,Yes,
Al,EDS,K series,0.32,0.5,0.0023,0.64,0.02,0.79,,,,,Al2O3,Yes,
Si,EDS,K series,0.9,0.95,0.00468,0.95,0.02,1.12,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.02,0.98,0.00022,0.02,0.02,0.02,,,,,Ti,Yes,
Mn,EDS,K series,0.29,0.91,0.0029,0.32,0.03,0.19,,,,,Mn,Yes,
Fe,EDS,K series,59.8,1.02,0.54354,58.77,0.14,34.75,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,91.29,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_57,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,53.56,1.54,0.18025,34.8,0.11,65.66,,,,,SiO2,Yes,
Al,EDS,K series,0.66,0.51,0.00477,1.3,0.03,1.45,,,,,Al2O3,Yes,
Si,EDS,K series,1.91,0.96,0.00992,1.98,0.03,2.13,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.04,0.97,0.00035,0.04,0.02,0.02,,,,,Ti,Yes,
Mn,EDS,K series,0.37,0.9,0.00368,0.41,0.03,0.23,,,,,Mn,Yes,
Fe,EDS,K series,56.87,1.01,0.51691,56.44,0.13,30.51,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,94.96,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_58,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
