"sample","age","mswd","ci"
"BRe_grain_04",780.134661470199,3.35986365051434,268.616707476562
"BRe_grain_05",662.97921344721,9.08587624315501,85.6629565324706
"BRe_grain_07",1031.50710430277,0.622730475716058,335.628699886346
"BRe_grain_100",1467.37937630807,1.57005918115915,594.758556379951
"BRe_grain_101",812.197611759959,0.0323436988687801,287.311673068871
"BRe_grain_105",1052.11849595885,0.648137750582925,406.279078561952
"BRe_grain_14",604.052601480686,1.71430428516104,110.549050763982
"BRe_grain_18",1806.75267771516,0.523900834387905,274.982365526947
"BRe_grain_22",2573.82850717789,0.154546182357176,274.296898014386
"BRe_grain_36",526.258093386554,1.12072134060419,195.592059770336
"BRe_grain_39",1106.34497664769,0.344417583042567,501.740037918484
"BRe_grain_45",1450.34031840877,0.0421797431312586,578.313002777764
"BRe_grain_62",594.468626680563,1.37597150388266,158.009573363964
"BRe_grain_70",848.641330452282,0.524873458471557,157.595287726776
"BRe_grain_75",1144.46231326423,1.10039874352336,506.978457406453
"BRe_grain_92",1551.4117618852,1.05581689096002,406.409431265525
