"sample","age","mswd","ci"
"LRa01_grain_04",1725.50804730551,0.587335280742235,687.997247628908
"LRa01_grain_11",2075.03454894414,1.41301011030655,326.513386947731
"LRa01_grain_12",1069.09211790702,2.74062099188075,73.0342732070796
"LRa01_grain_21",978.965971962857,3.43333309097044,117.097505636846
"LRa01_grain_25",1313.20300927124,3.60061712996742,250.180962309975
"LRa01_grain_26",1931.84705586732,0.698236220152531,218.302229070231
"LRa01_grain_39",555.504457698353,1.91169666513065,183.498370677826
"LRa01_grain_43",1379.33697282362,2.22820611904522,296.865029256471
"LRa01_grain_48",2138.46041907034,1.31332991434307,210.438549990678
"LRa01_grain_52",584.619842381569,1.24920434131714,129.252502003793
"LRa01_grain_55",1254.65562759613,0.112601516037395,114.880919769476
"LRa01_grain_58",1554.27558429619,3.23519930691242,311.477000350123
"LRa01_grain_61",2673.78941531811,3.79048241548461,453.682535767947
"LRa01_grain_68",2048.97782058863,7.34273866010367,874.831227746869
"LRa01_grain_70",981.148249422792,1.51029321245388,194.251799081307
"LRa01_grain_74",543.852073098325,0.251750829223937,102.674587513555
"LRa01_grain_75",743.82938067314,3.54892565044464,70.9719163303476
"LRa02_grain_06",2246.20857456201,0.943119392664116,832.196048660609
"LRa02_grain_08",2024.01305470201,1.02422497698437,465.854567329259
"LRa02_grain_10",1617.67837789036,1.17184031104768,203.704486533638
"LRa02_grain_14",1433.01313845399,0.809217669290954,354.946757416978
"LRa02_grain_16",634.706446562525,1.04648802450043,299.425532104147
"LRa02_grain_24",818.427215049,0.672675690210329,220.868858190617
"LRa02_grain_27",1554.74453812424,9.27641541205987,236.074638225944
"LRa02_grain_29",560.524451119484,1.78401671424287,104.27628930867
"LRa02_grain_30",1271.27768257852,2.13072039576737,225.689441443008
"LRa02_grain_100",1054.48531241724,1.99585275790034,268.823670100806
"LRa02_grain_102",2921.00155353655,0.235441906921599,609.87055423569
"LRa02_grain_103",2549.57305725814,2.87658560681581,803.572069027738
"LRa02_grain_105",1111.52980678039,2.49598580982573,304.811317414276
"LRa02_grain_39",2332.36071403978,2.89346394284066,706.704367153047
"LRa02_grain_47",1107.44974338673,2.23487428352439,203.0937309256
"LRa02_grain_49",1668.0984800558,2.36752356814449,213.312334245884
"LRa02_grain_51",1639.12374137222,2.4407108516318,399.859847125672
"LRa02_grain_56",1308.07190035442,1.49823926247975,137.551164505451
"LRa02_grain_58",1034.59848643825,2.05165788430677,139.183461682689
"LRa02_grain_65",2150.80470606195,0.0634617832551003,299.074281508669
"LRa02_grain_71",439.389205391934,1.14127024895149,208.656105118305
"LRa02_grain_76",1387.00877329322,1.29373685318341,371.464370921378
"LRa02_grain_80",2230.054182318,3.14260650110595,407.117086219995
"LRa02_grain_89",1905.06914939087,3.25988989192026,250.9147308107
"LRa02_grain_90",1841.74506493513,2.4258371487184,307.478805073841
"LRa02_grain_92",1446.93956805566,0.692945445108997,409.417923778723
"LRa02_grain_93",1524.39868084726,0.496185443517601,170.879953631158
"LRa02_grain_94",3527.78853067014,5.1698973587611,677.040954652211
"LRa02_grain_95",2186.88590980165,3.40082951941391,407.72099346426
"LRa02_grain_99",1164.05856284425,5.14442599358473,441.461390002498
