"sample","age","mswd","ci"
"BRc02_grain_03",2030.3008348559,4.67664526136364,421.397430343432
"BRc02_grain_06",1520.53571710165,1.39317252431051,186.193938701125
"BRc02_grain_17",751.434735102265,0.0198604122307307,277.709493546482
"BRc02_grain_18",367.350699979862,0.204833414798645,161.523412611589
"BRc02_grain_19",1282.36024758255,1.19838936542637,282.145306040133
"BRc02_grain_20",985.133136116103,0.322194835679931,177.572335104447
"BRc02_grain_30",3548.19981423138,6.11821678825908,500.424585623338
"BRc02_grain_34",1062.46389901516,0.0992549445433308,100.267344498912
"BRc02_grain_35",1250.4217585618,0.884468148707919,240.586360878862
"BRc02_grain_36",923.440097855366,4.97708981308893,266.560860711754
"BRc02_grain_43",938.68649469458,1.12650713647071,80.3624299977406
"BRc02_grain_45",776.559233908112,1.47129778700766,211.26034287564
"BRc02_grain_46",886.19673517239,2.948204628294,104.208715725454
"BRc02_grain_47",1057.76919645812,0.0963538047830671,350.817693088272
"BRc02_grain_52",412.127209729523,0.684458260760754,148.397043506851
"BRc02_grain_53",942.82329171868,5.5907552610015,89.5831080393986
"BRc02_grain_54",1087.08317577874,0.137286756470554,258.353929081164
"BRc02_grain_60",1253.23264879783,2.94437423766929,424.947407546884
"BRc02_grain_62",934.361381191432,1.26658325142852,129.455080217962
"BRc02_grain_64",1019.26446034693,0.783746053434231,182.586409195406
"BRc02_grain_66",871.261064349638,2.10256426107857,189.830672999926
"BRc02_grain_78",430.33911139397,1.00554242570551,111.00482088508
"BRc02_grain_79",1952.41404611043,1.02690937062329,571.319613993353
"BRc02_grain_80",693.976586597431,0.00476280929611507,194.371553835358
"BRc02_grain_83",815.624851073019,1.39306133019854,53.4610773489362
"BRc02_grain_84",586.479759462941,0.979064361997247,239.265126815458
"BRc02_grain_87",633.08291836079,6.14514622271342,152.576764815842
"BRc02_grain_89",762.253061371911,3.87979567487124,284.621972629777
"BRc02_grain_92",1590.88877488296,0.085529451738557,299.887557590282
"BRc02_grain_93",1037.69207227359,1.09258140839749,86.9385443981374
"BRc02_grain_98",631.787686925481,1.72359260319908,79.7314763326996
"BRc_grain_106",1702.47617912124,0.404540067281533,675.589383389555
"BRc_grain_107",558.869020069419,1.32258129955752,276.918495701083
"BRc_grain_108",986.922771668419,0.920406857227977,151.148871261213
"BRc_grain_109",1554.12740259366,0.649925334226025,338.118575961456
"BRc_grain_110",1393.54486623527,2.36845381447183,167.435999425852
"BRc_grain_116",1122.42160142605,1.05524224474214,164.958550346704
"BRc_grain_117",752.619229363748,1.99098155706354,111.100579842488
"BRc_grain_120",1441.5481320557,2.00551173275002,493.735126618829
"BRc_grain_121",2029.18711170644,1.19898061279842,786.92089841018
"BRc_grain_122",1644.27923700746,2.61260961234906,636.918285393988
"BRc_grain_129",785.57041115136,0.926158573916507,249.272315636007
"BRc_grain_130",1207.91573277945,2.02442571189736,102.179191611239
"BRc_grain_137",555.102923515155,2.94971592556931,49.4925933461569
"BRc_grain_138",1093.60970041593,1.75606515801855,451.509700003577
"BRc_grain_140",978.219249952935,2.8548993263066,315.795000178547
"BRc_grain_141",588.95581366081,0.357947216617425,231.084244618656
"BRc_grain_144",1544.06719437047,1.04628161933171,337.838245091713
"BRc_grain_07",1689.99394689609,2.3721011786863,743.793152978046
"BRc_grain_15",886.489976017133,0.0879633053702708,373.419459880316
"BRc_grain_22",1113.13159205851,9.05540981656879,110.146434836983
"BRc_grain_51",1138.2305099967,1.58004190871021,99.3941953643725
"BRc_grain_73",1956.7002008535,0.739884604762358,664.436329201607
