"sample","age","mswd","ci"
"LRa01_grain_21",978.965971962857,3.43333309097044,117.097505636846
"LRa01_grain_48",2138.46041907034,1.31332991434307,210.438549990678
"LRa01_grain_55",1254.65562759613,0.112601516037395,114.880919769476
"LRa01_grain_58",1554.27558429619,3.23519930691242,311.477000350123
"LRa01_grain_61",2673.78941531811,3.79048241548461,453.682535767947
"LRa01_grain_74",543.852073098325,0.251750829223937,102.674587513555
"LRa02_grain_16",634.706446562525,1.04648802450043,299.425532104147
"LRa02_grain_29",560.524451119484,1.78401671424287,104.27628930867
"LRa02_grain_58",1034.59848643825,2.05165788430677,139.183461682689
"LRa02_grain_99",1164.05856284425,5.14442599358473,441.461390002498
