"sample","age","mswd","ci"
"LRa01_grain_11",2075.03454894414,1.41301011030655,326.513386947731
"LRa01_grain_12",1069.09211790702,2.74062099188075,73.0342732070796
"LRa01_grain_25",1313.20300927124,3.60061712996742,250.180962309975
"LRa01_grain_43",1379.33697282362,2.22820611904522,296.865029256471
"LRa02_grain_06",2246.20857456201,0.943119392664116,832.196048660609
"LRa02_grain_08",2024.01305470201,1.02422497698437,465.854567329259
"LRa02_grain_10",1617.67837789036,1.17184031104768,203.704486533638
"LRa02_grain_14",1433.01313845399,0.809217669290954,354.946757416978
"LRa02_grain_24",818.427215049,0.672675690210329,220.868858190617
"LRa02_grain_27",1554.74453812424,9.27641541205987,236.074638225944
"LRa02_grain_102",2921.00155353655,0.235441906921599,609.87055423569
"LRa02_grain_103",2549.57305725814,2.87658560681581,803.572069027738
"LRa02_grain_105",1111.52980678039,2.49598580982573,304.811317414276
"LRa02_grain_47",1107.44974338673,2.23487428352439,203.0937309256
"LRa02_grain_49",1668.0984800558,2.36752356814449,213.312334245884
"LRa02_grain_51",1639.12374137222,2.4407108516318,399.859847125672
"LRa02_grain_56",1308.07190035442,1.49823926247975,137.551164505451
"LRa02_grain_90",1841.74506493513,2.4258371487184,307.478805073841
"LRa02_grain_92",1446.93956805566,0.692945445108997,409.417923778723
"LRa02_grain_95",2186.88590980165,3.40082951941391,407.72099346426
