"sample","age","mswd","ci"
"LRa01_grain_04",1725.50804730551,0.587335280742235,687.997247628908
"LRa01_grain_52",584.619842381569,1.24920434131714,129.252502003793
"LRa01_grain_68",2048.97782058863,7.34273866010367,874.831227746869
"LRa01_grain_70",981.148249422792,1.51029321245388,194.251799081307
"LRa01_grain_75",743.82938067314,3.54892565044464,70.9719163303476
"LRa02_grain_30",1271.27768257852,2.13072039576737,225.689441443008
"LRa02_grain_100",1054.48531241724,1.99585275790034,268.823670100806
"LRa02_grain_39",2332.36071403978,2.89346394284066,706.704367153047
"LRa02_grain_71",439.389205391934,1.14127024895149,208.656105118305
"LRa02_grain_80",2230.054182318,3.14260650110595,407.117086219995
"LRa02_grain_89",1905.06914939087,3.25988989192026,250.9147308107
"LRa02_grain_93",1524.39868084726,0.496185443517601,170.879953631158
"LRa02_grain_94",3527.78853067014,5.1698973587611,677.040954652211
